dimension,category,n,share_core_master
origin_quality_tier,C,193709,0.5347458211983602
origin_quality_tier,B,168536,0.4652541788016398
migration_history_tier,C,193709,0.5347458211983602
migration_history_tier,B,168536,0.4652541788016398
fertility_history_tier,A,282082,0.778705020083093
fertility_history_tier,C,80163,0.22129497991690705
marriage_history_tier,A,281858,0.7780866540600975
marriage_history_tier,C,80387,0.22191334593990256
geography_class,cross_province,183840,0.5075018288727242
geography_class,cross_prefecture_within_province,112487,0.3105274054852379
geography_class,cross_county_within_prefecture,65918,0.18197076564203785
move_reason_redesign,work_business,231814,0.6399370591726594
move_reason_redesign,missing,59632,0.16461786912172702
move_reason_redesign,family_reunification,57359,0.1583431103258844
move_reason_redesign,marriage,8875,0.024499993098593492
move_reason_redesign,other,2870,0.00792281466962967
move_reason_redesign,housing,1438,0.003969689022622811
move_reason_redesign,education,257,0.0007094645888832144
has_pre1,True,360878,0.996226310922166
has_pre1,False,1367,0.0037736890778340628
has_pre3,True,354441,0.9784565694488537
has_pre3,False,7804,0.021543430551146325
has_pre5,True,340967,0.941260748940634
has_pre5,False,21278,0.0587392510593659
has_post1,True,333139,0.919651064887024
has_post1,False,29106,0.08034893511297603
has_post3,True,227037,0.6267498516197602
has_post3,False,135208,0.3732501483802399
has_post5,False,207781,0.5735924581429696
has_post5,True,154464,0.42640754185703045
balanced_pm1,True,331779,0.9158966997474085
balanced_pm1,False,30466,0.08410330025259148
balanced_pm3,True,220049,0.6074590401523831
balanced_pm3,False,142196,0.39254095984761694
balanced_pm5,False,223061,0.6157738547115902
balanced_pm5,True,139184,0.38422614528840976
eligible_birth_event,True,362245,1.0
eligible_marriage_event,True,281858,0.7780866540600975
eligible_marriage_event,False,80387,0.22191334593990256
legacy_cbr_match,False,340990,0.9413242418804952
legacy_cbr_match,True,21255,0.058675758119504755
legacy_21383,False,340990,0.9413242418804952
legacy_21383,True,21255,0.058675758119504755
origin_tier_by_wave,2012:C,59632,0.16461786912172702
origin_tier_by_wave,2013:C,41360,0.11417686924595233
origin_tier_by_wave,2013:B,31397,0.08667338403566646
origin_tier_by_wave,2014:C,3378,0.009325180471780149
origin_tier_by_wave,2014:B,2089,0.0057668152769534435
origin_tier_by_wave,2015:C,41579,0.11478143245593452
origin_tier_by_wave,2015:B,35164,0.09707242335988074
origin_tier_by_wave,2016:B,54703,0.15101105605322365
origin_tier_by_wave,2016:C,12780,0.03527999006197463
origin_tier_by_wave,2017:B,45183,0.12473050007591548
origin_tier_by_wave,2017:C,34980,0.09656447984099159
event_time_support,-10,261186,0.7210203039379426
event_time_support,-9,281320,0.7766014713798672
event_time_support,-8,300428,0.8293503015914644
event_time_support,-7,317145,0.8754986266201051
event_time_support,-6,330397,0.9120816022305346
event_time_support,-5,340967,0.941260748940634
event_time_support,-4,348772,0.962806940054383
event_time_support,-3,354441,0.9784565694488537
event_time_support,-2,358340,0.9892200030366188
event_time_support,-1,360878,0.996226310922166
event_time_support,0,362245,1.0
event_time_support,1,333139,0.919651064887024
event_time_support,2,274268,0.75713398390592
event_time_support,3,227037,0.6267498516197602
event_time_support,4,186779,0.5156151223619374
event_time_support,5,154464,0.42640754185703045
event_time_support,6,126692,0.3497411972560008
event_time_support,7,104414,0.28824138359397644
event_time_support,8,85325,0.23554500407182985
event_time_support,9,70862,0.1956189871495811
event_time_support,10,59650,0.16466755924857485
