sample,metric,medical_minus_food,lo,hi,bootstrap_p,B
R,blp_slope,0.03438680931090998,0.012278104676736507,0.055882728485254655,0.002,1000
R,gates_top_bottom,0.0873989387161833,0.017098300989532817,0.15644316935677333,0.014,1000
A,blp_slope,0.022564437123005272,0.0017605678252766693,0.04599517463596889,0.036,1000
A,gates_top_bottom,0.061897288962268676,-0.0010268088982128677,0.13939079272395205,0.058,1000
C,blp_slope,0.04724838254514972,0.025039230890288918,0.07083803340328061,0.0,1000
C,gates_top_bottom,0.1257345915849399,0.05567582766901287,0.19989836087469012,0.0,1000
Q1,blp_slope,0.049720824009029226,0.015606783144731084,0.08267970803548497,0.002,1000
Q1,gates_top_bottom,0.17136493590829027,0.05899092479792605,0.27521925011268944,0.002,1000
Q2,blp_slope,-0.016217407197533125,-0.06649889572970728,0.034151835987613406,0.548,1000
Q2,gates_top_bottom,-0.09330558311328901,-0.24505429824711017,0.06755500718639161,0.262,1000
