sample,seed,contrast,q,N,predicted,effect,se
R,20260925,food-cash,1,727,-0.07953642609327699,-0.00580528378399982,0.020450147376815487
R,20260925,food-cash,2,727,-0.041283317434433926,-0.04544840410628432,0.019121155736567284
R,20260925,food-cash,3,726,-0.018966311017594127,-0.04393667957085918,0.018340841063759397
R,20260925,food-cash,4,727,0.0029010023130765093,-0.00487262097317798,0.01885146067548554
R,20260925,food-cash,5,727,0.03846412251903117,0.011314378967456783,0.01970158708332197
R,20260925,medical-cash,1,734,-0.11534770149945772,-0.10618346891057336,0.01972942616553106
R,20260925,medical-cash,2,731,-0.07548870715112412,-0.08871317089333088,0.018738321960681748
R,20260925,medical-cash,3,732,-0.04958783187754782,-0.03231738423196518,0.01778833638131605
R,20260925,medical-cash,4,732,-0.023417768236941448,-0.012568060039525793,0.016725582833130904
R,20260925,medical-cash,5,732,0.016986773593711774,-0.0016648674429334286,0.019024067195819856
R,20260926,food-cash,1,727,-0.07713953877931069,0.01936244363451874,0.0202955608245411
R,20260926,food-cash,2,727,-0.040115716274574366,-0.05775050041545329,0.019734047838659834
R,20260926,food-cash,3,726,-0.01833806679836769,-0.03141347317752547,0.018190883494023983
R,20260926,food-cash,4,727,0.0024481914863268973,0.0001703204587772871,0.018143980831372516
R,20260926,food-cash,5,727,0.03804467000119001,-0.022417419072311717,0.019979106038586915
R,20260926,medical-cash,1,733,-0.1165750746250748,-0.11220441507923164,0.02061778382031301
R,20260926,medical-cash,2,732,-0.07411474517359871,-0.059666869345465876,0.017462705148739766
R,20260926,medical-cash,3,732,-0.048047385581920905,-0.0478159795005775,0.017926207782543883
R,20260926,medical-cash,4,732,-0.022977674061859407,-0.018603062960677312,0.017097730206777906
R,20260926,medical-cash,5,732,0.015714022752634622,-0.00692922131474143,0.01892440222676136
R,20260927,food-cash,1,727,-0.07762366551518327,0.008236396299975269,0.020816538763707093
R,20260927,food-cash,2,727,-0.03977125190781438,-0.01567495764945167,0.018573567753084688
R,20260927,food-cash,3,726,-0.01837532946201323,-0.027589580050868368,0.018621207743969616
R,20260927,food-cash,4,727,0.002612899576667765,-0.03275173753017999,0.0188070058780115
R,20260927,food-cash,5,727,0.038422064106572854,-0.023796071127978092,0.019700059488352743
R,20260927,medical-cash,1,733,-0.11871825586061145,-0.1077623858889032,0.020432521283222788
R,20260927,medical-cash,2,732,-0.07426515262815986,-0.07510816462027135,0.018292028440809606
R,20260927,medical-cash,3,732,-0.04812800999994104,-0.02246264791211392,0.017410203666908843
R,20260927,medical-cash,4,732,-0.022698940382194253,-0.0032127585280715583,0.016882388130610246
R,20260927,medical-cash,5,732,0.01821211012446631,-0.033900566151510554,0.018908153056765294
R,20260928,food-cash,1,727,-0.07836465910992402,0.005488761154094367,0.02085719152695831
R,20260928,food-cash,2,727,-0.04074549139818918,-0.03930311717360393,0.018721066850225298
R,20260928,food-cash,3,726,-0.0182101908289093,-0.030990020629733085,0.018732508390885565
R,20260928,food-cash,4,727,0.002740365906434886,-0.009033550520605222,0.018790131774466964
R,20260928,food-cash,5,727,0.038195441315308866,-0.019179553598318314,0.019516220970761992
R,20260928,medical-cash,1,733,-0.11757002387580681,-0.07862456626742736,0.019794663315281184
R,20260928,medical-cash,2,732,-0.07557867590694359,-0.07542325298595048,0.018167561506383233
R,20260928,medical-cash,3,732,-0.04897197589427093,-0.035334239494075936,0.018219589164573686
R,20260928,medical-cash,4,732,-0.022191076008611744,-0.03292537215437117,0.01703507270052998
R,20260928,medical-cash,5,732,0.018735497254610142,-0.017488238149694427,0.019266745819376745
R,20260929,food-cash,1,727,-0.07921367496248884,-0.01515150114154138,0.02055438193661365
R,20260929,food-cash,2,727,-0.0404055437786013,-0.005967719648853752,0.01899191191927198
R,20260929,food-cash,3,726,-0.017921642446773467,-0.019948040174457487,0.01854743451018602
R,20260929,food-cash,4,727,0.00325462371225123,-0.031913275532375815,0.019094527657862265
R,20260929,food-cash,5,727,0.04005076589331727,-0.02060283277616209,0.019274987383793955
R,20260929,medical-cash,1,733,-0.11387442342807333,-0.1047356609734437,0.020423461838555344
R,20260929,medical-cash,2,732,-0.0723811799095353,-0.05404767798266315,0.017512567740651883
R,20260929,medical-cash,3,732,-0.04709062933020474,-0.04795346566292363,0.017740388902161345
R,20260929,medical-cash,4,732,-0.021654823443977105,-0.02196301781907637,0.01807170791947674
R,20260929,medical-cash,5,732,0.015880287362734474,-0.015413875148083752,0.018430568758573553
A,20260925,food-cash,1,725,-0.078907223336311,-0.016163843721992116,0.020092931301320147
A,20260925,food-cash,2,724,-0.04084453295693234,-0.04078431925648238,0.019184447642508463
A,20260925,food-cash,3,724,-0.020102895979920824,-0.028133100249168725,0.018573179926640974
A,20260925,food-cash,4,724,0.00052520657280243,-0.01412530267409106,0.01943222046587078
A,20260925,food-cash,5,724,0.03622599116097648,-0.0019671591019878266,0.019538869911178303
A,20260925,medical-cash,1,730,-0.11636561762450526,-0.11060036768018425,0.019581997317306192
A,20260925,medical-cash,2,730,-0.07396400198302179,-0.07037235465503769,0.01909778463425486
A,20260925,medical-cash,3,729,-0.047951468554512724,-0.008077530117913909,0.017880242727179446
A,20260925,medical-cash,4,730,-0.022801559935616663,-0.021917201844199,0.01695216549304
A,20260925,medical-cash,5,730,0.018151810571970396,-0.03450639409791128,0.018809796876514285
A,20260926,food-cash,1,725,-0.07944536990752991,-0.021167232476022303,0.020999984901560794
A,20260926,food-cash,2,724,-0.04162311188861829,-0.006997206793081367,0.018333722818737307
A,20260926,food-cash,3,724,-0.02024395994680138,-0.019004675626682302,0.01812165545975714
A,20260926,food-cash,4,724,0.0009887754422711794,-0.014164290847611205,0.018980690630739337
A,20260926,food-cash,5,724,0.03698859647203249,-0.03454359460032418,0.02000762689626505
A,20260926,medical-cash,1,730,-0.11870307986108215,-0.10596445105490655,0.02030578043910683
A,20260926,medical-cash,2,730,-0.07549347437895798,-0.06901307485003606,0.017881518510986516
A,20260926,medical-cash,3,729,-0.04940907181769011,-0.009737982004194868,0.01838553792963171
A,20260926,medical-cash,4,730,-0.021955597764015906,-0.055992880221709763,0.017288957695548498
A,20260926,medical-cash,5,730,0.019447848731913492,-0.006128833239161033,0.01867784122514144
A,20260927,food-cash,1,725,-0.07752155177967474,-0.031097074781525,0.02004975615760448
A,20260927,food-cash,2,724,-0.041578350412926575,-0.005211218714298995,0.019021151364662512
A,20260927,food-cash,3,724,-0.01956109602352198,-0.025588103075360063,0.018683437524342178
A,20260927,food-cash,4,724,0.0022633270163080893,-0.030559240698016518,0.019119703732927686
A,20260927,food-cash,5,724,0.0386695113842175,-0.005914408593215604,0.019670230988955234
A,20260927,medical-cash,1,730,-0.11763878993874476,-0.11059471673390912,0.01960465599489434
A,20260927,medical-cash,2,730,-0.07600681292775854,-0.04047811681871787,0.018892380927345184
A,20260927,medical-cash,3,729,-0.04968169885565661,-0.05115460608211891,0.017675100791658117
A,20260927,medical-cash,4,730,-0.023515879229766286,-0.010600428185167403,0.017171233264715084
A,20260927,medical-cash,5,730,0.016789032852152712,-0.02961471720716545,0.018889127468882095
A,20260928,food-cash,1,725,-0.08029045920268472,0.0038676352678743936,0.020745878497201324
A,20260928,food-cash,2,724,-0.04063270317947233,-0.015340505573174276,0.01887959069909528
A,20260928,food-cash,3,724,-0.019411100654011606,-0.014764090373927237,0.01889951876704569
A,20260928,food-cash,4,724,0.0018165344889825108,-0.0419122422298464,0.01814937767281792
A,20260928,food-cash,5,724,0.03874284173098274,-0.03308033140608531,0.01969775689119105
A,20260928,medical-cash,1,730,-0.11769306373851839,-0.10541655147574634,0.0201992590732552
A,20260928,medical-cash,2,730,-0.07654962956266381,-0.0652135770266408,0.01870094987976748
A,20260928,medical-cash,3,729,-0.05031224421161615,-0.01612015754699733,0.017123942490641263
A,20260928,medical-cash,4,730,-0.023823538109993356,-0.027405152310197092,0.017887850015061456
A,20260928,medical-cash,5,730,0.016470607382592088,-0.027069676593372175,0.018336076982193732
A,20260929,food-cash,1,725,-0.07958918085647845,-0.01398022423305831,0.020957500432870108
A,20260929,food-cash,2,724,-0.04273162233960379,-0.03513591015884826,0.018234987351193253
A,20260929,food-cash,3,724,-0.020565164240756682,-0.0303785212442528,0.01879034931545804
A,20260929,food-cash,4,724,0.0016962599457203064,-0.012166934598013627,0.018403429601049178
A,20260929,food-cash,5,724,0.03836835062466382,-0.0056190037653272755,0.02007640700172438
A,20260929,medical-cash,1,730,-0.11562944354232194,-0.11516726250847965,0.020860521955206282
A,20260929,medical-cash,2,730,-0.07446333281020055,-0.07304111486036867,0.017153329368089113
A,20260929,medical-cash,3,729,-0.04890428916000777,-0.03715830692039849,0.017907046445194644
A,20260929,medical-cash,4,730,-0.02430273884248745,-0.0014908169295914288,0.017686185759736253
A,20260929,medical-cash,5,730,0.015396845457189955,-0.018589013233161828,0.018533052116415556
C,20260925,food-cash,1,684,-0.07608049490812152,-0.006377935659119985,0.021605098158338738
C,20260925,food-cash,2,683,-0.04188823506232743,-0.011999148291987356,0.020308100180116428
C,20260925,food-cash,3,683,-0.020989526804711705,-0.02408489058882905,0.018823377297284817
C,20260925,food-cash,4,683,0.0011984626241220472,-0.032529256904101335,0.01865550607753535
C,20260925,food-cash,5,683,0.037498703274825664,-0.016495188320741278,0.02046227032063883
C,20260925,medical-cash,1,691,-0.11764094232785559,-0.11637257242736686,0.02023467166612178
C,20260925,medical-cash,2,690,-0.07625500410381066,-0.05174044849381489,0.019164692588808385
C,20260925,medical-cash,3,690,-0.05091940588957508,-0.050262176429025994,0.01825397373357308
C,20260925,medical-cash,4,690,-0.026578655373509244,-0.030596024041313397,0.01782732005626227
C,20260925,medical-cash,5,691,0.013683449991860708,-0.0007552335040482441,0.019437249012719152
C,20260926,food-cash,1,684,-0.07817133401165269,-0.0011912018053373366,0.021519783237097585
C,20260926,food-cash,2,683,-0.041108198524198516,-0.012477197521019303,0.01891359346358417
C,20260926,food-cash,3,683,-0.018887114400271472,-0.029295051243216165,0.019170894509941555
C,20260926,food-cash,4,683,0.0020375941049907624,-0.013920569461926852,0.019058239208133092
C,20260926,food-cash,5,683,0.03822578212171017,-0.04149888252657972,0.021215580299342608
C,20260926,medical-cash,1,691,-0.11879637385344463,-0.09727260103602765,0.020951857872352018
C,20260926,medical-cash,2,690,-0.07648419545644415,-0.07955958208042231,0.01803501761520357
C,20260926,medical-cash,3,690,-0.051197388109515934,-0.01486484473900075,0.018461786186068845
C,20260926,medical-cash,4,690,-0.026018700386832846,-0.034552003100153196,0.018257473930198755
C,20260926,medical-cash,5,691,0.015149102515857079,-0.024296453026571244,0.019312171918569446
C,20260927,food-cash,1,684,-0.08008072704215595,-0.009174877683888985,0.022172312556047718
C,20260927,food-cash,2,683,-0.04274164344659472,-0.015208769665005013,0.01925050412137511
C,20260927,food-cash,3,683,-0.02023243863969577,0.005260508135737563,0.019295575921996204
C,20260927,food-cash,4,683,0.0016738661747353332,-0.030844067698282764,0.01840953011685216
C,20260927,food-cash,5,683,0.04083638373095573,-0.04305742519152356,0.020607353361963055
C,20260927,medical-cash,1,691,-0.11610238502904197,-0.10837148779634248,0.020428152951903897
C,20260927,medical-cash,2,690,-0.07597086648949249,-0.05407236854756309,0.018044384234120997
C,20260927,medical-cash,3,690,-0.0517342291576071,-0.049668059109592384,0.018483651776093613
C,20260927,medical-cash,4,690,-0.025105060641334324,-0.01665702613229015,0.01865174674464922
C,20260927,medical-cash,5,691,0.01892728143539478,-0.024186118557134307,0.019459759108810693
C,20260928,food-cash,1,684,-0.07798267620136481,0.02004285268163113,0.02141601479309042
C,20260928,food-cash,2,683,-0.039930720779076063,-0.04076936811021914,0.020144196019395783
C,20260928,food-cash,3,683,-0.018607974247207573,-0.023799214107783084,0.01852751041751615
C,20260928,food-cash,4,683,0.0029245720912741122,-0.020974132968418414,0.018979697111291865
C,20260928,food-cash,5,683,0.03865709490830018,-0.030884830702587136,0.02077561161983819
C,20260928,medical-cash,1,691,-0.1180799661003496,-0.11359752331025136,0.02050612458130795
C,20260928,medical-cash,2,690,-0.07649188203841467,-0.07847629858758373,0.01822900709042902
C,20260928,medical-cash,3,690,-0.052385519925400574,-0.03776515707772328,0.01862050969543093
C,20260928,medical-cash,4,690,-0.02644104260735949,0.00035569058313578367,0.018102951981978213
C,20260928,medical-cash,5,691,0.015491953712815483,-0.020651221187456895,0.01942885737390765
C,20260929,food-cash,1,684,-0.07637738347941805,-0.0018128291567681115,0.02101177441832926
C,20260929,food-cash,2,683,-0.04100170707365293,-0.04221673185302034,0.019755665559230716
C,20260929,food-cash,3,683,-0.020329473381002057,-0.006800677133507306,0.01914821464948484
C,20260929,food-cash,4,683,0.0003292745189884117,-0.016669076846663973,0.019342267903429633
C,20260929,food-cash,5,683,0.037863667254673876,-0.02487837073336147,0.020815673623642502
C,20260929,medical-cash,1,691,-0.11741240875597812,-0.09410991259456684,0.020434444173022436
C,20260929,medical-cash,2,690,-0.0777433096116785,-0.08560517542184219,0.018434199642309513
C,20260929,medical-cash,3,690,-0.052094511619781896,-0.039528332245114484,0.018673734472858437
C,20260929,medical-cash,4,690,-0.026385471071694522,-0.026498643297995048,0.01742186232089877
C,20260929,medical-cash,5,691,0.01313381635309598,-0.0057163470187666324,0.020018504230441315
Q1,20260925,food-cash,1,357,-0.08631825900569798,0.038904932565999785,0.030154114298879545
Q1,20260925,food-cash,2,356,-0.04598740724267408,-0.03696989827496858,0.02912061878193258
Q1,20260925,food-cash,3,356,-0.021876445165513708,-0.08864659854659175,0.02813834229873868
Q1,20260925,food-cash,4,356,0.0039016517600128802,0.030505309299299045,0.03037979141108713
Q1,20260925,food-cash,5,356,0.042086229188887686,-0.05993720261593145,0.030020849283860368
Q1,20260925,medical-cash,1,363,-0.13684155497200562,-0.09774723918772851,0.028406374916167217
Q1,20260925,medical-cash,2,363,-0.09359128251015293,-0.08004108058157446,0.027486637415881626
Q1,20260925,medical-cash,3,362,-0.06697764925829476,-0.08141736845641105,0.0267098978392887
Q1,20260925,medical-cash,4,363,-0.040120608291234774,-0.04477697681282842,0.02733806551171105
Q1,20260925,medical-cash,5,363,0.0002170085617728187,-0.025224438461369455,0.027151790674268064
Q1,20260926,food-cash,1,357,-0.08383607345786301,0.0020721461469340426,0.02974757006247785
Q1,20260926,food-cash,2,356,-0.04606396408437633,-0.017555639256822315,0.029493839346503514
Q1,20260926,food-cash,3,356,-0.021593192299380292,-0.015542033443595765,0.030452860209730395
Q1,20260926,food-cash,4,356,0.0024052629985783524,-0.053323492077124154,0.02999190079899312
Q1,20260926,food-cash,5,356,0.03825714736746116,-0.03015376117724952,0.02826926376976862
Q1,20260926,medical-cash,1,363,-0.13036502972270678,-0.12183759737599656,0.028326040353424897
Q1,20260926,medical-cash,2,363,-0.09082242464033698,-0.0806882888945513,0.02758529171558129
Q1,20260926,medical-cash,3,362,-0.06733403539178236,-0.08761699176927218,0.0281965598194272
Q1,20260926,medical-cash,4,363,-0.04256729105608647,-0.028483571201046165,0.02583388717757256
Q1,20260926,medical-cash,5,363,-0.001016014608084161,-0.014584578807360688,0.027158138685134007
Q1,20260927,food-cash,1,357,-0.08588954181776769,-0.013112950363090809,0.03116260478703942
Q1,20260927,food-cash,2,356,-0.04751149210732411,-0.019811770777098805,0.029433911505407466
Q1,20260927,food-cash,3,356,-0.024071046507324688,-0.02773635100934884,0.029574725751637953
Q1,20260927,food-cash,4,356,0.0004887582610330885,-0.04472600452593052,0.029373328067560545
Q1,20260927,food-cash,5,356,0.038819673188296835,-0.010427290806517794,0.02879119174524054
Q1,20260927,medical-cash,1,363,-0.13088419421698366,-0.12225361876805163,0.02879037417013374
Q1,20260927,medical-cash,2,363,-0.09191481184287296,-0.09720346473182373,0.02871007716802749
Q1,20260927,medical-cash,3,362,-0.06794013121711479,-0.08456396893009346,0.026636181349993557
Q1,20260927,medical-cash,4,363,-0.041981938893522606,-0.007281170498649438,0.027045011055002066
Q1,20260927,medical-cash,5,363,-0.001815606545129098,-0.020644592939439963,0.025607001495195052
Q1,20260928,food-cash,1,357,-0.0841471367026883,0.013591708547316155,0.030924742904482407
