sample,seed,model,r2,mse,N
R,20260925,ridge_additive,0.03600038341996603,0.06387732415498254,5497
R,20260925,ridge_form_interactions,0.023793836148934933,0.0646861642866944,5497
R,20260925,rf_common,0.047944491074672024,0.06308587400990012,5497
R,20260925,rf_form_specific,0.04284836483980281,0.06342355765815127,5497
R,20260926,ridge_additive,0.031249254883497724,0.06419214728603591,5497
R,20260926,ridge_form_interactions,0.018183058292684517,0.06505795019793449,5497
R,20260926,rf_common,0.04582453261022079,0.06322634841642455,5497
R,20260926,rf_form_specific,0.039003301591787554,0.06367834235647017,5497
R,20260927,ridge_additive,0.042587743698359715,0.06344082714752375,5497
R,20260927,ridge_form_interactions,0.025654318527954967,0.06456288349491264,5497
R,20260927,rf_common,0.047877962366336235,0.06309028238910991,5497
R,20260927,rf_form_specific,0.03940339393461045,0.06365183111327581,5497
R,20260928,ridge_additive,0.03899324434267548,0.06367900877806473,5497
R,20260928,ridge_form_interactions,0.020440915208882693,0.06490833825239946,5497
R,20260928,rf_common,0.05168638722474639,0.06283792545346754,5497
R,20260928,rf_form_specific,0.03738007650069275,0.06378590181348345,5497
R,20260929,ridge_additive,0.03874150096553364,0.06369569000182145,5497
R,20260929,ridge_form_interactions,0.018121927271812943,0.06506200091120136,5497
R,20260929,rf_common,0.050908536071168076,0.06288946805724753,5497
R,20260929,rf_form_specific,0.0412613034945053,0.06352872080372084,5497
A,20260925,ridge_additive,0.042196677095614255,0.06335717847131235,5480
A,20260925,ridge_form_interactions,0.018740492220030824,0.06490876808880502,5480
A,20260925,rf_common,0.04809686166076255,0.06296689057235806,5480
A,20260925,rf_form_specific,0.04097107275805911,0.06343825026433372,5480
A,20260926,ridge_additive,0.0371833517071406,0.06368880203512409,5480
A,20260926,ridge_form_interactions,0.017836677385482336,0.06496855401396122,5480
A,20260926,rf_common,0.04871566711964537,0.06292595756767963,5480
A,20260926,rf_form_specific,0.04009024558096441,0.06349651559222208,5480
A,20260927,ridge_additive,0.03696379676982531,0.06370332524778696,5480
A,20260927,ridge_form_interactions,0.024043060466416466,0.06455801156634504,5480
A,20260927,rf_common,0.04704293991090547,0.06303660583310493,5480
A,20260927,rf_form_specific,0.03788090983981984,0.06364265966533961,5480
A,20260928,ridge_additive,0.0370177163649974,0.06369975855164724,5480
A,20260928,ridge_form_interactions,0.02543277244232811,0.06446608431199541,5480
A,20260928,rf_common,0.04691692465129382,0.063044941543686,5480
A,20260928,rf_form_specific,0.04330722907822704,0.06328371721002678,5480
A,20260929,ridge_additive,0.03490841035362746,0.06383928581597927,5480
A,20260929,ridge_form_interactions,0.019167401698757858,0.06488052870041704,5480
A,20260929,rf_common,0.0487214238869903,0.0629255767666035,5480
A,20260929,rf_form_specific,0.036450985595975816,0.06373724689776114,5480
C,20260925,ridge_additive,0.04069342978702628,0.06382845848944632,5171
C,20260925,ridge_form_interactions,0.021090774592587014,0.06513274150200134,5171
C,20260925,rf_common,0.051360664209961104,0.06311870297363625,5171
C,20260925,rf_form_specific,0.04045475784595187,0.06384433877480711,5171
C,20260926,ridge_additive,0.04084132779175298,0.06381861794217135,5171
C,20260926,ridge_form_interactions,0.017575832514012513,0.06536661182200268,5171
C,20260926,rf_common,0.04984134222474523,0.06321979263910568,5171
C,20260926,rf_form_specific,0.03748182328666683,0.06404214606186347,5171
C,20260927,ridge_additive,0.03817147686309741,0.06399625924523765,5171
C,20260927,ridge_form_interactions,0.019533266404462513,0.06523637192612175,5171
C,20260927,rf_common,0.0518644806780264,0.06308518102192996,5171
C,20260927,rf_form_specific,0.044483047208538684,0.06357631236036666,5171
C,20260928,ridge_additive,0.03976118088096492,0.06389048663816332,5171
C,20260928,ridge_form_interactions,0.025223045367541275,0.06485779657634763,5171
C,20260928,rf_common,0.050060840255243044,0.06320518810978924,5171
C,20260928,rf_form_specific,0.040922608045258824,0.06381320987612865,5171
C,20260929,ridge_additive,0.04197184818143773,0.0637433975944691,5171
C,20260929,ridge_form_interactions,0.022253302476548886,0.06505539150244091,5171
C,20260929,rf_common,0.05033151039465611,0.06318717879108518,5171
C,20260929,rf_form_specific,0.03957499065281245,0.06390287499827445,5171
Q1,20260925,ridge_additive,0.018739739347864548,0.07012157744232556,2715
Q1,20260925,ridge_form_interactions,-0.029092433470740087,0.07353969957060313,2715
Q1,20260925,rf_common,0.025925312373346943,0.06960809112724847,2715
Q1,20260925,rf_form_specific,0.017538170566870903,0.07020744242810693,2715
Q1,20260926,ridge_additive,0.017166116740826576,0.07023402966721345,2715
Q1,20260926,ridge_form_interactions,-0.027152752055616514,0.07340108851498611,2715
Q1,20260926,rf_common,0.02682603685601115,0.06954372469552997,2715
Q1,20260926,rf_form_specific,0.021626592163995317,0.06991528082416192,2715
Q1,20260927,ridge_additive,0.013754442278476997,0.07047783042488467,2715
Q1,20260927,ridge_form_interactions,-0.039336233954635924,0.07427172906139068,2715
Q1,20260927,rf_common,0.029047197394780233,0.06938499893542671,2715
Q1,20260927,rf_form_specific,0.021099062156221038,0.06995297850517135,2715
Q1,20260928,ridge_additive,0.02313089620278519,0.06980778215496818,2715
Q1,20260928,ridge_form_interactions,-0.020888274420434616,0.07295342435161808,2715
Q1,20260928,rf_common,0.027553373394781255,0.06949174869336709,2715
Q1,20260928,rf_form_specific,0.023922765808454094,0.0697511945725451,2715
Q1,20260929,ridge_additive,0.019280090814422612,0.07008296353047393,2715
Q1,20260929,ridge_form_interactions,-0.029165977260147358,0.07354495506369821,2715
Q1,20260929,rf_common,0.032327971312104076,0.06915055242664678,2715
Q1,20260929,rf_form_specific,0.023364986050174896,0.06979105392289721,2715
Q2,20260925,ridge_additive,-0.05437034021583287,0.08410065405836088,1208
Q2,20260925,ridge_form_interactions,-0.15947025688622407,0.09248382968112145,1208
Q2,20260925,rf_common,-0.005678016203116476,0.08021676607242531,1208
Q2,20260925,rf_form_specific,-0.006984943126224996,0.08032101161580564,1208
Q2,20260926,ridge_additive,-0.029102127862544735,0.08208516376548895,1208
Q2,20260926,ridge_form_interactions,-0.10051131313534634,0.0877810364187238,1208
Q2,20260926,rf_common,0.004271173534815653,0.0794231802398235,1208
Q2,20260926,rf_form_specific,0.0037126885923158826,0.07946772715768954,1208
Q2,20260927,ridge_additive,-0.031383394664529884,0.08226712642396938,1208
Q2,20260927,ridge_form_interactions,-0.09829287976115353,0.08760408559732995,1208
Q2,20260927,rf_common,0.009570283545788372,0.07900050274136619,1208
Q2,20260927,rf_form_specific,-0.0006673608845837453,0.07981709683527347,1208
Q2,20260928,ridge_additive,-0.0311454042853494,0.0822481433913619,1208
Q2,20260928,ridge_form_interactions,-0.1175641591127452,0.0891412373325338,1208
Q2,20260928,rf_common,-0.003011547661387448,0.08000407823416579,1208
Q2,20260928,rf_form_specific,-0.0023234864394181542,0.0799491958113655,1208
Q2,20260929,ridge_additive,-0.01344365324926633,0.0808361833016954,1208
Q2,20260929,ridge_form_interactions,-0.05836730732549644,0.08441946760550946,1208
Q2,20260929,rf_common,0.011042155589809699,0.07888310053753801,1208
Q2,20260929,rf_form_specific,0.013399097632103452,0.07869510172936404,1208
