sample,amount,classification,outcome,N,N_food,N_cash,food_minus_cash,se,lo,hi
R,200,ambiguous,outcome_ord,40,21,19,-0.6215538847117794,0.525010315549342,-1.6505741031884897,0.4074663337649309
R,200,ambiguous,mpc_midpoint,40,21,19,-0.12067669172932333,0.0882786898669711,-0.29370292386858665,0.052349540409940026
R,200,strict_inframarginal,outcome_ord,1193,593,600,-0.13047779651489622,0.09601220162455866,-0.3186617116990312,0.05770611866923875
R,200,strict_inframarginal,mpc_midpoint,1193,593,600,-0.021076658234963436,0.016622383591555122,-0.05365653007441147,0.0115032136044846
R,1000,ambiguous,outcome_ord,49,26,23,-0.5250836120401339,0.41758961656944893,-1.3435592605162539,0.293392036435986
R,1000,ambiguous,mpc_midpoint,49,26,23,-0.10886287625418058,0.06761413746342015,-0.24138658568248406,0.023660833174122917
R,1000,strict_inframarginal,outcome_ord,1166,594,572,-0.11480186480186516,0.09092328309662616,-0.2930114996712524,0.0634077700675221
R,1000,strict_inframarginal,mpc_midpoint,1166,594,572,-0.022039303289303286,0.015330728706742375,-0.05208753155451834,0.008008924975911769
R,5000,ambiguous,outcome_ord,227,120,107,0.005451713395638436,0.19396170463492485,-0.37471322768881427,0.38561665448009114
R,5000,ambiguous,mpc_midpoint,227,120,107,0.022404595015576317,0.031403765965472896,-0.039146786276750556,0.08395597630790319
R,5000,binding,outcome_ord,56,27,29,0.3524904214559388,0.3032311046855606,-0.24184254372775993,0.9468233866396375
R,5000,binding,mpc_midpoint,56,27,29,0.05102171136653895,0.04004786725249246,-0.027472108448346272,0.12951553118142417
R,5000,strict_inframarginal,outcome_ord,903,455,448,-0.11830357142857117,0.09899075340214035,-0.31232544809676627,0.07571830523962392
R,5000,strict_inframarginal,mpc_midpoint,903,455,448,-0.016589114010989003,0.016683468433792956,-0.0492887121412232,0.01611048411924519
A,200,ambiguous,outcome_ord,40,21,19,-0.6215538847117794,0.525010315549342,-1.6505741031884897,0.4074663337649309
A,200,ambiguous,mpc_midpoint,40,21,19,-0.12067669172932333,0.0882786898669711,-0.29370292386858665,0.052349540409940026
A,200,strict_inframarginal,outcome_ord,1191,592,599,-0.13743626765329608,0.09600950737371564,-0.3256149021057787,0.05074236679918656
A,200,strict_inframarginal,mpc_midpoint,1191,592,599,-0.022501818909894916,0.016611313075953406,-0.05505999253876359,0.010056354718973759
A,1000,ambiguous,outcome_ord,49,26,23,-0.5250836120401339,0.41758961656944893,-1.3435592605162539,0.293392036435986
A,1000,ambiguous,mpc_midpoint,49,26,23,-0.10886287625418058,0.06761413746342015,-0.24138658568248406,0.023660833174122917
A,1000,strict_inframarginal,outcome_ord,1162,593,569,-0.11943381631630912,0.09097726921483318,-0.2977492639773821,0.0588816313447639
A,1000,strict_inframarginal,mpc_midpoint,1162,593,569,-0.02305566998698938,0.015335359891894848,-0.05311297537510328,0.007001635401124522
