sample,outcome,N,wald,p,df
R,outcome_ord,3634,2.359918155259089,0.3072913134327995,2
R,mpc_midpoint,3634,2.8919601765457723,0.23551513777953156,2
A,outcome_ord,3621,2.3838250601158117,0.3036399877862827,2
A,mpc_midpoint,3621,2.98801855809855,0.22447088261090817,2
C,outcome_ord,3416,1.7501499970349215,0.41683075681739556,2
C,mpc_midpoint,3416,2.530985156643576,0.2821003054164069,2
Q1,outcome_ord,1781,0.7296747702789185,0.6943095467485736,2
Q1,mpc_midpoint,1781,1.9138353012634457,0.3840749163998213,2
Q2,outcome_ord,819,0.9616354887302367,0.6182775920099153,2
Q2,mpc_midpoint,819,2.090485285627616,0.3516064942376043,2
