sample,outcome,amount,contrast,effect,se,lo,hi,p,N
R,outcome_ord,pooled,food-cash,-0.12090594487702377,0.05211188523553517,-0.2230452399386727,-0.018766649815374833,0.02033426454514097,5497
R,outcome_ord,pooled,medical-cash,-0.3107878557734276,0.050779647814574766,-0.41031596548999416,-0.21125974605686104,9.338575662709323e-10,5497
R,outcome_ord,pooled,medical-food,-0.18988191089640383,0.04999613991510845,-0.2878743451300164,-0.09188947666279126,0.0001459086749758303,5497
R,outcome_ord,200,food-cash,-0.14874784905779537,0.09459093976604069,-0.3341460909992351,0.036650392883644384,0.11582582911570745,1848
R,outcome_ord,200,medical-cash,-0.47197551781656744,0.09157339142688756,-0.6514593650132671,-0.2924916706198678,2.548949759623478e-07,1848
R,outcome_ord,200,medical-food,-0.32322766875877207,0.09034052509051577,-0.500295097936183,-0.14616023958136118,0.000346390782129963,1848
R,outcome_ord,1000,food-cash,-0.13400650582813745,0.0892478788428278,-0.30893234836007993,0.04091933670380504,0.1332239243907249,1827
R,outcome_ord,1000,medical-cash,-0.2723155929038281,0.0879736586797745,-0.4447439639161861,-0.09988722189147012,0.0019653309905621258,1827
R,outcome_ord,1000,medical-food,-0.13830908707569067,0.0846153323444094,-0.3041551384707331,0.027536964319351764,0.10214070026460738,1827
R,outcome_ord,5000,food-cash,-0.07414781777636215,0.086164377933065,-0.24302999852516954,0.09473436297244525,0.3894919299681191,1822
R,outcome_ord,5000,medical-cash,-0.18161454294822077,0.08369031679453909,-0.34564756386551737,-0.017581522030924168,0.030000912468757395,1822
R,outcome_ord,5000,medical-food,-0.10746672517185862,0.08472711029058762,-0.2735318613414104,0.05859841099769311,0.20465995058542263,1822
R,mpc_midpoint,pooled,food-cash,-0.019314337402245557,0.008831594607507183,-0.036624262832959636,-0.002004411971531478,0.028745499904373358,5497
R,mpc_midpoint,pooled,medical-cash,-0.04897869912116823,0.008425829075808904,-0.06549332410975368,-0.032464074132582774,6.139115245292451e-09,5497
R,mpc_midpoint,pooled,medical-food,-0.02966436171892267,0.008213526153886019,-0.04576287298053927,-0.013565850457306076,0.0003042578770419847,5497
R,mpc_midpoint,200,food-cash,-0.024611843732404437,0.016344991510597384,-0.05664802709317531,0.007424339628366437,0.1321255065298999,1848
R,mpc_midpoint,200,medical-cash,-0.07567371974204395,0.015488763406467704,-0.10603169601872066,-0.04531574346536725,1.0305296208239757e-06,1848
