sample,seed,source,target,N_target,spearman,pearson,target_centered_r2,rmse
R,20260925,cash,cash,1798,0.18849753115049786,0.22063940973590024,0.04677135343715244,0.26425022422790295
R,20260925,cash,food,1836,0.17636231651787115,0.18674198636136843,0.02852934851533251,0.2576276418148883
R,20260925,cash,medical,1863,0.09976315512802356,0.12167108043628375,-0.03519595407551801,0.24138960150201608
R,20260925,food,cash,1798,0.19638138159564086,0.20202029238727245,0.035091579251493976,0.2658642053999221
R,20260925,food,food,1836,0.171409603056115,0.1852174604277574,0.033821793497661456,0.2569249225875288
R,20260925,food,medical,1863,0.14747551174788814,0.15278208847437663,0.004484680413124886,0.23671798132229427
R,20260925,medical,cash,1798,0.12413522324868807,0.12605418439269359,-0.01504162433919265,0.27268342973849763
R,20260925,medical,food,1836,0.14319474482126893,0.14267129556539093,0.007447286143971055,0.2604080505356129
R,20260925,medical,medical,1863,0.1535303937541537,0.17769694707008246,0.031394369379318166,0.23349671203632966
R,20260926,cash,cash,1798,0.1835483915403658,0.21511686833554472,0.04486599970014804,0.26451418964996537
R,20260926,cash,food,1836,0.17847783374157403,0.18064238490317103,0.026413756930521726,0.25790800975984907
R,20260926,cash,medical,1863,0.10076457980624326,0.1144189736238537,-0.04012589696062574,0.24196370704738004
R,20260926,food,cash,1798,0.19599282298483645,0.2085216799080088,0.03762183091764115,0.26551539254056494
R,20260926,food,food,1836,0.17523064904820465,0.18127022380116004,0.03263079301914884,0.2570832285095132
R,20260926,food,medical,1863,0.12781328472587866,0.13508721493792858,-0.0024188368852600117,0.23753733754569786
R,20260926,medical,cash,1798,0.11788282753542224,0.11659191835583958,-0.01770618599548568,0.2730411025597151
R,20260926,medical,food,1836,0.13632580130891,0.13737240098909323,0.00572531745015703,0.2606338421664081
R,20260926,medical,medical,1863,0.13112929439941853,0.15441309830078517,0.02369589687685747,0.23442279088569404
R,20260927,cash,cash,1798,0.16862046353215532,0.20138728115158572,0.040064849219139664,0.26517817003995225
R,20260927,cash,food,1836,0.17295319734595285,0.17878873600505138,0.025654585245864503,0.2580085444097356
R,20260927,cash,medical,1863,0.1053409746320447,0.10445774448257507,-0.042531153290798374,0.2422433119842193
R,20260927,food,cash,1798,0.19222072044038588,0.20492345764411118,0.03597211018492019,0.26574287000482794
R,20260927,food,food,1836,0.15889025178839902,0.16112377704602956,0.025936045927971718,0.25797127605245346
R,20260927,food,medical,1863,0.15371690386665984,0.16465264648710348,0.00812871428585793,0.2362843369790395
R,20260927,medical,cash,1798,0.11720744528139193,0.12077290177824464,-0.016634035596398755,0.2728972406709799
R,20260927,medical,food,1836,0.1488477609068934,0.15743655908495463,0.011112001092573709,0.2599268651127779
R,20260927,medical,medical,1863,0.16356615702927782,0.1845109566311653,0.033697818005093194,0.23321890659664526
R,20260928,cash,cash,1798,0.16012780022932363,0.1899681085699499,0.035947052134888025,0.2657463237196692
R,20260928,cash,food,1836,0.18511970712837122,0.18994163374943768,0.02972012856305295,0.2574696998734432
R,20260928,cash,medical,1863,0.10994436864047215,0.12008498182267743,-0.035853174157741474,0.24146621546143163
R,20260928,food,cash,1798,0.2033958633782514,0.21255257806759897,0.03843722874472222,0.26540288658429584
R,20260928,food,food,1836,0.16821212036529368,0.1588000738649526,0.02518299861092954,0.25807097538153223
R,20260928,food,medical,1863,0.14008079230734055,0.1532403386101923,0.005508731640522124,0.23659619830870535
R,20260928,medical,cash,1798,0.15350735818761427,0.1480013854730408,-0.010011399596270065,0.2720069242125222
R,20260928,medical,food,1836,0.15694317299536714,0.15360148122756623,0.009475903964213273,0.2601417983736144
R,20260928,medical,medical,1863,0.17179484759990804,0.18439450339768312,0.03346167217049323,0.23324740198351332
R,20260929,cash,cash,1798,0.18678793152569304,0.21948167366917315,0.04609891801352539,0.26434341272261197
R,20260929,cash,food,1836,0.1891921182176236,0.19540811195511937,0.031744757176920047,0.2572009358020066
R,20260929,cash,medical,1863,0.12338597350363029,0.1309985232618713,-0.03173175623612057,0.24098536784358934
R,20260929,food,cash,1798,0.18394748916214965,0.20285104062003323,0.0353669445223882,0.2658262665700511
R,20260929,food,food,1836,0.1460650523974282,0.15094438166055868,0.02250127197757379,0.25842570887742866
R,20260929,food,medical,1863,0.13319363218398214,0.14182800506875512,0.00036357930989261433,0.2372074420055938
R,20260929,medical,cash,1798,0.13236106433624178,0.13619032805633896,-0.012431639485036339,0.2723326275184594
R,20260929,medical,food,1836,0.14732056007303376,0.14452570236627207,0.007206781453123257,0.2604395982626785
R,20260929,medical,medical,1863,0.17784096870291463,0.19672065995696386,0.03763367809565399,0.23274345822874123
A,20260925,cash,cash,1790,0.1938271371750681,0.21463025009483078,0.0446449849011451,0.2649097479660462
