bootstrap,source,target,normalized_spearman_gap
0,cash,food,0.11304765930783527
0,cash,medical,-0.008339446781642876
1,cash,food,-0.003115022987383226
1,cash,medical,-0.015484088071453073
2,cash,food,0.016469052167346593
2,cash,medical,-0.02701934519789502
3,cash,food,0.07853305642098377
3,cash,medical,-0.030659637170272203
4,cash,food,0.033672903083265385
4,cash,medical,-0.051848660200729105
5,cash,food,0.05960017855597359
5,cash,medical,-0.04952516989083879
6,cash,food,0.0014163667997431628
6,cash,medical,-0.07330318483747172
7,cash,food,0.050703378093952034
7,cash,medical,-0.10978197620161803
8,cash,food,-0.01392553790741416
8,cash,medical,-0.08905777526739464
9,cash,food,0.00942998174958995
9,cash,medical,-0.021852263302801628
10,cash,food,0.03257865559142334
10,cash,medical,-0.03931212074147172
11,cash,food,0.029710686120369117
11,cash,medical,-0.059336014069428476
12,cash,food,0.0008679091211052647
12,cash,medical,-0.03878209817862496
13,cash,food,0.09365476489237647
13,cash,medical,0.008556010722786958
14,cash,food,0.04431715035523397
14,cash,medical,-0.08911733436220101
15,cash,food,-0.0693883580430222
15,cash,medical,-0.05866566771624827
16,cash,food,-0.0044021844109502495
16,cash,medical,-0.024987338236323278
17,cash,food,0.04795023618165041
17,cash,medical,-0.06852331214283171
18,cash,food,0.08288130764359303
18,cash,medical,-0.0802693972823359
19,cash,food,0.010262756043958293
19,cash,medical,-0.005758574610768938
20,cash,food,-0.04961118001090903
20,cash,medical,-0.02881051210311389
21,cash,food,-0.008599677943923023
21,cash,medical,-0.1012319572864297
22,cash,food,-0.021359371159985707
22,cash,medical,-0.03485445240891856
23,cash,food,0.02271476335238709
23,cash,medical,-0.015153015821156426
24,cash,food,0.0028358622994653637
24,cash,medical,-0.029614088718216997
25,cash,food,-0.07733282710293324
25,cash,medical,-0.07637147874513117
26,cash,food,-0.040257038462362255
26,cash,medical,-0.08205084708369095
27,cash,food,0.04445984533871887
27,cash,medical,-0.008517287731178866
28,cash,food,-0.018120361916164535
28,cash,medical,-0.13140612985101657
29,cash,food,-0.008272888701874703
29,cash,medical,-0.0351491395419983
30,cash,food,0.04348068915755052
30,cash,medical,0.054158734383424084
