sample,source,target,spearman_gap_vs_target_within,r2_gap_vs_target_within,spearman_ratio_vs_target_within
A,cash,cash,0.0,0.0,1.0
A,cash,food,0.01990624143060238,0.00125588140344568,1.126015240454988
A,cash,medical,-0.0602162406211279,-0.0721317087260851,0.6395179198362818
A,food,cash,0.015974759649387688,-0.002273723059979839,1.0914104656852093
A,food,food,0.0,0.0,1.0
A,food,medical,-0.02762019894044415,-0.029836374040356706,0.8346528002099555
A,medical,cash,-0.04100219874721722,-0.05379629200480336,0.7653779985513403
A,medical,food,-0.005282223695002225,-0.018396736801105495,0.9665612068765812
A,medical,medical,0.0,0.0,1.0
C,cash,cash,0.0,0.0,1.0
C,cash,food,0.02907479550490072,0.001050539377119051,1.1995488516556567
C,cash,medical,-0.07630178249058558,-0.07539494484132085,0.5784083101316347
C,food,cash,0.025458136981865248,0.000945625903920555,1.1669368878201631
C,food,food,0.0,0.0,1.0
C,food,medical,-0.05558946218274555,-0.03306196898231954,0.6928504874261763
C,medical,cash,-0.028921213115776057,-0.052806053742267746,0.8103546495578012
C,medical,food,0.003406576293564223,-0.02270740062634287,1.023380332540724
C,medical,medical,0.0,0.0,1.0
Q1,cash,cash,0.0,0.0,1.0
Q1,cash,food,0.056408121813770334,0.0044054519775945655,1.8056172107962742
Q1,cash,medical,-0.11471333007341321,-0.11719774615573714,0.3150067899358267
Q1,food,cash,0.029035184937986028,-0.0004502379152854681,1.3806784436798165
Q1,food,food,0.0,0.0,1.0
Q1,food,medical,-0.07378623986506386,-0.06453749322724518,0.5593966867548081
Q1,medical,cash,-0.009055741041012214,-0.06184953911667253,0.8812707612084151
Q1,medical,food,0.04060013261187036,-0.02654212627820749,1.5798485136718228
Q1,medical,medical,0.0,0.0,1.0
Q2,cash,cash,0.0,0.0,
Q2,cash,food,0.012011595300193936,0.00421765431246901,
Q2,cash,medical,-0.0647840896003266,-0.0592683583242195,0.09875668309544834
Q2,food,cash,0.04609983393217107,-0.005421841679718575,
Q2,food,food,0.0,0.0,
Q2,food,medical,-0.03391059855742522,-0.07557662498355291,0.5282529937418687
Q2,medical,cash,0.013816263693716774,-0.03495366287312329,
Q2,medical,food,0.019574113870311365,-0.03578122453814534,
Q2,medical,medical,0.0,0.0,1.0
R,cash,cash,0.0,0.0,1.0
R,cash,food,0.01645949925919049,0.0003979346796812791,1.10038634504095
R,cash,medical,-0.05173252195505176,-0.06906427384964403,0.6758051899703873
R,food,cash,0.016871231916645718,-0.006251695776737565,1.095040400065063
R,food,food,0.0,0.0,1.0
R,food,medical,-0.019116307330784676,-0.0287633131526557,0.8802028706631372
R,medical,cash,-0.04849763987773548,-0.057114611503447404,0.7267991383816071
R,medical,food,-0.017435127309993442,-0.019821122585849404,0.893663307831397
R,medical,medical,0.0,0.0,1.0
