variable,test,N,missing_N,statistic,df,p,bh_q
q42_age,anova,5497,0,1.973607668781849,8,0.04571908400365651,0.8644348679207293
q06_socsec,anova,5497,0,0.5222044826682594,8,0.8406861145461944,0.9981756655873498
q07_emergfund,anova,5497,0,0.9553310190468584,8,0.46924842304212666,0.9981756655873498
q09_gain,anova,5497,0,0.673597887073238,8,0.715295255642912,0.9981756655873498
q10_effort,anova,5497,0,0.7153228924365473,8,0.6782582875658012,0.9981756655873498
q11_mobility,anova,5497,0,0.6937729753545879,8,0.6974487179533897,0.9981756655873498
q13_pressure,anova,5497,0,0.5872878804320051,8,0.7892239043281737,0.9981756655873498
q15_fut_self,anova,5497,0,0.3171364037650012,8,0.9599405773757081,0.9981756655873498
q17a_fut_econ,anova,5497,0,0.1263609420776504,8,0.9981756655873497,0.9981756655873498
q17b_fut_job,anova,5497,0,0.7836957916296711,8,0.617081814603102,0.9981756655873498
q17c_fut_price,anova,5497,0,0.47549959532565855,8,0.8742952280326748,0.9981756655873498
q17e_fut_welfare,anova,5497,0,0.29514505199740104,8,0.9678581072711185,0.9981756655873498
q18_ses_now,anova,5497,0,0.6338349317485822,8,0.749949651083143,0.9981756655873498
q19_ses_past5,anova,5497,0,0.41109976708186874,8,0.9148909378811825,0.9981756655873498
q20_ses_next1,anova,5497,0,0.4748070282490326,8,0.8747690967584905,0.9981756655873498
q01_lifesat,anova,5497,0,0.23211566062124103,8,0.9850697899484376,0.9981756655873498
q02_safety,anova,5497,0,1.1444269841626853,8,0.32957155824864104,0.9981756655873498
q03a_fair_dist,anova,5497,0,0.4823248130760099,8,0.8695850462712835,0.9981756655873498
q03b_fair_opp,anova,5497,0,0.5235039760281486,8,0.8397073342114261,0.9981756655873498
q03c_fair_rule,anova,5497,0,0.46172545579737534,8,0.883575170284046,0.9981756655873498
q04_trust_gov,anova,5497,0,0.4380262579265998,8,0.8988007606619849,0.9981756655873498
q05_trust_soc,anova,5497,0,0.6142758826781692,8,0.7666537961411687,0.9981756655873498
q08_support,anova,5497,0,0.805488450101799,8,0.5976648886560911,0.9981756655873498
q12_voice,anova,5497,0,1.1105303836277365,8,0.35235562788725644,0.9981756655873498
q16_fut_society,anova,5497,0,0.606786729983083,8,0.772976632014232,0.9981756655873498
q17d_fut_fair,anova,5497,0,0.583648120772494,8,0.7922196714027182,0.9981756655873498
q21_order,anova,5497,0,0.5482925120023042,8,0.8206305867547737,0.9981756655873498
q22_vitality,anova,5497,0,0.7253352345538443,8,0.6693118606796524,0.9981756655873498
q43_edu,anova,5497,0,0.6217034893773815,8,0.7603415433176222,0.9981756655873498
income_h,anova,5497,0,1.2702921627812611,8,0.25407791079104675,0.9981756655873498
q28_hhsize,anova,5497,0,1.850887375509973,8,0.06325133179907776,0.8644348679207293
q29_foodexp,anova,5497,0,1.270810831265817,8,0.25379635946896156,0.9981756655873498
q30_medexp,anova,5497,0,0.5631080948771673,8,0.8088848140616848,0.9981756655873498
q49_citytier,anova,5497,0,1.4796802230686563,8,0.1588977958869725,0.9981756655873498
q41_gender,chi_square,5497,0,3.381669256632671,8,0.9081767765932363,0.9981756655873498
q23_hukou,chi_square,5497,0,16.62731727118417,16,0.4101001503151628,0.9981756655873498
q24_workstat,chi_square,5497,0,32.186056388390526,32,0.4575424189257695,0.9981756655873498
q25_unittype,chi_square,5497,0,73.03864409727566,56,0.06272501967801104,0.8644348679207293
q26_housing,chi_square,5497,0,14.234996825254331,16,0.5812119508883568,0.9981756655873498
q27_minorchild,chi_square,5497,0,9.92813488918406,8,0.2701061989548249,0.9981756655873498
q31_gotsubsidy,chi_square,5497,0,8.263178963841833,16,0.940642309018528,0.9981756655873498
