amount,outcome_ord,N,percent
200,1.0,598,32.35930735930736
200,2.0,331,17.91125541125541
200,3.0,362,19.58874458874459
200,4.0,272,14.71861471861472
200,5.0,104,5.627705627705628
200,6.0,181,9.794372294372295
1000,1.0,557,30.487137383689106
1000,2.0,365,19.978106185002737
1000,3.0,399,21.839080459770116
1000,4.0,271,14.833059660645867
1000,5.0,106,5.801860974274767
1000,6.0,129,7.060755336617405
5000,1.0,566,31.06476399560922
5000,2.0,357,19.59385290889133
5000,3.0,435,23.874862788144895
5000,4.0,244,13.391877058177826
5000,5.0,118,6.476399560922063
5000,6.0,102,5.598243688254665
