assignment,variable,kind,p_value,max_mean_range_in_SD
type,q42_age,continuous,0.5418479221387006,0.03541793892479314
type,q06_socsec,continuous,0.7969542274400625,0.0219241526095433
type,q07_emergfund,continuous,0.9402266669215011,0.011335677908504592
type,q13_pressure,continuous,0.7851024589673761,0.020656089348403045
type,q15_fut_self,continuous,0.7980982773969546,0.021734560696651625
type,q16_fut_society,continuous,0.6949061229140691,0.027963536333039215
type,q17a_fut_econ,continuous,0.9243440157393779,0.01237262265409304
type,q17b_fut_job,continuous,0.8152294255746231,0.020959943606264894
type,q41_gender,categorical,0.42027492266393973,
type,q43_edu,categorical,0.9784226313431025,
type,q46_income,categorical,0.10545638022193121,
type,q23_hukou,categorical,0.6251365575280463,
type,q24_workstat,categorical,0.7613670984952561,
type,q25_unittype,categorical,0.3393149056779734,
type,q26_housing,categorical,0.682402629884141,
type,q27_minorchild,categorical,0.35174092155405046,
type,q28_hhsize,categorical,0.38402291806765426,
type,q29_foodexp,categorical,0.7561826653702641,
type,q30_medexp,categorical,0.8565981585753992,
type,q31_gotsubsidy,categorical,0.7907312499465655,
type,q47_province,categorical,0.0976848342230458,
type,q49_citytier,categorical,0.03594061361805939,
amount,q42_age,continuous,0.042525102628490956,0.07370241393624596
amount,q06_socsec,continuous,0.31785527167698246,0.044949485603502946
amount,q07_emergfund,continuous,0.30553910829976694,0.04969186554023067
amount,q13_pressure,continuous,0.647431410873507,0.02873439988115885
amount,q15_fut_self,continuous,0.7209674836280815,0.026707686020706337
amount,q16_fut_society,continuous,0.8891909306531326,0.015741859247441467
amount,q17a_fut_econ,continuous,0.9399433035688646,0.01065843311673831
amount,q17b_fut_job,continuous,0.7766511510375871,0.021895337766027888
amount,q41_gender,categorical,0.9111380648384365,
amount,q43_edu,categorical,0.3209149184119669,
amount,q46_income,categorical,0.6377268924769095,
amount,q23_hukou,categorical,0.5402189959450929,
amount,q24_workstat,categorical,0.45930940027657463,
amount,q25_unittype,categorical,0.0906261079253663,
amount,q26_housing,categorical,0.4220550819076776,
amount,q27_minorchild,categorical,0.44165370548778105,
amount,q28_hhsize,categorical,0.09037150085449751,
amount,q29_foodexp,categorical,0.4571466721253302,
amount,q30_medexp,categorical,0.20485490125810105,
amount,q31_gotsubsidy,categorical,0.6825777969768514,
amount,q47_province,categorical,0.21746673782861978,
amount,q49_citytier,categorical,0.07601859410243035,
cell,q42_age,continuous,0.04571908400365651,0.1557415063768627
cell,q06_socsec,continuous,0.8406861145461944,0.08122099284314366
cell,q07_emergfund,continuous,0.46924842304212666,0.13694673946725328
cell,q13_pressure,continuous,0.7892239043281737,0.09500884583702021
cell,q15_fut_self,continuous,0.9599405773757081,0.06782897787933932
cell,q16_fut_society,continuous,0.772976632014232,0.09988546704551361
cell,q17a_fut_econ,continuous,0.9981756655873497,0.047164501453026676
cell,q17b_fut_job,continuous,0.617081814603102,0.09592398027684026
cell,q41_gender,categorical,0.9081767765932363,
cell,q43_edu,categorical,0.6729028293037643,
cell,q46_income,categorical,0.29536261433961,
cell,q23_hukou,categorical,0.4101001503151628,
cell,q24_workstat,categorical,0.4575424189257695,
cell,q25_unittype,categorical,0.06272501967801104,
cell,q26_housing,categorical,0.5812119508883568,
cell,q27_minorchild,categorical,0.2701061989548249,
cell,q28_hhsize,categorical,0.07378765311423634,
cell,q29_foodexp,categorical,0.521790774133681,
cell,q30_medexp,categorical,0.5394744338982637,
cell,q31_gotsubsidy,categorical,0.940642309018528,
cell,q47_province,categorical,0.056644443523405995,
cell,q49_citytier,categorical,0.017086803011803983,
