derived_cell,transfer_type,amount,outcome_ord,N,percent
1.0,cash,200,1.0,169,27.30210016155089
1.0,cash,200,2.0,112,18.093699515347332
1.0,cash,200,3.0,126,20.35541195476575
1.0,cash,200,4.0,98,15.831987075928918
1.0,cash,200,5.0,31,5.008077544426494
1.0,cash,200,6.0,83,13.408723747980615
2.0,cash,1000,1.0,170,28.57142857142857
2.0,cash,1000,2.0,115,19.327731092436977
2.0,cash,1000,3.0,119,20.0
2.0,cash,1000,4.0,97,16.30252100840336
2.0,cash,1000,5.0,41,6.890756302521009
2.0,cash,1000,6.0,53,8.907563025210084
3.0,cash,5000,1.0,159,27.22602739726027
3.0,cash,5000,2.0,120,20.54794520547945
3.0,cash,5000,3.0,143,24.486301369863014
3.0,cash,5000,4.0,91,15.582191780821919
3.0,cash,5000,5.0,40,6.8493150684931505
3.0,cash,5000,6.0,31,5.308219178082192
4.0,food,200,1.0,191,31.107491856677527
4.0,food,200,2.0,106,17.263843648208468
4.0,food,200,3.0,122,19.86970684039088
4.0,food,200,4.0,95,15.472312703583063
4.0,food,200,5.0,39,6.351791530944626
4.0,food,200,6.0,61,9.93485342019544
5.0,food,1000,1.0,186,30.0
5.0,food,1000,2.0,123,19.838709677419356
5.0,food,1000,3.0,141,22.741935483870968
5.0,food,1000,4.0,94,15.161290322580644
5.0,food,1000,5.0,32,5.161290322580645
5.0,food,1000,6.0,44,7.096774193548387
6.0,food,5000,1.0,181,30.066445182724255
6.0,food,5000,2.0,131,21.760797342192692
6.0,food,5000,3.0,143,23.754152823920265
6.0,food,5000,4.0,70,11.627906976744185
6.0,food,5000,5.0,32,5.3156146179401995
6.0,food,5000,6.0,45,7.475083056478406
7.0,medical,200,1.0,238,38.699186991869915
7.0,medical,200,2.0,113,18.3739837398374
7.0,medical,200,3.0,114,18.536585365853657
7.0,medical,200,4.0,79,12.845528455284553
7.0,medical,200,5.0,34,5.528455284552845
7.0,medical,200,6.0,37,6.016260162601626
8.0,medical,1000,1.0,201,32.84313725490196
8.0,medical,1000,2.0,127,20.751633986928105
8.0,medical,1000,3.0,139,22.712418300653596
8.0,medical,1000,4.0,80,13.071895424836603
8.0,medical,1000,5.0,33,5.392156862745098
8.0,medical,1000,6.0,32,5.228758169934641
9.0,medical,5000,1.0,226,35.53459119496855
9.0,medical,5000,2.0,106,16.666666666666664
9.0,medical,5000,3.0,149,23.427672955974842
9.0,medical,5000,4.0,83,13.050314465408805
9.0,medical,5000,5.0,46,7.232704402515723
9.0,medical,5000,6.0,26,4.088050314465408
