amount,contrast,learner,calibration,cal_se,cal_lo,cal_hi,cal_p,top_bottom,tb_se,tb_lo,tb_hi
200,food-cash,t,0.09746591605140037,0.313632260361819,-0.5172533142577649,0.7121851463605657,0.7559793114022296,0.02626206928055555,0.052693293819172676,-0.0770167866050229,0.129540925166134
200,food-cash,dr,-0.09477000197391411,0.26938176780315176,-0.6227582668680915,0.4332182629202634,0.7249840932666052,0.002701487910645145,0.055868159356516706,-0.1068001044281276,0.11220308024941789
200,medical-cash,t,-0.26417201598339257,0.31947481975170305,-0.8903426626967306,0.3619986307299454,0.408296781857319,-0.025236601399531794,0.049559214940119056,-0.12237266268216514,0.07189945988310155
200,medical-cash,dr,-0.06887651038995951,0.2668393743601444,-0.5918816841358425,0.45412866335592345,0.7963144960166719,-0.00018533146914653797,0.04874194890514997,-0.09571955132324048,0.0953488883849474
1000,food-cash,t,-0.00852246261600712,0.3159479052349275,-0.6277803568764649,0.6107354316444508,0.9784802598783011,0.026028139589165028,0.04979628195439036,-0.07157257304144009,0.12362885221977014
1000,food-cash,dr,0.3280804536221728,0.2681130446979594,-0.19742111398582757,0.8535820212301732,0.22107876215376931,0.0679272513913729,0.05157053791759761,-0.03315100292711841,0.16900550570986422
1000,medical-cash,t,1.2238907265856078,0.26211626421816636,0.7101428487180018,1.7376386044532137,3.022768517952977e-06,0.2049829234972677,0.047715909227602896,0.11145974141116603,0.2985061055833694
1000,medical-cash,dr,0.9781034189524666,0.23153012377672924,0.5243043763500772,1.431902461554856,2.3945159547854802e-05,0.1542086476236713,0.04777131295867272,0.06057687422467278,0.24784042102266984
5000,food-cash,t,-0.25540182004611484,0.32215282999670214,-0.886821366839651,0.37601772674742134,0.42789606327199836,-0.06252796631473095,0.045289327763391694,-0.15129504873097865,0.02623911610151676
5000,food-cash,dr,-0.1947428321127095,0.2754216925638473,-0.7345693495378501,0.34508368531243117,0.47952203958666695,-0.026052207835267682,0.04561654432553427,-0.11546063471331484,0.06335621904277948
5000,medical-cash,t,0.24109438402566333,0.3239973704905407,-0.3939404621357965,0.8761292301871231,0.45680115348761063,0.03987696455737463,0.04475687417759477,-0.04784650883071111,0.1276004379454604
5000,medical-cash,dr,-0.0010812464674211097,0.29759162570241665,-0.5843608328441577,0.5821983399093155,0.9971010341348321,0.009509408602150576,0.04373762126246708,-0.0762163290722849,0.09523514627658605
