outcome,fold,r2,rmse
outcome_ord,0,0.0392778976100121,1.5550058030360459
outcome_ord,1,0.05755908926026154,1.4926670537244597
outcome_ord,2,0.029710947259811604,1.4678530647342027
outcome_ord,3,0.013924448522736,1.5227817916509412
outcome_ord,4,0.019075799188759235,1.5647032994738228
outcome_ord,5,0.024146001337500556,1.5180500623753685
outcome_ord,6,0.02784735041766251,1.539250425638683
outcome_ord,7,0.04646657732790882,1.507129127436799
outcome_ord,8,0.03540244876407084,1.5373512693907807
outcome_ord,9,0.0096862211982367,1.5152452590957928
mpc_midpoint,0,0.03718331445616474,0.25990289691525126
mpc_midpoint,1,0.05704039371800973,0.24665404928108534
mpc_midpoint,2,0.030985483343819675,0.24169367607252604
mpc_midpoint,3,0.01345567624906907,0.2508065813859119
mpc_midpoint,4,0.02527510132142674,0.2656483497382479
mpc_midpoint,5,0.03155063961139948,0.2530656062639065
mpc_midpoint,6,0.025608269011073048,0.2570144289631661
mpc_midpoint,7,0.04385834784347176,0.24889796586671933
mpc_midpoint,8,0.037751007584272966,0.2566377859476023
mpc_midpoint,9,0.013708198682012562,0.25126620070465505
mpc_alt,0,0.035742266972216274,0.2863734269634959
mpc_alt,1,0.05660567839716513,0.26956824928254186
mpc_alt,2,0.030424610261037266,0.26451230512005336
mpc_alt,3,0.0155424522822597,0.27390275966888067
mpc_alt,4,0.02408063681663075,0.29447275546376434
mpc_alt,5,0.03262831677067146,0.27837315600967905
mpc_alt,6,0.02424247397663215,0.2817794991626472
mpc_alt,7,0.04197814793237398,0.2730952369054792
mpc_alt,8,0.03678359569296019,0.2827340827220109
mpc_alt,9,0.013565339743400906,0.2757877893132518
any_spend,0,0.038393117377126806,0.4629967771265757
any_spend,1,0.054028090205000434,0.4540399724509585
any_spend,2,0.03573814299696565,0.4493284446432634
any_spend,3,0.02959702367291195,0.45823468393998606
any_spend,4,0.0031350859365179007,0.45483364693837663
any_spend,5,0.016752762049128234,0.45672522706090496
any_spend,6,0.030147087421265706,0.45509965542964975
any_spend,7,0.058333281443393115,0.45639737507077277
any_spend,8,0.010019407862647767,0.46389533484434037
any_spend,9,0.022651572239799078,0.45354629525979384
mpc_10plus,0,0.03793821104927342,0.4898754584419283
mpc_10plus,1,0.051070425294545974,0.4867099178536971
mpc_10plus,2,0.04414133740604542,0.48878163498878613
mpc_10plus,3,0.016061077719820016,0.4959337773063064
mpc_10plus,4,0.02048791748467571,0.49481689177619126
mpc_10plus,5,0.029913901688050748,0.49203395467842864
mpc_10plus,6,0.027733688295483838,0.4926583227899202
mpc_10plus,7,0.04228224083560195,0.4886096405611976
mpc_10plus,8,0.04033162898507636,0.4897790549455918
mpc_10plus,9,0.012508377256702508,0.49673449298741007
mpc_25plus,0,0.03673579576600994,0.4393529125354909
mpc_25plus,1,0.04669767127125479,0.4361874006492526
mpc_25plus,2,0.02456186894448753,0.43719358142124354
mpc_25plus,3,0.001197699452390233,0.45061613449949994
mpc_25plus,4,0.028353744117954882,0.44487688392195635
mpc_25plus,5,0.015341653509087005,0.44100693026726223
mpc_25plus,6,0.028748364463375253,0.447192030068729
mpc_25plus,7,0.03604679791598231,0.43829136543624814
mpc_25plus,8,0.034286226484790294,0.4395890608603246
mpc_25plus,9,0.020287282137593343,0.44276372912891876
mpc_50plus,0,0.01931930309825247,0.34639913664050864
mpc_50plus,1,0.04615484935619918,0.3313575482197555
mpc_50plus,2,0.027626351632460522,0.3195157158744443
mpc_50plus,3,0.011095270628691978,0.3345619134957382
mpc_50plus,4,0.027991938772366165,0.3504039292683277
mpc_50plus,5,0.037382810694459145,0.33093622859321775
mpc_50plus,6,0.01114390531679088,0.35149535992389314
mpc_50plus,7,0.038678884082413045,0.3268961983450426
mpc_50plus,8,0.022361455683851283,0.3422809660270306
mpc_50plus,9,0.014222282542771247,0.33303658701671296
