feature_set,form1,form2,coef_correlation,corr_lo,corr_hi,cosine,cos_lo,cos_hi,sign_agreement,coefficients
O_needs,cash,food,0.6516359553310723,0.23031138090423556,0.6306376398186151,0.6503432639776939,0.23032742991697244,0.6306854776662411,0.7540983606557377,61
O_needs,cash,medical,0.22864338095398967,-0.034536254988196555,0.3456607498728557,0.23085417390031937,-0.03291502834254437,0.3461040034166601,0.5901639344262295,61
O_needs,food,medical,0.2613300723183782,0.01627799050959184,0.38855731329057874,0.2602564171098389,0.012049652904061993,0.38550040336545377,0.5737704918032787,61
S,cash,food,0.5826490162448706,-0.020121219192312266,0.717606436467252,0.5825591214878008,-0.02067857875540308,0.7155562003249372,0.7142857142857143,14
S,cash,medical,-0.26368410083920624,-0.5283815187066538,0.2839909410688528,-0.2644584559578743,-0.5290922862578542,0.28136107935582877,0.42857142857142855,14
S,food,medical,0.26343783346391403,-0.27896393295923166,0.5076187564961403,0.26306103795161645,-0.27888799243389073,0.5081272818593543,0.7142857142857143,14
A,cash,food,0.277351002634902,-0.3223539954585043,0.5928632368749662,0.2772653520652337,-0.3222903857847391,0.5894409777719614,0.7692307692307693,13
A,cash,medical,-0.18016904843397127,-0.5881866272814572,0.3580319185957483,-0.1798177364117959,-0.5853647586176742,0.35891153807304826,0.38461538461538464,13
A,food,medical,-0.14274859622355626,-0.5642057312932065,0.4485349398627419,-0.1406475650237952,-0.5574913433808741,0.4498307192745293,0.46153846153846156,13
ALL,cash,food,0.597939421018639,0.11560342771689841,0.5733210361070342,0.5979506061235403,0.11529184153962227,0.5734133816352837,0.6818181818181818,88
ALL,cash,medical,0.0027415538442216985,-0.2067850597720912,0.22711311202029244,0.002414629682599375,-0.2066502649990424,0.22681377167600206,0.5227272727272727,88
ALL,food,medical,0.11005862370445879,-0.13235115340881612,0.3049963315343895,0.10902933973123197,-0.1327919536287867,0.3043534478318343,0.5909090909090909,88
