screen,estimand,effect,se,lo,hi,p,N
R,food-cash,-0.11896739088743367,0.052000649659005374,-0.22088679139176925,-0.017047990383098094,0.022148829575435573,5497
R,medical-cash,-0.3086352178895369,0.05069411011663358,-0.40799384794644633,-0.20927658783262748,1.1419650492221953e-09,5497
R,medical-food_income_h,-0.15318979670674443,0.051670060146004886,-0.2544612536719324,-0.05191833974155645,0.0030291020848161416,5497
R,medical-food_q30_medexp,0.13595504503425498,0.05255118438267192,0.032956616299294264,0.23895347376921572,0.009678816159738934,5497
C,food-cash,-0.1194025638304891,0.053607208477792476,-0.2244707617586926,-0.014334365902285595,0.025923208601325205,5171
C,medical-cash,-0.321988595918995,0.05208489567681536,-0.42407311558407906,-0.2199040762539109,6.329629035579953e-10,5171
C,medical-food_income_h,-0.1450598714712899,0.052977194968621695,-0.248893265611745,-0.041226477330834815,0.006178459307951772,5171
C,medical-food_q30_medexp,0.15082281263827504,0.054264648690378246,0.04446605557141507,0.257179569705135,0.005446050597762395,5171
Q1,food-cash,-0.11326803850672969,0.0776571468054112,-0.26547324938747535,0.03893717237401599,0.14468472311326508,2715
Q1,medical-cash,-0.3870623950565508,0.07420138508587744,-0.5324944374278581,-0.24163035268524355,1.8245668201190745e-07,2715
Q1,medical-food_income_h,-0.21108569622554282,0.07027479194106721,-0.34882175745108024,-0.07334963500000544,0.00266701919336885,2715
Q1,medical-food_q30_medexp,0.1564661327395039,0.07353871731312189,0.012332895336512856,0.30059937014249494,0.03336444256733461,2715
Q2,food-cash,0.015767409252998674,0.12362932759958904,-0.22654162027509955,0.2580764387810969,0.8985147778828929,1208
Q2,medical-cash,-0.3330315122097469,0.1179842268249625,-0.564276347530478,-0.10178667688901588,0.00476243380733308,1208
Q2,medical-food_income_h,-0.2344946575239733,0.10861702970301226,-0.44738012384959464,-0.021609191198351974,0.030856959930080436,1208
Q2,medical-food_q30_medexp,0.10514276589437914,0.1069921670471335,-0.10455802814589572,0.314843559934654,0.32574791725068875,1208
