variable,category,N,share
q41_gender,1.0,2586,0.4704384209568856
q41_gender,2.0,2911,0.5295615790431144
q43_edu,1.0,223,0.0405675823176278
q43_edu,2.0,936,0.1702746952883391
q43_edu,3.0,1380,0.2510460251046025
q43_edu,4.0,2694,0.49008550118246313
q43_edu,5.0,264,0.048026196106967435
q23_hukou,1.0,2625,0.47753319992723303
q23_hukou,2.0,2818,0.5126432599599782
q23_hukou,3.0,54,0.009823540112788794
q24_workstat,1.0,3864,0.702928870292887
q24_workstat,2.0,180,0.03274513370929598
q24_workstat,3.0,448,0.08149899945424777
q24_workstat,4.0,808,0.14698926687283972
q24_workstat,5.0,197,0.03583772967072949
q49_citytier,1.0,1015,0.18464617063853012
q49_citytier,2.0,2163,0.39348735674004004
q49_citytier,3.0,868,0.15790431144260506
q49_citytier,4.0,786,0.14298708386392578
q49_citytier,5.0,665,0.12097507731489904
q47_province,11.0,368,0.06694560669456066
q47_province,12.0,187,0.0340185555757686
q47_province,13.0,372,0.06767327633254502
q47_province,14.0,351,0.06385301073312716
q47_province,15.0,151,0.027469528833909407
q47_province,21.0,313,0.056940149172275786
q47_province,22.0,212,0.03856649081317082
q47_province,23.0,189,0.03438239039476078
q47_province,31.0,288,0.05239221393487357
q47_province,32.0,433,0.07877023831180643
q47_province,33.0,229,0.04165908677460433
q47_province,34.0,119,0.021648171730034565
q47_province,35.0,140,0.025468437329452427
q47_province,36.0,125,0.022739676187011098
q47_province,37.0,374,0.0680371111515372
q47_province,41.0,216,0.03929416045115518
q47_province,42.0,132,0.024013098053483718
q47_province,43.0,134,0.024376932872475898
q47_province,44.0,648,0.11788248135346553
q47_province,45.0,99,0.01800982354011279
q47_province,46.0,12,0.0021830089139530653
q47_province,50.0,97,0.017645988721120612
q47_province,51.0,131,0.02383118064398763
q47_province,52.0,31,0.005639439694378752
q47_province,53.0,23,0.0041841004184100415
q47_province,54.0,5,0.0009095870474804438
q47_province,61.0,72,0.013098053483718392
q47_province,62.0,16,0.0029106785519374206
q47_province,63.0,4,0.0007276696379843551
q47_province,64.0,12,0.0021830089139530653
q47_province,65.0,13,0.002364926323449154
q47_province,99.0,1,0.00018191740949608878
income_h,1.0,231,0.04202292159359651
income_h,2.0,295,0.05366563580134619
income_h,3.0,886,0.16117882481353465
income_h,4.0,2389,0.4346006912861561
income_h,5.0,1298,0.23612879752592322
income_h,6.0,398,0.07240312897944333
