contrast,feature_set,method,quintile,N,treated_N,control_N,effect,se,lo,hi,predicted
food-cash,O,dr,1,727,362,365,0.009771437220918805,0.019876444811998996,-0.02918639461059923,0.04872926905243684,-0.08174762519202573
food-cash,O,dr,2,727,364,363,-0.04419387430751065,0.019982067551405004,-0.08335872670826446,-0.005029021906756845,-0.04017990923967707
food-cash,O,dr,3,726,368,358,0.023191188972552818,0.019444865004037064,-0.01492074643535983,0.061303124380465465,-0.01449919587299355
food-cash,O,dr,4,727,382,345,-0.02296892783974508,0.01919352491206549,-0.060588236667393436,0.014650380987903278,0.012320218088747531
food-cash,O,dr,5,727,360,367,-0.06136353315168025,0.020081238477959194,-0.10072276056848027,-0.022004305734880228,0.05486305880020367
food-cash,O_needs,dr,1,727,381,346,-0.006057037306752805,0.020169582646319677,-0.04558941929353937,0.03347534468003376,-0.08020624550008178
food-cash,O_needs,dr,2,727,356,371,-0.0029165026197037758,0.019268389861104306,-0.04068254674746821,0.03484954150806066,-0.03932099443077642
food-cash,O_needs,dr,3,726,370,356,-0.030339735803218942,0.02026067841494703,-0.07005066549651512,0.009371193890077234,-0.014709822774867112
food-cash,O_needs,dr,4,727,362,365,-0.027738212366608672,0.019058212061241187,-0.0650923080066414,0.009615883273424053,0.009253466780029843
food-cash,O_needs,dr,5,727,367,360,-0.03166155767484102,0.020027302373588865,-0.0709150703270752,0.0075919549773931505,0.05131849627296497
food-cash,S,dr,1,727,361,366,0.028984454233080548,0.02063833589886267,-0.011466684128690285,0.06943559259485138,-0.09015474571993497
food-cash,S,dr,2,727,381,346,-0.01366081046227599,0.01955478936175076,-0.051988197611307484,0.024666576686755502,-0.04586919174633764
food-cash,S,dr,3,726,359,367,-0.013650353312638058,0.018074510790840544,-0.049076394462685524,0.021775687837409408,-0.019842365281753135
food-cash,S,dr,4,728,356,372,-0.06058505497160807,0.020181729927737455,-0.10014124562997348,-0.021028864313242662,0.004183126798427526
food-cash,S,dr,5,726,379,347,-0.038750731866811605,0.020187023064281884,-0.0783172970728041,0.0008158333391808867,0.04791789042195038
food-cash,A,dr,1,727,369,358,0.011225605971143499,0.020652227039556912,-0.029252759026388048,0.051703970968675045,-0.09014084879687916
food-cash,A,dr,2,727,371,356,-0.014354614010115396,0.0195794790637469,-0.05273039297505932,0.024021164954828526,-0.04401339014646888
food-cash,A,dr,3,726,384,342,-0.044427311769005856,0.01986469050276272,-0.08336210515442079,-0.005492518383590925,-0.018716701469013646
food-cash,A,dr,4,727,361,366,-0.02379584638905291,0.01895600091267381,-0.06094960817789358,0.013357915399787756,0.007614827639587856
food-cash,A,dr,5,727,351,376,-0.026007569558101462,0.01987324475186208,-0.06495912927175114,0.012943990155548216,0.04846431546557777
