sample,outcome,amount,contrast,effect,se,lo,hi,p,N
R,outcome_ord,200,food-cash,-0.14874784905779873,0.09459166622270965,-0.33414410809194356,0.03664840997634611,0.11582862760735983,5497
R,outcome_ord,200,medical-cash,-0.4719755178165684,0.09157417045792303,-0.6514575938282293,-0.29249344180490744,2.5495461497683e-07,5497
R,outcome_ord,200,medical-food,-0.3232276687587696,0.09034096962261985,-0.5002927155475316,-0.14616262197000765,0.00034641410840453114,5497
R,outcome_ord,1000,food-cash,-0.1340065058281416,0.08924734262017965,-0.3089280830796003,0.0409150714233171,0.13322159281213666,5497
R,outcome_ord,1000,medical-cash,-0.2723155929038233,0.08797266725204707,-0.4447388523417618,-0.0998923334658848,0.0019650998246786206,5497
R,outcome_ord,1000,medical-food,-0.13830908707568168,0.08461593172746901,-0.30415326577982105,0.02753509162845766,0.10214312925061055,5497
R,outcome_ord,5000,food-cash,-0.07414781777636072,0.08616226901071528,-0.24302276186361427,0.09472712631089282,0.38948032492696216,5497
R,outcome_ord,5000,medical-cash,-0.1816145429482191,0.08369000135118028,-0.34564393146264094,-0.017585154433797295,0.03000029294072014,5497
R,outcome_ord,5000,medical-food,-0.10746672517185835,0.0847278710768619,-0.27353030096926056,0.0585968506255439,0.20466401580267857,5497
R,outcome_ord,pooled,food-cash,-0.11896739088743367,0.052000649659005374,-0.22088679139176925,-0.017047990383098094,0.022148829575435573,5497
R,outcome_ord,pooled,medical-cash,-0.3086352178895369,0.05069411011663358,-0.40799384794644633,-0.20927658783262748,1.1419650492221953e-09,5497
R,outcome_ord,pooled,medical-food,-0.18966782700210327,0.05000017647933324,-0.2876663721222431,-0.09166928188196341,0.00014863253037107678,5497
R,mpc_midpoint,200,food-cash,-0.024611843732404614,0.01634511880878644,-0.05664768792065426,0.007424000455845039,0.1321285180676641,5497
R,mpc_midpoint,200,medical-cash,-0.07567371974204386,0.015488898610892813,-0.10603140317958624,-0.04531603630450147,1.030752735739365e-06,5497
R,mpc_midpoint,200,medical-food,-0.05106187600963924,0.014981004278925552,-0.08042410484857376,-0.021699647170704717,0.0006533510333353447,5497
R,mpc_midpoint,1000,food-cash,-0.02587930333423731,0.01499556295879931,-0.05527006666138685,0.003511459992912226,0.08438387053622286,5497
R,mpc_midpoint,1000,medical-cash,-0.04821195144724473,0.014606484258196032,-0.0768401345340602,-0.01958376836042926,0.000964362088353706,5497
R,mpc_midpoint,1000,medical-food,-0.02233264811300741,0.013846872010142421,-0.049472018551422296,0.004806722325407478,0.10678148526761522,5497
R,mpc_midpoint,5000,food-cash,-0.006128970782323575,0.01430664422503909,-0.03416947820302814,0.021911536638380993,0.6683597009969547,5497
R,mpc_midpoint,5000,medical-cash,-0.021568073145515378,0.013483387983116732,-0.047995027982004335,0.004858881690973576,0.10968659563025711,5497
R,mpc_midpoint,5000,medical-food,-0.0154391023631918,0.013819277654501111,-0.04252438885837313,0.01164618413198953,0.26390246798668093,5497
R,mpc_midpoint,pooled,food-cash,-0.018873372616321833,0.008798420857722875,-0.03611796061828468,-0.0016287846143589885,0.03194594239415962,5497
R,mpc_midpoint,pooled,medical-cash,-0.04848458144493466,0.008400113187509198,-0.06494850075851263,-0.032020662131356674,7.838439594398669e-09,5497
R,mpc_midpoint,pooled,medical-food,-0.029611208828612817,0.008213395485172375,-0.04570916817033455,-0.013513249486891081,0.00031187234896633417,5497
A,outcome_ord,200,food-cash,-0.1555034658979949,0.09458772186687575,-0.3408919941367631,0.02988506234077329,0.10017347014235327,5480
A,outcome_ord,200,medical-cash,-0.4711056997986557,0.09167952489253933,-0.6507942667077762,-0.2914171328895352,2.767721112253721e-07,5480
A,outcome_ord,200,medical-food,-0.3156022339006608,0.09030436640926201,-0.49259553970952297,-0.1386089280917986,0.00047428851934376435,5480
A,outcome_ord,1000,food-cash,-0.1383907130070329,0.08929698595651077,-0.31340958940977304,0.03662816339570721,0.12119424800535022,5480
A,outcome_ord,1000,medical-cash,-0.2737232936700989,0.08815166591855678,-0.44649738404767714,-0.10094920329252069,0.0019018876413495294,5480
A,outcome_ord,1000,medical-food,-0.13533258066306597,0.08454789369044481,-0.30104340726505907,0.03037824593892713,0.10945185425728184,5480
A,outcome_ord,5000,food-cash,-0.07579010995337229,0.08656703652363748,-0.2454583837880652,0.09387816388132061,0.3812977041344321,5480
