sample,variable,family,coding,wald,df,omnibus_p,N
R,q43_edu,objective,ordered_factor,18.5855200565501,8,0.017240550333805293,5497
R,income_h,objective,ordered_factor,15.158711409588626,10,0.12638177328237796,5497
R,q28_hhsize,needs,ordered_factor,13.386417197150738,10,0.2028618860452295,5497
R,q29_foodexp,needs,ordered_factor,17.976714826771452,10,0.05535770184511067,5497
R,q30_medexp,needs,ordered_factor,16.293333794862537,10,0.09153765036931581,5497
R,q49_citytier,objective,ordered_factor,12.644828623707843,8,0.12466831567269217,5497
R,q41_gender,objective,nominal_factor,0.1524578358717692,2,0.9266040659887494,5497
R,q23_hukou,objective,nominal_factor,14.791681993988114,4,0.00515336936210613,5497
R,q24_workstat,objective,nominal_factor,8.097753446430445,8,0.42398003557639113,5497
R,q25_unittype,objective,nominal_factor,13.554828479207336,14,0.4833750211493868,5497
R,q26_housing,objective,nominal_factor,2.8189836907098407,4,0.5885602535066319,5497
R,q27_minorchild,needs,nominal_factor,2.1897355559196083,2,0.334583843382416,5497
R,q31_gotsubsidy,objective,nominal_factor,6.630115746357484,4,0.15677444907984825,5497
A,q41_gender,objective,nominal_factor,0.22293095014127978,2,0.8945222741884793,5480
A,q23_hukou,objective,nominal_factor,12.635455377744208,4,0.013201460202476471,5480
A,q24_workstat,objective,nominal_factor,7.294974216101804,8,0.5051672481425837,5480
A,q25_unittype,objective,nominal_factor,13.51931669882049,14,0.4861004816327432,5480
A,q26_housing,objective,nominal_factor,3.082708104066296,4,0.5440810677150482,5480
A,q27_minorchild,needs,nominal_factor,2.334085016998441,2,0.3112862075474587,5480
A,q31_gotsubsidy,objective,nominal_factor,6.852342118404552,4,0.1439000712997658,5480
C,q43_edu,objective,ordered_factor,12.543661702136033,8,0.128545240074556,5171
C,income_h,objective,ordered_factor,14.663236458124109,10,0.14483049321295857,5171
C,q28_hhsize,needs,ordered_factor,12.201911467825285,10,0.2717706201069328,5171
C,q29_foodexp,needs,ordered_factor,15.64083449837014,10,0.1103859153932521,5171
C,q30_medexp,needs,ordered_factor,19.436367919947795,10,0.035057673280041945,5171
C,q49_citytier,objective,ordered_factor,14.458108544996508,8,0.07057911385810373,5171
C,q41_gender,objective,nominal_factor,0.1012273674459788,2,0.9506458495696024,5171
C,q23_hukou,objective,nominal_factor,13.589862370020949,4,0.008725918793145326,5171
C,q24_workstat,objective,nominal_factor,6.068873112183567,8,0.6395171658737031,5171
C,q25_unittype,objective,nominal_factor,9.626553630860904,14,0.788945440451292,5171
C,q26_housing,objective,nominal_factor,3.3285093878429413,4,0.5044279116980566,5171
C,q27_minorchild,needs,nominal_factor,2.360710073273667,2,0.3071696627553143,5171
C,q31_gotsubsidy,objective,nominal_factor,8.596521924394013,4,0.07201489431869508,5171
