sample,variable,coding,effect_or_wald,se,lo,hi,p,N,ci_halfwidth,q
strict,income_h,trend,0.012922575211898286,0.057715608891283535,-0.10019793956081717,0.12604308998461375,0.8228344364808614,3262,0.11312259342691573,0.9574183665440232
strict,q29_foodexp,trend,-0.010706559308397097,0.06679116592889903,-0.14161483901447794,0.12020172039768376,0.8726455206149916,3262,0.1309106852206421,0.9574183665440232
strict,q28_hhsize,trend,-0.05669133564093221,0.05802762097939461,-0.1704233828690865,0.05704071158722208,0.32858323022767355,3262,0.11373413711961343,0.8762219472737961
strict,q27_minorchild,factor_omnibus,1.6800378340356603,,,,0.19491942533665663,3262,,0.8762219472737961
strict,q07_emergfund,trend,0.06324675409303948,0.06301032851561182,-0.06025122045159685,0.18674472863767583,0.3154980830553703,3262,0.12350024389059917,0.8762219472737961
strict,q18_ses_now,trend,-0.003232946830986287,0.06054942078433666,-0.12190763085304712,0.11544173719107456,0.9574183665440232,3262,0.11867686473729985,0.9574183665440232
strict,q15_fut_self,trend,0.012700224746906946,0.06024684274016685,-0.1053814172060685,0.1307818666998824,0.8330408737021588,3262,0.11808381177072703,0.9574183665440232
strict,q17b_fut_job,trend,0.011295852151064125,0.0604432841356011,-0.10717080786203524,0.12976251216416348,0.8517519807773593,3262,0.11846883690577815,0.9574183665440232
very_strict,income_h,trend,0.0065870255642396566,0.06236626560944064,-0.11564860888052297,0.12882266000900228,0.9158851205285358,2899,0.12223788059450365,0.9158851205285358
very_strict,q29_foodexp,trend,-0.012725281152295717,0.07247521656313043,-0.15477409538777215,0.12932353308318073,0.8606230201827222,2899,0.14205142446373564,0.9158851205285358
very_strict,q28_hhsize,trend,-0.03279386659396751,0.06232436335180027,-0.1549473741228841,0.08935964093494905,0.5987627798510063,2899,0.12215575216952852,0.9158851205285358
very_strict,q27_minorchild,factor_omnibus,1.6185096722042962,,,,0.20329971778121372,2899,,0.9158851205285358
very_strict,q07_emergfund,trend,0.0464112278510467,0.067265967642825,-0.08542764611412693,0.17825010181622034,0.4902155949389566,2899,0.13184129657993698,0.9158851205285358
very_strict,q18_ses_now,trend,-0.045577507195693805,0.06455250476627675,-0.17209809164944642,0.0809430772580588,0.48015500942320244,2899,0.1265229093419024,0.9158851205285358
very_strict,q15_fut_self,trend,-0.012237515456629147,0.06392210428093754,-0.13752253766328035,0.11304750675002205,0.8481776018949958,2899,0.12528732439063758,0.9158851205285358
very_strict,q17b_fut_job,trend,-0.0175032961382736,0.06451297226890666,-0.1439463983209619,0.10893980604441471,0.7861492586262888,2899,0.12644542564705705,0.9158851205285358
