level,cluster,N,treatment_forms,treatment_cells
province,11.0,368,3,9
province,12.0,187,3,9
province,13.0,372,3,9
province,14.0,351,3,9
province,15.0,151,3,9
province,21.0,313,3,9
province,22.0,212,3,9
province,23.0,189,3,9
province,31.0,288,3,9
province,32.0,433,3,9
province,33.0,229,3,9
province,34.0,119,3,9
province,35.0,140,3,9
province,36.0,125,3,9
province,37.0,374,3,9
province,41.0,216,3,9
province,42.0,132,3,9
province,43.0,134,3,9
province,44.0,648,3,9
province,45.0,99,3,9
province,46.0,12,3,6
province,50.0,97,3,9
province,51.0,131,3,9
province,52.0,31,3,9
province,53.0,23,3,9
province,54.0,5,2,4
province,61.0,72,3,9
province,62.0,16,3,7
province,63.0,4,2,3
province,64.0,12,3,6
province,65.0,13,3,7
province,99.0,1,1,1
city,1.0,22,3,9
city,2.0,5,2,4
city,3.0,6,2,3
city,4.0,5,3,5
city,5.0,288,3,9
city,6.0,9,3,6
city,7.0,46,3,9
city,8.0,16,3,8
city,9.0,3,2,2
city,10.0,17,3,7
city,11.0,11,3,8
city,12.0,15,3,5
city,13.0,1,1,1
city,14.0,58,3,9
city,15.0,1,1,1
city,16.0,1,1,1
city,17.0,2,2,2
city,18.0,12,3,7
city,19.0,7,2,5
city,20.0,4,2,3
city,21.0,13,3,5
city,22.0,4,2,3
city,23.0,8,3,6
city,24.0,1,1,1
city,25.0,17,3,9
city,26.0,1,1,1
city,27.0,58,3,9
city,28.0,27,3,9
city,29.0,41,3,9
city,30.0,5,3,4
city,31.0,1,1,1
city,32.0,4,2,3
city,33.0,6,3,4
city,34.0,1,1,1
city,35.0,2,2,2
city,36.0,1,1,1
city,37.0,10,3,5
city,38.0,368,3,9
city,39.0,3,2,2
city,40.0,8,3,6
city,41.0,101,3,9
city,42.0,4,2,4
city,43.0,35,3,9
city,44.0,8,3,5
city,45.0,42,3,9
city,46.0,31,3,9
city,47.0,9,3,6
city,48.0,29,3,9
city,49.0,14,3,6
city,50.0,10,3,7
city,51.0,44,3,9
city,52.0,9,2,5
city,53.0,19,3,7
city,54.0,21,3,9
city,55.0,7,2,4
city,56.0,17,3,6
city,57.0,15,3,6
city,58.0,1,1,1
city,59.0,4,2,4
city,60.0,50,3,9
city,61.0,63,3,9
city,62.0,7,3,5
