contrast,method,quintile,N,N_treated,N_control,predicted_cate,effect,se,lo,hi
food-cash,t_rf,1,727,383,344,-0.08023726254383462,0.01334192270326065,0.021246391214547116,-0.028301004077251696,0.054984849483772996
food-cash,t_rf,2,727,378,349,-0.041826077708906,-0.05915010384924427,0.01893760007702439,-0.09626780000021207,-0.02203240769827647
food-cash,t_rf,3,726,353,373,-0.019583677223436378,-0.015855668380560378,0.019238712961520608,-0.05356354578514077,0.021852209024020013
food-cash,t_rf,4,727,363,364,0.0027599193679707173,-0.016047210365392223,0.0184263660423425,-0.052162887808383525,0.02006846707759908
food-cash,t_rf,5,727,359,368,0.04551167634305167,-0.022329160106576207,0.020605202957848373,-0.06271535790395902,0.018057037690806604
food-cash,dr,1,727,392,335,-0.053149506305797053,0.010499543100822434,0.02044950331808418,-0.02958148340262256,0.05058056960426743
food-cash,dr,2,727,365,362,-0.027026367407748688,-0.009132104745326608,0.01922695094282018,-0.04681692859325416,0.028552719102600946
food-cash,dr,3,726,348,378,-0.0130570663623731,-0.02162242291552635,0.019854345896858066,-0.06053694087336816,0.017292095042315457
food-cash,dr,4,727,369,358,0.0002172549490945615,-0.05790411954398875,0.01962680028337316,-0.09637264809940015,-0.019435590988577348
food-cash,dr,5,727,362,365,0.023017525401156116,-0.019090857488836765,0.019625962675413625,-0.057557744332647466,0.019376029354973935
food-cash,r,1,727,380,347,-0.030507887228482772,0.019377180342787792,0.019935517231210703,-0.019696433430385185,0.05845079411596077
food-cash,r,2,727,358,369,-0.011970393242337974,0.00149903105176305,0.019432569199170857,-0.03658880457861183,0.03958686668213793
food-cash,r,3,726,367,359,-0.0014257761583022278,-0.06279287758153512,0.019497291720722284,-0.1010075693541508,-0.024578185808919448
food-cash,r,4,727,358,369,0.008939788440513057,-0.02553197529181994,0.019910635210819774,-0.0645568203050267,0.013492869721386816
food-cash,r,5,727,373,354,0.026404194934105233,-0.028459126641523197,0.019925661006046595,-0.06751342221337453,0.010595168930328129
medical-cash,t_rf,1,733,375,358,-0.12031561874112903,-0.11211247672253255,0.02056609526096384,-0.15242202343402167,-0.07180293001104343
medical-cash,t_rf,2,732,385,347,-0.07487557066004921,-0.07950316254350837,0.018885169986318357,-0.11651809571669235,-0.042488229370324385
medical-cash,t_rf,3,732,364,368,-0.04716540163130137,-0.016975483755375054,0.017757634447029772,-0.051780447271553405,0.017829479760803298
medical-cash,t_rf,4,732,384,348,-0.0217912049119964,-0.02511449353448278,0.017938820069645166,-0.060274580870987304,0.010045593802021746
medical-cash,t_rf,5,732,355,377,0.018965595053988916,-0.012008256435162706,0.018763728050638338,-0.04878516341441385,0.024768650544088437
medical-cash,dr,1,733,380,353,-0.10277049773363515,-0.10453854182197697,0.020577219731659418,-0.14486989249602944,-0.0642071911479245
medical-cash,dr,2,732,362,370,-0.06577388066226586,-0.06643870389726739,0.01900826275144796,-0.10369489889010539,-0.02918250890442938
medical-cash,dr,3,732,421,311,-0.0450388960702419,-0.0086415745698116,0.018429358688344447,-0.044763117598966715,0.027479968459343515
medical-cash,dr,4,732,354,378,-0.025662461558520797,-0.036189579409918404,0.018015099383319317,-0.07149917420122426,-0.0008799846186125435
medical-cash,dr,5,732,346,386,0.004988881245232419,-0.03212996795351761,0.01775596712846442,-0.06693166352530787,0.002671727618272654
medical-cash,r,1,733,396,337,-0.028307092783714217,-0.08342344063783233,0.019548071347231525,-0.12173766047840612,-0.04510922079725854
medical-cash,r,2,732,364,368,-0.011176697843462478,-0.05169314381270901,0.018829836800735696,-0.08859962394215097,-0.014786663683267046
medical-cash,r,3,732,382,350,-0.0009365772080712548,-0.03237322363500378,0.01903949873597738,-0.06969064115751944,0.00494419388751189
medical-cash,r,4,732,386,346,0.009024515065150236,-0.024449669052682005,0.017804458399153338,-0.05934640751502255,0.01044706940965854
medical-cash,r,5,732,335,397,0.025140266518147495,-0.05057032219256358,0.019158889021892094,-0.08812174467547208,-0.013018899709655071
medical-food,t_rf,1,740,371,369,-0.09624388617743602,-0.02628726287262878,0.01970194566781,-0.06490307638153639,0.012328550636278822
medical-food,t_rf,2,740,374,366,-0.05330041481135843,-0.035826320095847575,0.018313932409250454,-0.07172162761797846,6.898742628331372e-05
medical-food,t_rf,3,739,372,367,-0.03025498429857638,-0.021753684333890022,0.018003152720459655,-0.057039863665990946,0.013532494998210902
medical-food,t_rf,4,740,365,375,-0.007320305038075015,-0.03555068493150687,0.018178070100045803,-0.07117970232759664,7.833246458290033e-05
medical-food,t_rf,5,740,381,359,0.03220255971989556,-0.0279640880544528,0.017523084275774148,-0.06230933323497013,0.006381157126064525
medical-food,dr,1,740,382,358,-0.07301357918589728,-0.04220692327941736,0.019092698170070144,-0.07962861169275484,-0.004785234866079874
medical-food,dr,2,740,372,368,-0.04334337331024712,-0.025050403225806428,0.01865253544482872,-0.06160937269767072,0.011508566246057866
medical-food,dr,3,739,365,374,-0.026423082990549646,-0.012258442604937358,0.018505575973425743,-0.04852937151285181,0.024012486302977094
medical-food,dr,4,740,375,365,-0.010843136430740946,-0.02710045662100455,0.017624337221514193,-0.061644157575172366,0.0074432443331632694
medical-food,dr,5,740,369,371,0.01966254136641994,-0.04292105859063977,0.01787288720414833,-0.07795191751077049,-0.007890199670509045
medical-food,r,1,740,371,369,-0.02901358313146398,-0.027426971709070186,0.018875691477483154,-0.06442332700493716,0.009569383586796792
medical-food,r,2,740,381,359,-0.012376752782742516,-0.02481557841481516,0.018355444304200136,-0.060792249251047425,0.011161092421417107
medical-food,r,3,739,378,361,-0.0015955036835817895,-0.048502836037462055,0.01922814085053571,-0.08618999210451204,-0.010815679970412065
medical-food,r,4,740,363,377,0.008540674866637921,-0.024817136886102376,0.017571528215071647,-0.05925733218764281,0.009623058415438056
medical-food,r,5,740,370,370,0.024812394523799096,-0.023648648648648657,0.0178159545681917,-0.05856791960230439,0.011270622305007076
