sample,variable,family,coding,estimand,se_type,effect,se,lo,hi,p,N,q
R,q42_age,objective,trend,food-cash,HC1,0.0007042344657084834,0.05241974280989546,-0.10203657352053908,0.10344504245195604,0.9892811205241436,5497,0.9892811205241436
R,q42_age,objective,trend,medical-cash,HC1,-0.008475038796444416,0.052492895124611486,-0.11135922268492111,0.09440914509203228,0.8717380754920341,5497,0.8717380754920341
R,q42_age,objective,trend,medical-food,HC1,-0.0091792732621529,0.052596538042922046,-0.11226659353777092,0.09390804701346513,0.8614549400237644,5497,0.8614549400237644
R,q42_age,objective,trend,food-cash,HC3,0.0007042344657084834,0.05265188873569062,-0.1024915711742553,0.10390004010567226,0.9893283780024057,5497,
R,q42_age,objective,trend,medical-cash,HC3,-0.008475038796444416,0.05271529970265592,-0.11179512764788503,0.0948450500549962,0.8722745534176262,5497,
R,q42_age,objective,trend,medical-food,HC3,-0.0091792732621529,0.052847527960246804,-0.11275852473621013,0.09439997821190434,0.8621063288086899,5497,
R,q06_socsec,subjective,trend,food-cash,HC1,0.05288167563964022,0.05656545179334648,-0.05798457264455549,0.16374792392383591,0.34985227675728703,5497,0.6618890817969858
R,q06_socsec,subjective,trend,medical-cash,HC1,0.07149960217258461,0.05563935101974523,-0.03755152194929798,0.1805507262944672,0.19877321618379962,5497,0.3570409385978949
R,q06_socsec,subjective,trend,medical-food,HC1,0.01861792653294439,0.05350331483995566,-0.0862466436068761,0.12348249667276488,0.7278574069133743,5497,0.8166465767948325
R,q06_socsec,subjective,trend,food-cash,HC3,0.05288167563964022,0.056795746948048634,-0.05843594285358579,0.1641992941328662,0.3518095280013396,5497,
R,q06_socsec,subjective,trend,medical-cash,HC3,0.07149960217258461,0.0558685297983384,-0.03800070410136147,0.1809999084465307,0.20062141705652403,5497,
R,q06_socsec,subjective,trend,medical-food,HC3,0.01861792653294439,0.05372841904363905,-0.08668783973886413,0.1239236928047529,0.7289525889391961,5497,
R,q07_emergfund,subjective,trend,food-cash,HC1,0.07891629353569936,0.057625837183998045,-0.03402827192390585,0.19186085899530458,0.1708554512225,5497,0.6618890817969858
R,q07_emergfund,subjective,trend,medical-cash,HC1,0.048884002996300704,0.055472962739973916,-0.05984100608978053,0.15760901208238193,0.3781975976526022,5497,0.47172861037943814
R,q07_emergfund,subjective,trend,medical-food,HC1,-0.030032290539398654,0.05336826637092509,-0.13463217054375196,0.07456758946495465,0.5736140819998652,5497,0.8166465767948325
R,q07_emergfund,subjective,trend,food-cash,HC3,0.07891629353569936,0.057842754790826484,-0.034453422620902216,0.19228600969230092,0.1724654255241761,5497,
R,q07_emergfund,subjective,trend,medical-cash,HC3,0.048884002996300704,0.055683509758678605,-0.06025367066349399,0.1580216766560954,0.3800033520585462,5497,
R,q07_emergfund,subjective,trend,medical-food,HC3,-0.030032290539398654,0.05356360992012042,-0.13501503686478705,0.07495045578598973,0.5750125757822581,5497,
R,q09_gain,subjective,trend,food-cash,HC1,0.03653492925830522,0.05750436569653548,-0.07617155646072486,0.14924141497733528,0.5252054939642421,5497,0.6618890817969858
