variable,family,coding,effect_or_wald,se,lo,hi,p,incremental_adjusted_r2
q42_age,objective,per_SD,0.005963403188076665,0.0035532810903014284,-0.0010008997758613495,0.01292770615201468,0.0932923077688108,0.00035512744989585343
q06_socsec,subjective,per_SD,-0.001349674824019587,0.0037864253280293185,-0.00877093209710731,0.006071582449068137,0.7215028951339979,-0.00015328700454630972
q07_emergfund,subjective,per_SD,0.005507161456740741,0.0038279127724074064,-0.0019954097131386446,0.013009732626620127,0.1502397341382178,0.00027693799946693076
q09_gain,subjective,per_SD,0.0036467763374554056,0.0037940591411901614,-0.0037894429344922783,0.011082995609403089,0.336461329862929,1.9998923811437308e-05
q10_effort,subjective,per_SD,-0.001528550331582657,0.0038002786571828115,-0.008976959630877206,0.0059198589677118925,0.6875216887700248,-0.00014552179013205269
q11_mobility,subjective,per_SD,-0.0031214552574730637,0.00366683544265672,-0.010308320662315221,0.0040654101473690946,0.39462116539126935,-3.368838909256766e-05
q13_pressure,subjective,per_SD,0.0014763539725773272,0.003770062219334471,-0.005912832196793382,0.008865540141948037,0.6953542568742878,-0.0001478836504844594
q15_fut_self,subjective,per_SD,-0.0037850577759741596,0.0036806758023153383,-0.01099904978728029,0.0034289342353319716,0.30378077146559357,3.562787268218681e-05
q17a_fut_econ,subjective,per_SD,-0.001137257336384484,0.0036511071336561445,-0.008293295822047797,0.006018781149278828,0.755433561798851,-0.0001612536000040743
q17b_fut_job,subjective,per_SD,-0.004359345651946888,0.0036694885004960407,-0.011551410954603016,0.00283271965070924,0.23483412761282352,0.00010608918029242353
q17c_fut_price,subjective,per_SD,-0.0013043588868170638,0.003687612958350792,-0.008531947474107819,0.005923229700473691,0.7235535228790253,-0.00015510156583486978
q17e_fut_welfare,subjective,per_SD,0.0028814104311931134,0.0036868103301638134,-0.004344605033758187,0.010107425896144414,0.43448166167348523,-5.537137019884231e-05
q18_ses_now,subjective,per_SD,-0.006837044583445549,0.0036554056360692724,-0.014001507979026051,0.0003274188121349525,0.06142928346174415,0.0005250305869810568
q19_ses_past5,subjective,per_SD,-0.006201568824284712,0.003624397325470959,-0.013305257047871086,0.0009021193993016636,0.08706965344012563,0.00040010897184339367
q20_ses_next1,subjective,per_SD,-0.008340159821265796,0.0036162914519793717,-0.015427960824745422,-0.0012523588177861698,0.021095313558625844,0.0008697395089739546
q01_lifesat,attitudes,per_SD,-0.002039353089131821,0.0037494036386492204,-0.009388049184387725,0.0053093430061240815,0.5865006621180633,-0.00011796212776338244
q02_safety,attitudes,per_SD,0.00667896834807611,0.003682935568519934,-0.0005394527236045089,0.013897389419756729,0.06975621581806021,0.0004922691456876738
q03a_fair_dist,attitudes,per_SD,-0.0025650969284673605,0.0035750032055181544,-0.009571974455898188,0.004441780598963467,0.4730600931731247,-8.14247418218228e-05
q03b_fair_opp,attitudes,per_SD,-0.0016622663564063644,0.003580892000724444,-0.008680685710353853,0.005356152997541123,0.6425012023232286,-0.0001390685069920794
q03c_fair_rule,attitudes,per_SD,0.0008129387744888491,0.0036074839868512018,-0.006257599914544472,0.00788347746352217,0.8217086748306375,-0.0001708157298082602
q04_trust_gov,attitudes,per_SD,-0.0001485336795086449,0.0036591731077786197,-0.007320381183952241,0.007023313824934952,0.9676210476562698,-0.00018046378918856743
