feature_set,model,fold,r2,rmse,mae
T,ridge,0,0.012293359222334321,0.2632408613112597,0.2055655547054115
T,ridge,1,-0.00895038337455123,0.2551388595010507,0.19969444215180515
T,ridge,2,0.004527627162856596,0.24497104309543696,0.1896644971040521
T,ridge,3,0.0033626917508915444,0.2520862732130301,0.19643331023009003
T,ridge,4,0.011730262015346216,0.26748771499818735,0.20269521737155144
T,ridge,5,0.010113745146721032,0.25585111472987054,0.19853760220875477
T,ridge,6,-0.0005946968676509012,0.26044726976051996,0.19979296640008154
T,ridge,7,0.005989404742845816,0.2537790312961649,0.19942090599192439
T,ridge,8,0.006732075227656065,0.2607414479886416,0.20226768719964422
T,ridge,9,0.0028175906453369315,0.25264962962059906,0.19412614908076048
T,elastic_net,0,0.011568057566592627,0.2633374962767281,0.2056877721169228
T,elastic_net,1,-0.009191980809887035,0.2551694047119571,0.19973396337264496
T,elastic_net,2,0.004374346762143433,0.2449899023904555,0.1897308571415962
T,elastic_net,3,0.0030808636511165943,0.2521219130455815,0.19651638127309695
T,elastic_net,4,0.012200952769021223,0.2674240082062984,0.20266169646185403
T,elastic_net,5,0.009506945823590796,0.25592952095972776,0.19860789097100032
T,elastic_net,6,-0.0010123648769435611,0.2605016220090446,0.19988871312641507
T,elastic_net,7,0.005973895903693127,0.25378101105515527,0.19940905285227178
T,elastic_net,8,0.006702783965796155,0.26074529256548457,0.2023315752855116
T,elastic_net,9,0.0022787412399354334,0.2527178827881305,0.19415085048246913
T,random_forest,0,0.015158017599752993,0.26285884367575457,0.2053510685696287
T,random_forest,1,-0.012563535525669689,0.2555952901117623,0.19914281222027197
T,random_forest,2,0.004835318736061689,0.24493318099445283,0.18941825537620802
T,random_forest,3,0.0034828017455078575,0.25207108263519135,0.1958432477057202
T,random_forest,4,0.012973809221314525,0.2673193711278093,0.20230053734613077
T,random_forest,5,0.00982760395855553,0.2558880908227267,0.19828991313436684
T,random_forest,6,-0.00259091475801676,0.2607069405595016,0.1987551056148899
T,random_forest,7,0.007141386308353148,0.2536319335093343,0.19894392240452896
T,random_forest,8,0.0070735152502595655,0.26069662865244353,0.2023178695415344
T,random_forest,9,0.00402963743108864,0.25249603872458726,0.19328931361761806
T,hist_gradient_boosting,0,0.015462485866473141,0.2628182085462169,0.20514565048043976
T,hist_gradient_boosting,1,-0.012027567439411468,0.25552763556642794,0.19895325223442958
T,hist_gradient_boosting,2,0.004690404591176756,0.2449510137165571,0.18925380387306565
T,hist_gradient_boosting,3,0.0035143683256771974,0.252067090187762,0.19569359355419996
T,hist_gradient_boosting,4,0.01305387242824807,0.26730852902434565,0.20212748056984747
T,hist_gradient_boosting,5,0.010186976541739834,0.25584165067251224,0.19815231870234404
T,hist_gradient_boosting,6,-0.0024326648828538744,0.2606863646355015,0.19903772616962495
T,hist_gradient_boosting,7,0.007390039583931474,0.25360017150450337,0.19876904754322589
T,hist_gradient_boosting,8,0.006829437138070271,0.260728668502362,0.2022917942691805
T,hist_gradient_boosting,9,0.004186639325467145,0.2524761365667056,0.193245362598349
O,ridge,0,0.049625633101139766,0.25821809532685996,0.19941904647283695
O,ridge,1,0.04563265770122904,0.24814154952226453,0.19345874338902588
O,ridge,2,0.03878513653182636,0.2407190077183219,0.1853192106742765
O,ridge,3,0.02268271847237946,0.24963094262517954,0.19500041886324715
O,ridge,4,0.035611438613361246,0.26423607985070363,0.2003385717365014
O,ridge,5,0.03274669526659535,0.2529092872688812,0.19634240137186468
O,ridge,6,0.030200721490873383,0.2564080400927451,0.19517167856921813
O,ridge,7,0.053263085198433036,0.2476708440113869,0.19232675599752175
O,ridge,8,0.04154288360138614,0.2561316283605461,0.19941024953441056
O,ridge,9,0.03007868991815499,0.24917221460455438,0.19075933465324732
O,elastic_net,0,0.04482638989910914,0.2588692549712462,0.20004382783438307
O,elastic_net,1,0.04261387288115914,0.248533691248688,0.19376311630087772
O,elastic_net,2,0.039724993801102615,0.2406012937458519,0.18563727089255744
O,elastic_net,3,0.023102622921771343,0.24957730988634527,0.19468552013012674
O,elastic_net,4,0.03481896612716573,0.2643446236635212,0.2000584218564555
O,elastic_net,5,0.0305186869198244,0.2532004001995749,0.19632709406085844
O,elastic_net,6,0.02788648816498196,0.25671379122374366,0.19585892620822365
O,elastic_net,7,0.04767101536226459,0.24840122299843767,0.1931720983592088
O,elastic_net,8,0.041962475141269495,0.25607555781384717,0.19932416226111002
O,elastic_net,9,0.031491885467653136,0.24899062388196228,0.19053373325732606
O,random_forest,0,0.060844028529700944,0.2566895439470841,0.19794397572379557
O,random_forest,1,0.0524878965338369,0.2472487406241263,0.19297115013308502
O,random_forest,2,0.04773646919116714,0.23959553572224995,0.18490053744759302
O,random_forest,3,0.012794651681675706,0.25089059258839136,0.19556019858344276
O,random_forest,4,0.03572338977272804,0.26422074246740496,0.19956200997785825
O,random_forest,5,0.05348224919532241,0.2501837213335982,0.19380494492486164
O,random_forest,6,0.03539053922368984,0.2557210442856014,0.1947860718477537
O,random_forest,7,0.05408765154975803,0.24756296529278424,0.19254252534419375
O,random_forest,8,0.055235245949415424,0.2542955198096906,0.1977485446581797
O,random_forest,9,0.0386275065818249,0.2480716912654047,0.18921103496160402
O,hist_gradient_boosting,0,0.06916087581868768,0.2555504386126183,0.19561506954114521
O,hist_gradient_boosting,1,0.04756755649025002,0.24788987893145545,0.19201584841610206
O,hist_gradient_boosting,2,0.0395308160095269,0.2406256185830163,0.18521924905407122
O,hist_gradient_boosting,3,0.002133863045637674,0.2522416333526052,0.19541304660325842
O,hist_gradient_boosting,4,0.028243255605478468,0.2652435758055473,0.20063331743912388
O,hist_gradient_boosting,5,0.03428098415816949,0.2527086211615041,0.1938801493751129
O,hist_gradient_boosting,6,0.02415006636532613,0.25720667146509457,0.19582072485070062
O,hist_gradient_boosting,7,0.04616133836842784,0.24859803372045108,0.1914520153686852
O,hist_gradient_boosting,8,0.05794880743927633,0.2539300623088182,0.19615531257776028
O,hist_gradient_boosting,9,0.027890724407861667,0.24945309981428096,0.19007051233780084
S,ridge,0,0.010575874046400813,0.26346963162061315,0.2055995660900494
S,ridge,1,-0.002992145062316043,0.2543843976798922,0.19968405400636038
S,ridge,2,0.005818142150957439,0.24481220326360173,0.18959261368860564
S,ridge,3,0.01256471258523939,0.2509198095073445,0.19517976876859985
S,ridge,4,0.017768777996528984,0.2666692624617499,0.2019270017121379
S,ridge,5,0.01873903250294673,0.25473400779011657,0.1984548486760758
S,ridge,6,-0.0003932603320411232,0.2604210522337778,0.1996091341276615
S,ridge,7,0.007331938724955855,0.2536075934389898,0.19874061469704357
S,ridge,8,0.01692214377249157,0.2594005092028843,0.20081741920334267
S,ridge,9,-0.003651394745568748,0.2534678072359966,0.19521429199573448
S,elastic_net,0,0.01179807595208382,0.26330685380783214,0.20548846658420886
S,elastic_net,1,-0.0020411043242023474,0.25426376497930914,0.19940270590178805
S,elastic_net,2,0.007188314007824381,0.24464344618890801,0.18930273886721233
S,elastic_net,3,0.011133895991479292,0.2511015380057624,0.19524177787589053
S,elastic_net,4,0.015497587779256361,0.2669773909855559,0.20213227906270995
S,elastic_net,5,0.017002704473835895,0.25495928237225773,0.19845725126633754
S,elastic_net,6,0.0004317896203070992,0.2603136421262986,0.19944603326957272
S,elastic_net,7,0.008392711933681185,0.2534720536453502,0.19879594158441383
S,elastic_net,8,0.015467525933271276,0.2595923501286862,0.20081393973049427
S,elastic_net,9,-0.0019583380482737223,0.2532539299373386,0.19503896411214902
S,random_forest,0,-0.002480453099487745,0.26520229185944394,0.20759506703177455
S,random_forest,1,-0.01492200881666772,0.25589278455610537,0.19966378796266837
S,random_forest,2,-0.001735893407429856,0.24574051454836732,0.19006129171942143
S,random_forest,3,0.01169269431638742,0.2510305804987146,0.19578317715522545
S,random_forest,4,0.01637131552539617,0.26685889593216733,0.20254869071875534
S,random_forest,5,0.0035304654402413815,0.25670047912630767,0.19986008416635748
S,random_forest,6,-0.012863975210491985,0.26203920496842253,0.20070347823735077
S,random_forest,7,0.017664651956319277,0.2522842359844638,0.19690453501292157
S,random_forest,8,0.009497009186040906,0.26037828550451625,0.20310596463573288
S,random_forest,9,0.0008773550389421514,0.2528953026222497,0.19476375863320777
S,hist_gradient_boosting,0,-0.013539831651367296,0.26666113711438993,0.20763763219355902
S,hist_gradient_boosting,1,-0.03402341692800448,0.25828958354884024,0.20135853561566674
S,hist_gradient_boosting,2,-0.036265954508922116,0.24993999722043653,0.19156354137858736
S,hist_gradient_boosting,3,-0.015329179351712074,0.25443922333771585,0.19640839413330577
S,hist_gradient_boosting,4,-0.005804537617731587,0.2698502890757521,0.2040340626248732
S,hist_gradient_boosting,5,-0.011889984039841428,0.2586790844469566,0.20027125024641526
S,hist_gradient_boosting,6,-0.022641174715761325,0.26330090275097745,0.1998570815712717
S,hist_gradient_boosting,7,0.001049869302920503,0.2544088017763175,0.19819514491787946
S,hist_gradient_boosting,8,-0.0021523955504654246,0.26190497726074247,0.20253072812382383
S,hist_gradient_boosting,9,-0.0172554052954339,0.25517984224478174,0.19469790428783781
A,ridge,0,0.010744100291153358,0.2634472325352723,0.20511161076050438
A,ridge,1,-0.008198709457519993,0.25504380182432373,0.19982091382389372
A,ridge,2,0.0036035793690530893,0.24508471397752843,0.1901961047518928
A,ridge,3,-0.00281635706630734,0.25286652020366157,0.19735329795863943
A,ridge,4,0.018620569490447103,0.2665536095120434,0.20175006637142517
A,ridge,5,0.01490416033868125,0.2552312861993807,0.19805562115819825
A,ridge,6,0.000770188696249452,0.2602695744219127,0.20011316228871254
A,ridge,7,0.0055789492146413044,0.2538314222142666,0.1993031471562724
A,ridge,8,0.0007772505026061305,0.26152187661073,0.20283131560503204
A,ridge,9,0.00022792651241543282,0.2529774800930104,0.1945040684777168
A,elastic_net,0,0.010640092274775581,0.2634610812795219,0.20520015160047136
A,elastic_net,1,-0.006526619386118204,0.25483221993565786,0.1995952932204404
A,elastic_net,2,0.004328283307112435,0.2449955696564554,0.18997801663966624
A,elastic_net,3,-0.0010298930434418097,0.25264118567282584,0.19701222320508074
A,elastic_net,4,0.016712442901776314,0.2668126179156232,0.20204154796590656
A,elastic_net,5,0.012598151992961548,0.25552984671100265,0.1984361491734138
A,elastic_net,6,0.0015530644076469091,0.26016759655268507,0.1997256813091328
