sample,specification,variable,effect,se,lo,hi,p,N
R,joint_unadjusted,income_h,-0.1456518844339178,0.05353729375574121,-0.2505830520249117,-0.0407207168429239,0.006516973318049677,5497
R,joint_unadjusted,q43_edu,-0.1123905786416445,0.0524457990691894,-0.21518245595768,-0.009598701325609,0.032114275409832846,5497
R,joint_unadjusted,q30_medexp,0.15930537564110045,0.0527860395661846,0.05584663920487233,0.2627641120773286,0.0025449490628858943,5497
R,joint_prespecified,income_h,-0.13693935483932218,0.05299289178180857,-0.2408035141682956,-0.03307519551034878,0.009763122111089538,5497
R,joint_prespecified,q43_edu,-0.10689010393014334,0.051658540730543316,-0.2081389832559037,-0.005641224604382988,0.03853049781738523,5497
R,joint_prespecified,q30_medexp,0.13536769466993662,0.05220259895295673,0.0330524808227531,0.23768290851712015,0.009510909516320788,5497
R,joint_province_FE,income_h,-0.13985299805823828,0.05362939471388503,-0.2449646802101357,-0.03474131590634086,0.00911348045966668,5497
R,joint_province_FE,q43_edu,-0.11314663653903978,0.05284175003331301,-0.2167145634844015,-0.00957870959367807,0.032255043216627595,5497
R,joint_province_FE,q30_medexp,0.15005878412308546,0.053123449262516,0.045938736834013214,0.2541788314121577,0.004732218686535616,5497
A,joint_unadjusted,income_h,-0.15158392690696,0.053363382606391695,-0.2561742349087189,-0.04699361890520111,0.004502901137824737,5480
A,joint_unadjusted,q43_edu,-0.11699433511044735,0.0524074497127928,-0.21971104906911523,-0.014277621151779468,0.02558860791189848,5480
A,joint_unadjusted,q30_medexp,0.1564331955806738,0.05273527057538921,0.053073964537936114,0.2597924266234115,0.0030132154026583573,5480
A,joint_prespecified,income_h,-0.14213916546059185,0.052780407167970805,-0.24558686259917434,-0.03869146832200937,0.007080611668286082,5480
A,joint_prespecified,q43_edu,-0.11010187026662732,0.05162360933496055,-0.21128228531511573,-0.008921455218138905,0.032942668358276146,5480
A,joint_prespecified,q30_medexp,0.1320411026517396,0.052085917834897216,0.029954579593628586,0.23412762570985063,0.011242698442914808,5480
A,joint_province_FE,income_h,-0.14520404457059044,0.05343836504750414,-0.2499413154564026,-0.04046677368477827,0.006583190033242643,5480
A,joint_province_FE,q43_edu,-0.11748350641311193,0.05279230507674476,-0.22095452302438273,-0.014012489801841152,0.026055019205072735,5480
A,joint_province_FE,q30_medexp,0.14689029958525596,0.05304398348253212,0.04292600236295549,0.2508545968075564,0.005619120030198253,5480
C,joint_unadjusted,income_h,-0.14479132635535552,0.05476810943242816,-0.25213484834426314,-0.037447804366447915,0.008200143041768656,5171
C,joint_unadjusted,q43_edu,-0.09663907758041017,0.053805115204557996,-0.2020951655653723,0.008817010404551961,0.07247947102587796,5171
C,joint_unadjusted,q30_medexp,0.17041859757290634,0.0543454901784564,0.06390339410095656,0.2769338010448561,0.001713644327006731,5171
C,joint_prespecified,income_h,-0.12802700312279652,0.05426374303164118,-0.23438198513114955,-0.021672021114443482,0.018307124848263304,5171
C,joint_prespecified,q43_edu,-0.09776070123828615,0.05310328016362722,-0.20184121781993575,0.006319815343363469,0.06562828562425665,5171
C,joint_prespecified,q30_medexp,0.15082738769854073,0.05366591680137738,0.045644123570518086,0.25601065182656335,0.004946651225407575,5171
C,joint_province_FE,income_h,-0.13949615643858065,0.05489242964252755,-0.24708334156183354,-0.031908971315327786,0.011045247818053841,5171
C,joint_province_FE,q43_edu,-0.09702928301026564,0.05422904416773187,-0.20331625649505197,0.009257690474520686,0.07357466423811523,5171
C,joint_province_FE,q30_medexp,0.16204210001539815,0.05469274709405566,0.05484628549549135,0.26923791453530493,0.003048830262147693,5171
