sample,variable,specification,se_type,amount,effect_or_wald,se,lo,hi,p,N
R,income_h,primary,HC1,200,-0.25066906930848365,0.09597988435135729,-0.43878618587746343,-0.06255195273950384,0.009009765177411947,5497
R,income_h,primary,HC1,1000,-0.14258670628440084,0.08697109355502727,-0.3130469173483179,0.027873504779516223,0.1011149170280915,5497
R,income_h,primary,HC1,5000,-0.061829933671415926,0.08480176117870268,-0.2280383314072401,0.10437846406440826,0.46593350117065324,5497
R,income_h,primary,HC1,joint,15.204534357256223,,,,0.01872417946360607,5497
R,income_h,primary,HC3,200,-0.25066906930848365,0.09661899464141029,-0.44003881902811626,-0.061299319588851015,0.009475403544210823,5497
R,income_h,primary,HC3,1000,-0.14258670628440084,0.08745145512432313,-0.31398840872369493,0.028814996154893247,0.10300284728330913,5497
R,income_h,primary,HC3,5000,-0.061829933671415926,0.08531699603414036,-0.22904817316747766,0.10538830582464581,0.46863101282079067,5497
R,income_h,primary,HC3,joint,15.025161335554104,,,,0.020061916657796736,5497
R,income_h,primary,province_cluster,200,-0.25066906930848365,0.10371287127296426,-0.4539425617367324,-0.04739557688023491,0.015651065258959745,5497
R,income_h,primary,province_cluster,1000,-0.14258670628440084,0.08288869094666057,-0.3050455552655268,0.019872142696725104,0.08539262911154952,5497
R,income_h,primary,province_cluster,5000,-0.061829933671415926,0.08580670140353913,-0.23000797805453513,0.10634811071170328,0.4711726909565429,5497
R,income_h,primary,province_cluster,joint,13.70205967831141,,,,0.033147293553339806,5497
R,income_h,primary,city_cluster,200,-0.25066906930848365,0.091351707645232,-0.4297151262193707,-0.07162301239759664,0.006069557125360397,5497
R,income_h,primary,city_cluster,1000,-0.14258670628440084,0.08630363213596694,-0.3117387170058896,0.02656530443708796,0.09850359739276623,5497
R,income_h,primary,city_cluster,5000,-0.061829933671415926,0.08089012092459608,-0.22037165738871406,0.0967117900458822,0.4446471352322783,5497
R,income_h,primary,city_cluster,joint,15.570391530857224,,,,0.016255347047395518,5497
R,income_h,controls,HC1,200,-0.2606572541629878,0.09543846524095762,-0.4477132087750425,-0.07360129955093306,0.006311275581658816,5497
R,income_h,controls,HC1,1000,-0.13885344820520626,0.08638967514083698,-0.30817410011736196,0.03046720370694944,0.10799029167753726,5497
R,income_h,controls,HC1,5000,-0.038387488741652404,0.08220437025415063,-0.19950509381158338,0.12273011632827857,0.6405168686089326,5497
R,income_h,controls,HC1,joint,14.88073554247464,,,,0.021204885008368438,5497
R,income_h,controls,HC3,200,-0.2606572541629878,0.09652194046553046,-0.44983678119334675,-0.07147772713262884,0.006923586763512898,5497
R,income_h,controls,HC3,1000,-0.13885344820520626,0.08718575341399046,-0.30973438486161764,0.032027488451205094,0.11124630441425201,5497
R,income_h,controls,HC3,5000,-0.038387488741652404,0.08308655964229078,-0.2012341532398815,0.1244591757565767,0.6440683896693038,5497
R,income_h,controls,HC3,joint,14.583112854699863,,,,0.023759151263027505,5497
R,income_h,controls,province_cluster,200,-0.2606572541629878,0.1014468859217975,-0.4594894969134543,-0.06182501141252125,0.010187587530051686,5497
R,income_h,controls,province_cluster,1000,-0.13885344820520626,0.08704520459033621,-0.3094589142291858,0.03175201781877329,0.11067024663076014,5497
R,income_h,controls,province_cluster,5000,-0.038387488741652404,0.0811803168378694,-0.19749798599742696,0.12072300851412215,0.636308106176599,5497
R,income_h,controls,province_cluster,joint,12.589487723715417,,,,0.050038378510158264,5497
R,income_h,controls,city_cluster,200,-0.2606572541629878,0.09050457478998346,-0.4380429611874671,-0.08327154713850848,0.003976183296456612,5497
R,income_h,controls,city_cluster,1000,-0.13885344820520626,0.08546989932416879,-0.3063713726428414,0.028664476232428876,0.10425018765144949,5497
R,income_h,controls,city_cluster,5000,-0.038387488741652404,0.07393970485600972,-0.18330664728695278,0.10653166980364798,0.6036401965818202,5497
R,income_h,controls,city_cluster,joint,15.130412662517967,,,,0.019266291977633677,5497
R,income_h,province_FE,HC1,200,-0.238960787396941,0.09609828512316317,-0.42730996521440207,-0.05061160957947991,0.012895978809576386,5497
R,income_h,province_FE,HC1,1000,-0.1374330877804067,0.08742787874823135,-0.3087885813716749,0.03392240581086153,0.11595993554753911,5497
R,income_h,province_FE,HC1,5000,-0.06321800429384956,0.085482469654245,-0.23076056612570783,0.10432455753800872,0.4595770390979308,5497
R,income_h,province_FE,HC1,joint,14.851764946344316,,,,0.021441518926341926,5497
R,income_h,province_FE,HC3,200,-0.238960787396941,0.09697492439288895,-0.4290281466104981,-0.04889342818338388,0.013733851380208809,5497
R,income_h,province_FE,HC3,1000,-0.1374330877804067,0.08814801387621043,-0.31020002028651605,0.035333844725702696,0.11896863480886047,5497
R,income_h,province_FE,HC3,5000,-0.06321800429384956,0.08625486345499578,-0.2322744301570614,0.10583842156936225,0.46360658920616604,5497
R,income_h,province_FE,HC3,joint,14.603654044736597,,,,0.023573838390704527,5497
R,income_h,province_FE,province_cluster,200,-0.238960787396941,0.10335623761738334,-0.44153529070457626,-0.03638628408930572,0.02077706161567926,5497
R,income_h,province_FE,province_cluster,1000,-0.1374330877804067,0.08449437820625584,-0.3030390259607742,0.028172850399960814,0.10383583286852552,5497
R,income_h,province_FE,province_cluster,5000,-0.06321800429384956,0.08806209592298833,-0.2358165407060182,0.1093805321183191,0.47283137255019025,5497
R,income_h,province_FE,province_cluster,joint,13.447245036059211,,,,0.036458581049841364,5497
R,income_h,province_FE,city_cluster,200,-0.238960787396941,0.09103205178220558,-0.41738033032884914,-0.06054124446503281,0.008664435062550229,5497
R,income_h,province_FE,city_cluster,1000,-0.1374330877804067,0.0877883749225095,-0.30949514088982455,0.03462896532901119,0.11746468498060207,5497
R,income_h,province_FE,city_cluster,5000,-0.06321800429384956,0.08258510087415212,-0.22508182766679508,0.09864581907909593,0.4439802843259525,5497
R,income_h,province_FE,city_cluster,joint,15.263786940537338,,,,0.01830133903406963,5497
R,income_h,citytier_FE,HC1,200,-0.25607349121648754,0.09591118514773038,-0.444055959820592,-0.06809102261238306,0.007587332654574683,5497
R,income_h,citytier_FE,HC1,1000,-0.14161552829995738,0.0869905430373897,-0.31211385964882277,0.028882803048908,0.1035372585298496,5497
R,income_h,citytier_FE,HC1,5000,-0.06076260290715722,0.08472110348948617,-0.22681291447704083,0.10528770866272637,0.47324612993207493,5497
R,income_h,citytier_FE,HC1,joint,15.521020192416845,,,,0.01656930709892217,5497
R,income_h,citytier_FE,HC3,200,-0.25607349121648754,0.09658603280666671,-0.4453786369271584,-0.06676834550581667,0.008019501872395559,5497
R,income_h,citytier_FE,HC3,1000,-0.14161552829995738,0.08750261798958056,-0.31311750811250194,0.029886451512587148,0.10557324368235957,5497
R,income_h,citytier_FE,HC3,5000,-0.06076260290715722,0.08527254391246128,-0.22789371784569157,0.10636851203137711,0.4761122710721585,5497
R,income_h,citytier_FE,HC3,joint,15.326909300941292,,,,0.017860937777280938,5497
R,income_h,citytier_FE,province_cluster,200,-0.25607349121648754,0.10332683348899571,-0.4585903634914863,-0.053556618941488804,0.013201511165511038,5497
R,income_h,citytier_FE,province_cluster,1000,-0.14161552829995738,0.08298091060815681,-0.30425512449628245,0.021024067896367682,0.08789573873324087,5497
R,income_h,citytier_FE,province_cluster,5000,-0.06076260290715722,0.08517511762295599,-0.2277027658271138,0.10617756001279936,0.47560790385182206,5497
R,income_h,citytier_FE,province_cluster,joint,14.07925100442692,,,,0.028763306529912536,5497
R,income_h,citytier_FE,city_cluster,200,-0.25607349121648754,0.09119885080451837,-0.43481995422478525,-0.07732702820818982,0.00498720962827047,5497
R,income_h,citytier_FE,city_cluster,1000,-0.14161552829995738,0.08659512583674729,-0.311338856176696,0.028107799576781223,0.1019704008958641,5497
R,income_h,citytier_FE,city_cluster,5000,-0.06076260290715722,0.08071662772133996,-0.21896428619451086,0.09743908038019643,0.45157661782539693,5497
R,income_h,citytier_FE,city_cluster,joint,16.021638025570308,,,,0.013638297754701868,5497
