variable,model,effect,se,lo,hi,p
income_h,logit,-0.15510611879187997,0.060080371323012645,-0.27286148276277783,-0.0373507548209821,0.009833101330675153
income_h,probit,-0.1038086651653056,0.03530666897520256,-0.1730084647707803,-0.03460886555983089,0.0032800054397218088
income_h,any_spend,-0.03136450931346488,0.015726285018851666,-0.06218746156102595,-0.0005415570659038083,0.04610831358744362
income_h,mpc_10plus,-0.027039558146000682,0.016288853075377436,-0.05896512352320495,0.004886007231203589,0.09691368631049956
income_h,mpc_25plus,-0.037113452317244555,0.014327329875173959,-0.06519450286721026,-0.009032401767278847,0.009586569372156715
income_h,mpc_50plus,-0.03000602664980113,0.011207458665563894,-0.0519722419925277,-0.008039811307074565,0.00742122660436188
q43_edu,logit,-0.15570007470094585,0.06001468928090933,-0.27332670423489014,-0.038073445167001535,0.009476552161615096
q43_edu,probit,-0.10026053130716217,0.03548911415008939,-0.16981791688456818,-0.03070314572975616,0.004726488559742916
q43_edu,any_spend,-0.029997157131989104,0.01592611778124287,-0.06121177439676809,0.0012174601327898764,0.05962996801057914
q43_edu,mpc_10plus,-0.022412802964617392,0.016192273928972135,-0.05414907669320966,0.009323470763974873,0.16630748159449338
q43_edu,mpc_25plus,-0.045218345523211044,0.014114433744891824,-0.07288212732537583,-0.017554563721046267,0.00135675968310598
q43_edu,mpc_50plus,-0.03402015761549223,0.010900787573970826,-0.0553853086635968,-0.012655006567387661,0.0018030544515462955
q30_medexp,logit,0.1708632348356464,0.06011785815365655,0.053034398026791926,0.28869207164450084,0.004481212315360032
q30_medexp,probit,0.10500377619214749,0.035299412479989266,0.03581819905594481,0.17418935332835017,0.0029331274740963097
q30_medexp,any_spend,0.0413387800465405,0.01574897494803595,0.010471356354966467,0.07220620373811454,0.008668580313413837
q30_medexp,mpc_10plus,0.038044571490169266,0.01620764858727607,0.0062781639850266815,0.06981097899531186,0.018908901238339167
q30_medexp,mpc_25plus,0.02980683416754588,0.014231178790472873,0.0019142362806687623,0.057699432054423,0.03621777555146518
q30_medexp,mpc_50plus,0.01268037542200876,0.011527551783172458,-0.009913210902929735,0.035273961746947254,0.2713295343139486
