q47_province,transfer_type,N
11.0,cash,119
11.0,food,141
11.0,medical,108
12.0,cash,59
12.0,food,70
12.0,medical,58
13.0,cash,115
13.0,food,121
13.0,medical,136
14.0,cash,123
14.0,food,106
14.0,medical,122
15.0,cash,41
15.0,food,61
15.0,medical,49
21.0,cash,102
21.0,food,107
21.0,medical,104
22.0,cash,60
22.0,food,79
22.0,medical,73
23.0,cash,73
23.0,food,61
23.0,medical,55
31.0,cash,84
31.0,food,94
31.0,medical,110
32.0,cash,147
32.0,food,144
32.0,medical,142
33.0,cash,74
33.0,food,82
33.0,medical,73
34.0,cash,38
34.0,food,35
34.0,medical,46
35.0,cash,52
35.0,food,39
35.0,medical,49
36.0,cash,52
36.0,food,37
36.0,medical,36
37.0,cash,130
37.0,food,119
37.0,medical,125
41.0,cash,64
41.0,food,83
41.0,medical,69
42.0,cash,51
42.0,food,50
42.0,medical,31
43.0,cash,48
43.0,food,49
43.0,medical,37
44.0,cash,199
44.0,food,194
44.0,medical,255
45.0,cash,28
45.0,food,39
45.0,medical,32
46.0,cash,6
46.0,food,2
46.0,medical,4
50.0,cash,38
50.0,food,28
50.0,medical,31
51.0,cash,46
51.0,food,42
51.0,medical,43
52.0,cash,11
52.0,food,7
52.0,medical,13
53.0,cash,6
53.0,food,8
53.0,medical,9
54.0,food,3
54.0,medical,2
61.0,cash,23
61.0,food,23
61.0,medical,26
62.0,cash,4
62.0,food,2
62.0,medical,10
63.0,food,1
63.0,medical,3
64.0,cash,2
64.0,food,4
64.0,medical,6
65.0,cash,3
65.0,food,5
65.0,medical,5
99.0,medical,1
