sample,amount,outcome,variable,concept,family,estimand,effect,se,lo,hi,p,N,q
raw,200,outcome_ord,q42_age,age,objective,food-cash,0.14522533675921215,0.10064743283051619,-0.052040006725013827,0.3424906802434381,0.14904540743885708,1848,0.4855736932030766
raw,200,outcome_ord,q42_age,age,objective,medical-cash,0.1956130720256753,0.09959926957190501,0.00040209077824537864,0.3908240532731052,0.04952996780554071,1848,0.47917293566083247
raw,200,outcome_ord,q42_age,age,objective,medical-food,0.050387735266463146,0.10154915386364217,-0.148644948966792,0.2494204194997183,0.6197599446060029,1848,0.7746999307575037
raw,200,outcome_ord,q41_gender,gender,objective,food-cash,-0.16772527668094325,0.09467027287005796,-0.35327560191283625,0.017825048550949713,0.07644795874279417,1848,0.42941785001945065
raw,200,outcome_ord,q41_gender,gender,objective,medical-cash,-0.14355319439837955,0.09159443654495582,-0.3230749912107323,0.035968602413973205,0.11705164086795564,1848,0.47917293566083247
raw,200,outcome_ord,q41_gender,gender,objective,medical-food,0.024172082282563706,0.0905872889623066,-0.15337574154067998,0.2017199061058074,0.7895943091142179,1848,0.8773270101269088
raw,200,outcome_ord,q43_edu,education,objective,food-cash,-0.02872075952369774,0.09683410245453751,-0.21851211280985292,0.16107059376245744,0.7667737659602709,1848,0.7667737659602709
raw,200,outcome_ord,q43_edu,education,objective,medical-cash,-0.11115882733734768,0.09653049740484519,-0.3003551256605814,0.07803747098588605,0.24950973022658085,1848,0.5220320436639043
raw,200,outcome_ord,q43_edu,education,objective,medical-food,-0.08243806781364994,0.09071098088986268,-0.2602283233600819,0.09535218773278202,0.3634561234293988,1848,0.6057602057156647
raw,200,outcome_ord,income_h,monthly income harmonized 1-6,objective,food-cash,0.16562452865545804,0.09643217783774787,-0.023379066857289355,0.35462812416820544,0.08588357000389013,1848,0.42941785001945065
raw,200,outcome_ord,income_h,monthly income harmonized 1-6,objective,medical-cash,-0.08504454065302772,0.10022207919883956,-0.28147620633847414,0.11138712503241874,0.39612565535695654,1848,0.5606857612900673
raw,200,outcome_ord,income_h,monthly income harmonized 1-6,objective,medical-food,-0.25066906930848576,0.09597854779586192,-0.4387835662768313,-0.06255457234014022,0.009008806846898719,1848,0.09008806846898719
raw,200,outcome_ord,q23_hukou,hukou,objective,food-cash,0.05158439744098571,0.09218918296231185,-0.1291030809293191,0.2322718758112905,0.5757868607698688,1848,0.719733575962336
raw,200,outcome_ord,q23_hukou,hukou,objective,medical-cash,0.13456036881653305,0.09204100739303399,-0.045836690774598426,0.3149574284076645,0.14375188069824973,1848,0.47917293566083247
raw,200,outcome_ord,q23_hukou,hukou,objective,medical-food,0.08297597137554734,0.09061494626544156,-0.09462605976575038,0.26057800251684504,0.3598250461839527,1848,0.6057602057156647
raw,200,outcome_ord,q24_workstat,employment status,objective,food-cash,-0.0579743745571453,0.09657069355764153,-0.24724945589217692,0.13130070677788633,0.5482857074106074,1848,0.719733575962336
raw,200,outcome_ord,q24_workstat,employment status,objective,medical-cash,0.06717947319120578,0.10068223062645557,-0.13015407271980273,0.2645130191022143,0.5046171851610606,1848,0.5606857612900673
raw,200,outcome_ord,q24_workstat,employment status,objective,medical-food,0.1251538477483511,0.09351597690331971,-0.05813409896123509,0.3084417944579373,0.1807937284103519,1848,0.45198432102587976
raw,200,outcome_ord,q25_unittype,work-unit type,objective,food-cash,-0.053608099752305176,0.0955016244343845,-0.2407878441087692,0.13357164460415882,0.574571359892174,1848,0.719733575962336
raw,200,outcome_ord,q25_unittype,work-unit type,objective,medical-cash,0.09559579198829993,0.09598940699976606,-0.09253998862859852,0.2837315726051984,0.3192990311743943,1848,0.5321650519573238
raw,200,outcome_ord,q25_unittype,work-unit type,objective,medical-food,0.1492038917406051,0.08961891976036179,-0.02644596332308896,0.3248537468042992,0.09593860374932975,1848,0.37926922059999746
raw,200,outcome_ord,q26_housing,housing tenure,objective,food-cash,-0.12475349843372087,0.09609962720772948,-0.31310530668859615,0.0635983098211544,0.19422947728123063,1848,0.4855736932030766
raw,200,outcome_ord,q26_housing,housing tenure,objective,medical-cash,0.022029643405679727,0.09872347343115781,-0.1714648089480865,0.21552409575944595,0.823422704129371,1848,0.823422704129371
raw,200,outcome_ord,q26_housing,housing tenure,objective,medical-food,0.1467831418394006,0.09281697804771702,-0.03513479228796956,0.3287010759667708,0.11378076617999924,1848,0.37926922059999746
raw,200,outcome_ord,q27_minorchild,minor child,needs,food-cash,-0.03282810097489193,0.09542311106395338,-0.2198539619530061,0.15419776000322222,0.730826183165981,1848,0.730826183165981
raw,200,outcome_ord,q27_minorchild,minor child,needs,medical-cash,0.004967608832806964,0.09236979003706873,-0.17607385289937444,0.1860090705649884,0.957110776011123,1848,0.957110776011123
raw,200,outcome_ord,q27_minorchild,minor child,needs,medical-food,0.03779570980769889,0.09148067659138899,-0.14150312159277992,0.2170945412081777,0.6794929682806836,1848,0.6794929682806836
raw,200,outcome_ord,q28_hhsize,household size,needs,food-cash,-0.15484241758047976,0.09628723576172345,-0.34356193184437483,0.03387709668341532,0.10780665288213814,1848,0.4312266115285526
raw,200,outcome_ord,q28_hhsize,household size,needs,medical-cash,0.007239203945090835,0.09324515813472073,-0.17551794773170384,0.18999635562188552,0.9381174100128138,1848,0.957110776011123
raw,200,outcome_ord,q28_hhsize,household size,needs,medical-food,0.1620816215255706,0.09153221973225245,-0.017318232574650677,0.3414814756257919,0.0766005691166758,1848,0.10213409215556774
raw,200,outcome_ord,q29_foodexp,monthly food spending,needs,food-cash,0.09374791429835226,0.09975575270061457,-0.10176976824553653,0.28926559684224107,0.34733323283935646,1848,0.46311097711914195
raw,200,outcome_ord,q29_foodexp,monthly food spending,needs,medical-cash,-0.1777307443806957,0.09785437257820286,-0.36952179036373717,0.014060301602345782,0.06932773783445838,1848,0.2773109513378335
raw,200,outcome_ord,q29_foodexp,monthly food spending,needs,medical-food,-0.27147865867904797,0.09187031164895368,-0.45154116075946776,-0.09141615659862817,0.0031264822700936713,1848,0.012505929080374685
raw,200,outcome_ord,q30_medexp,annual OOP medical spending,needs,food-cash,-0.11885021960379123,0.10080756629152872,-0.3164294189043215,0.07872897969673905,0.23840568518847982,1848,0.46311097711914195
raw,200,outcome_ord,q30_medexp,annual OOP medical spending,needs,medical-cash,0.13684232278879288,0.10056067841834435,-0.060252985172076334,0.3339376307496621,0.17357894014298336,1848,0.3471578802859667
raw,200,outcome_ord,q30_medexp,annual OOP medical spending,needs,medical-food,0.2556925423925841,0.09660809259249899,0.06634416029617529,0.4450409244889929,0.008128166473487202,1848,0.016256332946974403
raw,200,outcome_ord,q31_gotsubsidy,prior subsidy,objective,food-cash,0.081595511310732,0.09325419938460208,-0.10117936089020535,0.26437038351166936,0.38158506846040174,1848,0.719733575962336
raw,200,outcome_ord,q31_gotsubsidy,prior subsidy,objective,medical-cash,0.0682775570977501,0.09099264282378358,-0.11006474569498273,0.24661985989048293,0.45303581328161235,1848,0.5606857612900673
raw,200,outcome_ord,q31_gotsubsidy,prior subsidy,objective,medical-food,-0.013317954212981903,0.08907607839156458,-0.187903859744515,0.1612679513185512,0.8811495385854328,1848,0.8811495385854327
raw,200,outcome_ord,q49_citytier,city tier,objective,food-cash,0.03930319040571405,0.0942205513191174,-0.14536569678326394,0.223972077594692,0.676575778675632,1848,0.7517508651951467
raw,200,outcome_ord,q49_citytier,city tier,objective,medical-cash,0.1029618476664691,0.09160364284984848,-0.07657799317190397,0.28250168850484214,0.26101602183195216,1848,0.5220320436639043
raw,200,outcome_ord,q49_citytier,city tier,objective,medical-food,0.06365865726075505,0.0877276600223846,-0.10828439683109307,0.23560171135260316,0.46805978612738675,1848,0.6686568373248382
raw,200,outcome_ord,q06_socsec,perceived social protection,subjective_economic,food-cash,0.053038041879821404,0.10385058492792373,-0.15050536435232725,0.2565814481119701,0.6095507005197538,1848,0.9042008296926702
raw,200,outcome_ord,q06_socsec,perceived social protection,subjective_economic,medical-cash,0.024307511695426734,0.1059651596382601,-0.18338038481160046,0.2319954082024539,0.8185646070202008,1848,0.9126206786580998
raw,200,outcome_ord,q06_socsec,perceived social protection,subjective_economic,medical-food,-0.02873053018439467,0.10041744136914427,-0.22554509868757994,0.1680840383187906,0.7747931402175825,1848,0.9441013681721072
raw,200,outcome_ord,q07_emergfund,emergency liquidity,subjective_economic,food-cash,0.08916119015181685,0.10276582050280703,-0.11225611687539279,0.2905784971790265,0.3856050105831357,1848,0.9042008296926702
raw,200,outcome_ord,q07_emergfund,emergency liquidity,subjective_economic,medical-cash,-0.01145762200952858,0.1034915571468207,-0.214297346721266,0.19138210270220885,0.9118457663370008,1848,0.9126206786580998
raw,200,outcome_ord,q07_emergfund,emergency liquidity,subjective_economic,medical-food,-0.10061881216134544,0.09733089238220227,-0.2913838558136058,0.09014623149091491,0.30123862847777105,1848,0.9441013681721072
raw,200,outcome_ord,q09_gain,sense of gain,subjective_economic,food-cash,0.012923434245246251,0.10112512884242586,-0.1852781762178811,0.2111250447083736,0.8983100456395997,1848,0.9222457475036736
raw,200,outcome_ord,q09_gain,sense of gain,subjective_economic,medical-cash,-0.018010628496309453,0.10185190943369801,-0.2176367027429929,0.18161544575037403,0.8596407256718668,1848,0.9126206786580998
raw,200,outcome_ord,q09_gain,sense of gain,subjective_economic,medical-food,-0.030934062741555704,0.0993900667286317,-0.22573501395070655,0.16386688846759512,0.7556189537208047,1848,0.9441013681721072
raw,200,outcome_ord,q10_effort,returns to effort,subjective_economic,food-cash,0.05588769876944004,0.10718535818291741,-0.15419174293910365,0.26596714047798375,0.6020800095772734,1848,0.9042008296926702
raw,200,outcome_ord,q10_effort,returns to effort,subjective_economic,medical-cash,-0.015149007509802706,0.10717676692359718,-0.2252116106594969,0.19491359563989147,0.887596610053478,1848,0.9126206786580998
