variable,group,contrast,N_treated,N_cash,effect,se,lo,hi
income_h,"(0.999, 4.0]",food-cash,1277,1242,-0.12968006991022873,0.06108514321628868,-0.24940695061415455,-0.00995318920630292
income_h,"(0.999, 4.0]",medical-cash,1282,1242,-0.22629948676207912,0.06065695523694768,-0.34518711902649657,-0.10741185449766166
income_h,"(4.0, 6.0]",food-cash,559,556,-0.09516930284037528,0.09725224035361865,-0.2857836939334678,0.09544508825271728
income_h,"(4.0, 6.0]",medical-cash,581,556,-0.5002817023489641,0.09193008326110935,-0.6804646655407384,-0.3200987391571898
q07_emergfund,"(-0.001, 6.0]",food-cash,671,669,-0.14373166346995658,0.08767688166549453,-0.3155783515343259,0.028115024594412702
q07_emergfund,"(-0.001, 6.0]",medical-cash,687,669,-0.2794694551602146,0.08422285976043535,-0.4445462602906679,-0.11439265002976132
q07_emergfund,"(6.0, 8.0]",food-cash,631,588,-0.21518591588775005,0.08565998604828921,-0.38307948854239693,-0.04729234323310319
q07_emergfund,"(6.0, 8.0]",medical-cash,640,588,-0.3923575680272111,0.08472677435234031,-0.5584220457577982,-0.2262930902966241
q07_emergfund,"(8.0, 10.0]",food-cash,534,541,0.010637119497116654,0.09799766375502778,-0.1814383014627378,0.2027125404569711
q07_emergfund,"(8.0, 10.0]",medical-cash,536,541,-0.2610871244516786,0.09585097033236273,-0.4489550263031096,-0.07321922260024763
q06_socsec,"(-0.001, 6.0]",food-cash,668,647,-0.13029042378920686,0.09128916927311287,-0.3092171955645081,0.04863634798609437
q06_socsec,"(-0.001, 6.0]",medical-cash,676,647,-0.33452987388310174,0.08856624570927024,-0.5081197154732714,-0.16094003229293208
q06_socsec,"(6.0, 8.0]",food-cash,694,690,-0.10888359854654794,0.08189762366275191,-0.2694029409255417,0.05163574383244579
q06_socsec,"(6.0, 8.0]",medical-cash,700,690,-0.35701863354037267,0.07905798582521212,-0.5119722857577884,-0.20206498132295692
q06_socsec,"(8.0, 10.0]",food-cash,474,461,-0.12250473653862004,0.0991067635615352,-0.316753993119229,0.07174452004198895
q06_socsec,"(8.0, 10.0]",medical-cash,487,461,-0.20766835777949,0.0986209531340204,-0.40096542592217,-0.014371289636810003
q15_fut_self,"(-0.001, 6.0]",food-cash,686,692,-0.2057752911238815,0.09065669881342094,-0.3834624207981865,-0.02808816144957646
q15_fut_self,"(-0.001, 6.0]",medical-cash,711,692,-0.3844174532328477,0.08770406490157358,-0.5563174204399319,-0.2125174860257635
q15_fut_self,"(6.0, 8.0]",food-cash,659,618,0.015223615264866375,0.08397749138143842,-0.14937226784275293,0.17981949837248568
q15_fut_self,"(6.0, 8.0]",medical-cash,622,618,-0.25130854639486344,0.08234264891129663,-0.4127001382610048,-0.08991695452872206
q15_fut_self,"(8.0, 10.0]",food-cash,491,488,-0.18622082735134082,0.09510722667479408,-0.3726309916339372,0.00018933693125558482
q15_fut_self,"(8.0, 10.0]",medical-cash,530,488,-0.2812867305907827,0.09332987986777455,-0.4642132951316208,-0.09836016604994458
q17b_fut_job,"(-0.001, 6.0]",food-cash,817,787,-0.16361343060970857,0.08273858225357336,-0.32578105182671235,-0.0014458093927047777
q17b_fut_job,"(-0.001, 6.0]",medical-cash,844,787,-0.34831413309887527,0.07998739848316619,-0.505089434125881,-0.19153883207186953
q17b_fut_job,"(6.0, 8.0]",food-cash,613,594,-0.014135372210413166,0.08644353541448718,-0.18356470162280805,0.15529395720198172
q17b_fut_job,"(6.0, 8.0]",medical-cash,583,594,-0.31621243885394845,0.08566039641332775,-0.48410681582407084,-0.14831806188382607
q17b_fut_job,"(8.0, 10.0]",food-cash,406,417,-0.19816068327603942,0.10364489782379246,-0.4013046830106727,0.004983316458593817
q17b_fut_job,"(8.0, 10.0]",medical-cash,436,417,-0.22422612368820527,0.10111546717430499,-0.42241243934984307,-0.026039808026567496
q18_ses_now,"(0.999, 6.0]",food-cash,818,833,-0.0961998491328071,0.08232069872546048,-0.2575484186347097,0.06514872036909544
q18_ses_now,"(0.999, 6.0]",medical-cash,842,833,-0.34297519482852534,0.07927456861258025,-0.4983533493091826,-0.18759704034786806
q18_ses_now,"(6.0, 8.0]",food-cash,643,599,-0.164281059412136,0.08582394597117658,-0.3324959935156421,0.003933874691370104
q18_ses_now,"(6.0, 8.0]",medical-cash,633,599,-0.3313052032481729,0.08389733302367214,-0.4957439759745703,-0.16686643052177552
q18_ses_now,"(8.0, 10.0]",food-cash,375,366,-0.11999999999999966,0.10377617551845827,-0.32340130401617784,0.08340130401617854
q18_ses_now,"(8.0, 10.0]",medical-cash,388,366,-0.21305841924398594,0.10336787316418126,-0.41565945064578125,-0.010457387842190663
q29_foodexp,"(0.999, 3.0]",food-cash,998,1005,-0.06713626257490146,0.06714947767426982,-0.1987492388164703,0.06447671366666738
q29_foodexp,"(0.999, 3.0]",medical-cash,1023,1005,-0.1918676412658118,0.06563512272143743,-0.32051248179982916,-0.06322280073179443
q29_foodexp,"(3.0, 4.0]",food-cash,516,483,-0.23868505946362362,0.09623491523168114,-0.4273054933177186,-0.050064625609528596
q29_foodexp,"(3.0, 4.0]",medical-cash,500,483,-0.4911966873706004,0.09481698041094824,-0.677037968976059,-0.30535540576514186
q29_foodexp,"(4.0, 6.0]",food-cash,322,310,-0.1433981166098981,0.13811686736404652,-0.4141071766434293,0.12731094342363308
q29_foodexp,"(4.0, 6.0]",medical-cash,340,310,-0.4409867172675521,0.13271688597242973,-0.7011118137735144,-0.18086162076158985
q30_medexp,"(0.999, 3.0]",food-cash,1104,1061,-0.09032615525413545,0.06542625557146897,-0.21856161617421463,0.03790930566594372
q30_medexp,"(0.999, 3.0]",medical-cash,1105,1061,-0.38681854819793493,0.0627780504608234,-0.5098635271011488,-0.26377356929472107
q30_medexp,"(3.0, 4.0]",food-cash,489,480,-0.16109406952965255,0.1017122563602504,-0.3604500919957433,0.03826195293643822
q30_medexp,"(3.0, 4.0]",medical-cash,507,480,-0.30636094674556213,0.09933814914196115,-0.501063719063806,-0.11165817442731829
q30_medexp,"(4.0, 6.0]",food-cash,243,257,-0.16018958863749155,0.15455310953389992,-0.4631136833239354,0.14273450604895227
q30_medexp,"(4.0, 6.0]",medical-cash,251,257,0.018339094981940196,0.15283276475522156,-0.28121312393829406,0.31789131390217445
q42_age,"(13.999, 28.0]",food-cash,669,641,-0.06603331397829892,0.0836427753756162,-0.22997315371450666,0.09790652575790881
q42_age,"(13.999, 28.0]",medical-cash,655,641,-0.21921853973395544,0.08119127990010495,-0.37835344833816115,-0.06008363112974974
q42_age,"(28.0, 36.0]",food-cash,605,584,-0.14326672704630372,0.09170140477355902,-0.3230014804024794,0.03646802630987195
q42_age,"(28.0, 36.0]",medical-cash,617,584,-0.41570735552052573,0.08966319667178378,-0.5914472209972219,-0.23996749004382953
