variable,group,type,N,mean,se,lo,hi
income_h,"(0.999, 4.0]",cash,1242,2.7028985507246377,0.04396585263089048,2.6167254795680925,2.789071621881183
income_h,"(0.999, 4.0]",food,1277,2.573218480814409,0.042407529097948156,2.4900997237824307,2.656337237846387
income_h,"(0.999, 4.0]",medical,1282,2.4765990639625586,0.041788395770308,2.3946938082527547,2.5585043196723625
income_h,"(4.0, 6.0]",cash,556,3.066546762589928,0.06936042384872466,2.9306003318464273,3.2024931933334284
income_h,"(4.0, 6.0]",food,559,2.9713774597495526,0.06816986032935142,2.837764533504024,3.104990385995081
income_h,"(4.0, 6.0]",medical,581,2.566265060240964,0.060334665093292474,2.4480091166581106,2.684521003823817
q07_emergfund,"(-0.001, 6.0]",cash,669,2.7219730941704037,0.06117220230464625,2.602075577653297,2.8418706106875105
q07_emergfund,"(-0.001, 6.0]",food,671,2.578241430700447,0.06281080515153872,2.4551322526034314,2.701350608797463
q07_emergfund,"(-0.001, 6.0]",medical,687,2.442503639010189,0.05789172455045189,2.329035858891303,2.555971419129075
q07_emergfund,"(6.0, 8.0]",cash,588,2.925170068027211,0.06306396708881447,2.801564692533135,3.0487754435212873
q07_emergfund,"(6.0, 8.0]",food,631,2.709984152139461,0.057970417152320285,2.596362134520913,2.823606169758009
q07_emergfund,"(6.0, 8.0]",medical,640,2.5328125,0.056582350138301235,2.4219110937289297,2.64371390627107
q07_emergfund,"(8.0, 10.0]",cash,541,2.811460258780037,0.0706154652975681,2.6730539467968035,2.94986657076327
q07_emergfund,"(8.0, 10.0]",food,534,2.8220973782771535,0.06794849639433856,2.68891832534425,2.955276431210057
q07_emergfund,"(8.0, 10.0]",medical,536,2.550373134328358,0.06481407697763993,2.4233375434521838,2.6774087252045327
q06_socsec,"(-0.001, 6.0]",cash,647,2.7635239567233385,0.0651641381260797,2.6358022459962225,2.8912456674504545
q06_socsec,"(-0.001, 6.0]",food,668,2.6332335329341316,0.06393236683292947,2.50792609394159,2.7585409719266734
q06_socsec,"(-0.001, 6.0]",medical,676,2.4289940828402368,0.05998012155139429,2.311433044599504,2.5465551210809694
q06_socsec,"(6.0, 8.0]",cash,690,2.891304347826087,0.05828162407028399,2.77707236464833,3.0055363310038437
q06_socsec,"(6.0, 8.0]",food,694,2.782420749279539,0.05753671051890118,2.669648796662493,2.895192701896585
q06_socsec,"(6.0, 8.0]",medical,700,2.5342857142857143,0.053417388727543896,2.4295876323797283,2.6389837961917
q06_socsec,"(8.0, 10.0]",cash,461,2.774403470715835,0.07262664550716585,2.6320552455217903,2.91675169590988
q06_socsec,"(8.0, 10.0]",food,474,2.651898734177215,0.06743530934175734,2.519725527867371,2.7840719404870593
q06_socsec,"(8.0, 10.0]",medical,487,2.566735112936345,0.06671928326532829,2.4359653177363016,2.6975049081363887
q15_fut_self,"(-0.001, 6.0]",cash,692,2.80635838150289,0.06470615716688415,2.679534313455797,2.933182449549983
q15_fut_self,"(-0.001, 6.0]",food,686,2.6005830903790086,0.06349606495241894,2.4761308030722673,2.72503537768575
q15_fut_self,"(-0.001, 6.0]",medical,711,2.4219409282700424,0.05920402203359092,2.3059010450842043,2.5379808114558804
q15_fut_self,"(6.0, 8.0]",cash,618,2.8284789644012944,0.05918844785325225,2.71246960660892,2.944488322193669
q15_fut_self,"(6.0, 8.0]",food,659,2.843702579666161,0.059573036681391404,2.726939427770634,2.960465731561688
q15_fut_self,"(6.0, 8.0]",medical,622,2.577170418006431,0.05724543187409716,2.4649693715332006,2.6893714644796614
q15_fut_self,"(8.0, 10.0]",cash,488,2.8114754098360657,0.07036396709434793,2.6735620343311437,2.9493887853409877
q15_fut_self,"(8.0, 10.0]",food,491,2.625254582484725,0.06398669158908114,2.4998406669701256,2.750668497999324
q15_fut_self,"(8.0, 10.0]",medical,530,2.530188679245283,0.06131377178806366,2.4100136865406783,2.6503636719498878
q17b_fut_job,"(-0.001, 6.0]",cash,787,2.789072426937738,0.06005508493454067,2.6713644604660383,2.906780393409438
q17b_fut_job,"(-0.001, 6.0]",food,817,2.6254589963280295,0.05691273817728708,2.513910029500547,2.737007963155512
q17b_fut_job,"(-0.001, 6.0]",medical,844,2.440758293838863,0.052833423981509316,2.3372047828351046,2.544311804842621
q17b_fut_job,"(6.0, 8.0]",cash,594,2.877104377104377,0.06084473337059639,2.757848699698008,2.9963600545107463
q17b_fut_job,"(6.0, 8.0]",food,613,2.862969004893964,0.061403609307733135,2.742617930650807,2.983320079137121
q17b_fut_job,"(6.0, 8.0]",medical,583,2.5608919382504287,0.06029611873702558,2.442711545525859,2.6790723309749986
q17b_fut_job,"(8.0, 10.0]",cash,417,2.776978417266187,0.07501840581526878,2.62994234186826,2.924014492664114
q17b_fut_job,"(8.0, 10.0]",food,406,2.5788177339901477,0.07151575794075055,2.4386468484262767,2.7189886195540187
q17b_fut_job,"(8.0, 10.0]",medical,436,2.552752293577982,0.06779805668906443,2.4198681024674156,2.685636484688548
q18_ses_now,"(0.999, 6.0]",cash,833,2.7539015606242496,0.057489126143523965,2.641222873382943,2.8665802478655564
q18_ses_now,"(0.999, 6.0]",food,818,2.6577017114914425,0.058921115178703305,2.542216325741184,2.773187097241701
q18_ses_now,"(0.999, 6.0]",medical,842,2.4109263657957243,0.05458440806644956,2.3039409259854833,2.5179118056059653
q18_ses_now,"(6.0, 8.0]",cash,599,2.991652754590985,0.06316053048400583,2.8678581148423334,3.1154473943396366
q18_ses_now,"(6.0, 8.0]",food,643,2.827371695178849,0.0581076336727147,2.713480733180328,2.94126265717737
q18_ses_now,"(6.0, 8.0]",medical,633,2.660347551342812,0.05522236754670988,2.5521117109512605,2.7685833917343636
q18_ses_now,"(8.0, 10.0]",cash,366,2.6666666666666665,0.07568997112841876,2.5183143232549656,2.8150190100783674
q18_ses_now,"(8.0, 10.0]",food,375,2.546666666666667,0.07099663989103283,2.4075132524802427,2.685820080853091
q18_ses_now,"(8.0, 10.0]",medical,388,2.4536082474226806,0.07039847635471524,2.315627233767439,2.5915892610779223
q29_foodexp,"(0.999, 3.0]",cash,1005,2.5711442786069654,0.04711833553339711,2.478792340961507,2.663496216252424
q29_foodexp,"(0.999, 3.0]",food,998,2.504008016032064,0.04784260453287915,2.410236511147621,2.597779520916507
q29_foodexp,"(0.999, 3.0]",medical,1023,2.3792766373411536,0.045692798023543695,2.289718753215008,2.4688345214672993
q29_foodexp,"(3.0, 4.0]",cash,483,3.0351966873706004,0.07035660137767084,2.8972977486703657,3.173095626070835
q29_foodexp,"(3.0, 4.0]",food,516,2.796511627906977,0.0656590249107644,2.6678199390818786,2.925203316732075
q29_foodexp,"(3.0, 4.0]",medical,500,2.544,0.06356263380976018,2.41941723773287,2.66858276226713
q29_foodexp,"(4.0, 6.0]",cash,310,3.264516129032258,0.10095636623866167,3.066641651204481,3.462390606860035
q29_foodexp,"(4.0, 6.0]",food,322,3.12111801242236,0.09425540391056011,2.9363774207576623,3.305858604087058
q29_foodexp,"(4.0, 6.0]",medical,340,2.823529411764706,0.08614861541605955,2.6546781255492293,2.992380697980183
q30_medexp,"(0.999, 3.0]",cash,1061,2.7144203581526862,0.046944114703791485,2.6224098933332547,2.8064308229721178
q30_medexp,"(0.999, 3.0]",food,1104,2.6240942028985508,0.04557241504222092,2.534772269415798,2.7134161363813036
q30_medexp,"(0.999, 3.0]",medical,1105,2.3276018099547513,0.04168133532336694,2.245906392720952,2.4092972271885507
q30_medexp,"(3.0, 4.0]",cash,480,2.975,0.07342939081140393,2.8310783940096482,3.118921605990352
q30_medexp,"(3.0, 4.0]",food,489,2.8139059304703475,0.07038115982959792,2.6759588572043356,2.9518530037363595
q30_medexp,"(3.0, 4.0]",medical,507,2.668639053254438,0.06690435292278543,2.5375065215257786,2.7997715849830973
q30_medexp,"(4.0, 6.0]",cash,257,2.933852140077821,0.1081742023281291,2.7218307035146876,3.145873576640954
q30_medexp,"(4.0, 6.0]",food,243,2.7736625514403292,0.11038571292187524,2.557306554113454,2.9900185487672046
q30_medexp,"(4.0, 6.0]",medical,251,2.952191235059761,0.10796386401661383,2.740582061587198,3.163800408532324
q42_age,"(13.999, 28.0]",cash,641,2.6848673946957877,0.0587162625466134,2.5697835201044255,2.79995126928715
