contrast,feature_set,method,quintile,N,N_treated,N_control,predicted_cate,effect_ord,se,lo,hi
food-cash,O,t_rf,1,727,387,340,-0.08098983475922993,0.05596595227238188,0.1186359540815854,-0.1765605177275255,0.2884924222722893
food-cash,O,t_rf,2,727,385,342,-0.04089216388942811,-0.35355813776866407,0.11800847826202866,-0.5848547551622403,-0.12226152037508789
food-cash,O,t_rf,3,726,341,385,-0.018065429050480065,-0.18986175115207393,0.11625408731525923,-0.417719762289982,0.03799625998583414
food-cash,O,t_rf,4,727,367,360,0.006992948655690703,-0.019618528610354513,0.11110247996393043,-0.23737938933965813,0.1981423321189491
food-cash,O,t_rf,5,727,356,371,0.04670739104780104,-0.1433492837457222,0.11677922873152459,-0.3722365720595104,0.08553800456806598
food-cash,S,t_rf,1,727,360,367,-0.073099394633664,-0.0363306085376931,0.12261325657402296,-0.2766525914227781,0.2039913743473919
food-cash,S,t_rf,2,727,404,323,-0.040544809733224225,0.1363685130122918,0.11516265054706527,-0.08935028205995613,0.3620873080845397
food-cash,S,t_rf,3,726,354,372,-0.020315668942334934,-0.13454528886458883,0.11562281506755694,-0.3611660063970004,0.09207542866782276
food-cash,S,t_rf,4,727,360,367,-0.001736877780716933,-0.18907811080835613,0.11278082200065057,-0.41012852192963123,0.03197230031291898
food-cash,S,t_rf,5,727,358,369,0.03379936106118093,-0.36638355210367735,0.11537681118097513,-0.5925221020183886,-0.1402450021889661
food-cash,A,t_rf,1,747,383,364,-0.0767751966859035,0.05077037844661847,0.12075371726988587,-0.18590690740235785,0.28744766429559476
food-cash,A,t_rf,2,707,384,323,-0.03995462190268798,-0.08762254901960764,0.11867839936550412,-0.3202322117759957,0.14498711373678042
food-cash,A,t_rf,3,726,329,397,-0.017758715678664914,-0.10165144357759193,0.1149905504522539,-0.32703292246400956,0.1237300353088257
food-cash,A,t_rf,4,727,369,358,0.005052105570526399,-0.35022179830736855,0.11339955662343805,-0.572484929289307,-0.12795866732543
food-cash,A,t_rf,5,727,371,356,0.03869170255338309,-0.12693449226203102,0.11461914178678688,-0.3515880101641333,0.09771902564007126
food-cash,ALL,t_rf,1,727,394,333,-0.08344390612499784,-0.04336061950275161,0.12354702600451832,-0.2855127904716075,0.1987915514661043
food-cash,ALL,t_rf,2,727,365,362,-0.041119189062406775,-0.11882237190645561,0.11555343591522613,-0.3453071063002988,0.10766236248738759
food-cash,ALL,t_rf,3,726,365,361,-0.017445246511829278,-0.256168178196031,0.11803936443156463,-0.48752533248189767,-0.02481102391016432
food-cash,ALL,t_rf,4,727,361,366,0.006168248651358219,-0.1338646443546314,0.11244536684018303,-0.35425756336139014,0.08652827465212731
food-cash,ALL,t_rf,5,727,351,376,0.04216661936360854,-0.09472176759410811,0.1125137436838254,-0.31524870521440584,0.12580517002618966
food-cash,ALL,dr_rf,1,727,378,349,-0.0878643603375116,0.09498036718667091,0.12368048247060967,-0.14743337845572405,0.33739411282906584
food-cash,ALL,dr_rf,2,727,370,357,-0.04376602993080426,-0.23512756453932937,0.11486925827149508,-0.4602713107514597,-0.009983818327199023
food-cash,ALL,dr_rf,3,726,362,364,-0.018882351056903193,-0.11728188938133677,0.11339568242831394,-0.3395374269408321,0.10497364817815855
food-cash,ALL,dr_rf,4,727,367,360,0.005515716127767694,-0.15684226460793216,0.11227703015418697,-0.3769052437101386,0.0632207144942743
food-cash,ALL,dr_rf,5,727,359,368,0.04590224691821626,-0.19914163739857083,0.117930636612164,-0.43028568515841226,0.03200241036127063
medical-cash,O,t_rf,1,733,367,366,-0.12633049879532626,-0.6299861526778936,0.11455895509656461,-0.8545217046671603,-0.405450600688627
medical-cash,O,t_rf,2,732,380,352,-0.07359867385266404,-0.30475478468899553,0.1093535679995967,-0.519087777968205,-0.09042179140978601
medical-cash,O,t_rf,3,732,400,332,-0.04532841369859857,-0.03882530120481942,0.11138985076359115,-0.2571494087014581,0.17949880629181922
