contrast,feature_set,method,calibration_slope,se,lo,hi,p,N
food-cash,O,t_rf,0.011206748397831978,0.20436067561032212,-0.38934017579839936,0.4117536725940633,0.9562674574334816,3634
food-cash,S,t_rf,-0.5490365890727272,0.239089209792942,-1.0176514402668935,-0.08042173787856094,0.02165490195064832,3634
food-cash,A,t_rf,-0.35587901996823407,0.2160194676318197,-0.7792771765266007,0.06751913659013253,0.09946772657440663,3634
food-cash,ALL,t_rf,-0.04802393529838409,0.20371550104652753,-0.44730631734957804,0.3512584467528098,0.8136342648668861,3634
food-cash,ALL,dr_rf,-0.3136399478712259,0.1971874840531621,-0.7001274166154237,0.0728475208729718,0.1117070070468807,3634
medical-cash,O,t_rf,0.5607366337294166,0.17381257710772863,0.22006398259826854,0.9014092848605647,0.001254898096623326,3661
medical-cash,S,t_rf,-0.06912499492043077,0.19036406803422357,-0.44223856826750896,0.3039885784266474,0.7165152664456265,3661
medical-cash,A,t_rf,0.5245624701471704,0.15490467935173777,0.22094929861776436,0.8281756416765764,0.0007082730398228637,3661
medical-cash,ALL,t_rf,0.6119559181741077,0.16596669130366684,0.28666120321892063,0.9372506331292947,0.0002267161880217106,3661
medical-cash,ALL,dr_rf,0.34314080953698384,0.15288349240753246,0.043489164418220205,0.6427924546557475,0.0248028508287622,3661
restricted-cash,O,t_rf,0.39480266936789155,0.1730439220969652,0.05563658205783978,0.7339687566779434,0.022517865306149125,5497
restricted-cash,S,t_rf,-0.17677655377257176,0.20214281115679142,-0.572976463639883,0.21942335609473942,0.38183884258647205,5497
restricted-cash,A,t_rf,0.10798253014146188,0.16683269334416323,-0.2190095488130981,0.4349746090960218,0.5174698868210432,5497
restricted-cash,ALL,t_rf,0.4159286843797643,0.1736610195098155,0.07555308614052597,0.7563042826190027,0.016617613617620826,5497
