method,contrast,feature_set,variable,model_importance
t_rf,food-cash,O,q29_foodexp,0.2153617026389381
t_rf,food-cash,O,q42_age,0.14350350741077006
t_rf,food-cash,O,income_h,0.07859669487028881
t_rf,food-cash,O,q31_gotsubsidy,0.06972129548134126
t_rf,food-cash,O,q25_unittype,0.06462808765652636
t_rf,food-cash,O,q30_medexp,0.06014922028438123
t_rf,food-cash,O,q49_citytier,0.05794352648230307
t_rf,food-cash,O,q28_hhsize,0.05693799803436789
t_rf,food-cash,O,q43_edu,0.05633713253867473
t_rf,food-cash,O,q41_gender,0.048122478291091834
t_rf,food-cash,O,q23_hukou,0.040033390027525644
t_rf,food-cash,O,q26_housing,0.03856225033066063
t_rf,food-cash,O,q24_workstat,0.03767914847096043
t_rf,food-cash,O,q27_minorchild,0.03242356748216998
t_rf,food-cash,S,q07_emergfund,0.1317347021592132
t_rf,food-cash,S,q18_ses_now,0.08347351420056909
t_rf,food-cash,S,q20_ses_next1,0.07948061920880631
t_rf,food-cash,S,q17e_fut_welfare,0.07612219030202468
t_rf,food-cash,S,q19_ses_past5,0.0738340781538899
t_rf,food-cash,S,q09_gain,0.0725763407355417
t_rf,food-cash,S,q11_mobility,0.07247936120846679
t_rf,food-cash,S,q17b_fut_job,0.06936196386838918
t_rf,food-cash,S,q15_fut_self,0.06642509427298743
t_rf,food-cash,S,q17c_fut_price,0.06051571342605633
t_rf,food-cash,S,q10_effort,0.05792274276107863
t_rf,food-cash,S,q13_pressure,0.05419925733579507
t_rf,food-cash,S,q06_socsec,0.05391888803110282
t_rf,food-cash,S,q17a_fut_econ,0.04795553433607892
t_rf,food-cash,A,q03a_fair_dist,0.10027020497238634
t_rf,food-cash,A,q02_safety,0.08887750473155585
t_rf,food-cash,A,q03b_fair_opp,0.08334973829132641
t_rf,food-cash,A,q05_trust_soc,0.08266858584666152
t_rf,food-cash,A,q21_order,0.08018837368612312
t_rf,food-cash,A,q08_support,0.0801338472390519
t_rf,food-cash,A,q12_voice,0.07943928366073906
t_rf,food-cash,A,q22_vitality,0.07152277373011162
t_rf,food-cash,A,q17d_fut_fair,0.07050683740201678
t_rf,food-cash,A,q01_lifesat,0.06656507283535076
t_rf,food-cash,A,q03c_fair_rule,0.06618765114223876
t_rf,food-cash,A,q04_trust_gov,0.06535836210730436
t_rf,food-cash,A,q16_fut_society,0.0649317643551335
t_rf,food-cash,ALL,q29_foodexp,0.14296410893220424
t_rf,food-cash,ALL,q42_age,0.053500163318587104
t_rf,food-cash,ALL,income_h,0.041819168515204036
t_rf,food-cash,ALL,q31_gotsubsidy,0.035620374138802056
t_rf,food-cash,ALL,q07_emergfund,0.035017242166183904
t_rf,food-cash,ALL,q18_ses_now,0.028804215348645183
t_rf,food-cash,ALL,q43_edu,0.02616660701895303
t_rf,food-cash,ALL,q22_vitality,0.02559941763098176
t_rf,food-cash,ALL,q30_medexp,0.02482071761635032
t_rf,food-cash,ALL,q20_ses_next1,0.024039849459802292
t_rf,food-cash,ALL,q03a_fair_dist,0.023241225918321323
t_rf,food-cash,ALL,q25_unittype,0.023168201247707475
t_rf,food-cash,ALL,q21_order,0.02222630506501897
t_rf,food-cash,ALL,q17b_fut_job,0.02183451755908955
t_rf,food-cash,ALL,q08_support,0.021821493438774906
t_rf,food-cash,ALL,q19_ses_past5,0.02113108624962907
t_rf,food-cash,ALL,q05_trust_soc,0.020916920853896383
t_rf,food-cash,ALL,q03b_fair_opp,0.020859576612034397
t_rf,food-cash,ALL,q41_gender,0.02063921141320224
t_rf,food-cash,ALL,q28_hhsize,0.020611975135393305
t_rf,food-cash,ALL,q49_citytier,0.0202960497863948
t_rf,food-cash,ALL,q17c_fut_price,0.02026850301978737
t_rf,food-cash,ALL,q02_safety,0.01979690437864045
t_rf,food-cash,ALL,q11_mobility,0.01894781287032627
t_rf,food-cash,ALL,q17e_fut_welfare,0.018818350679655503
t_rf,food-cash,ALL,q26_housing,0.018477565308911228
t_rf,food-cash,ALL,q23_hukou,0.01844621318154518
t_rf,food-cash,ALL,q12_voice,0.018340957083482528
t_rf,food-cash,ALL,q24_workstat,0.018291335907126276
t_rf,food-cash,ALL,q15_fut_self,0.017071641914725787
t_rf,food-cash,ALL,q01_lifesat,0.01704989080957462
t_rf,food-cash,ALL,q04_trust_gov,0.016530428898426063
t_rf,food-cash,ALL,q16_fut_society,0.016428935774987663
t_rf,food-cash,ALL,q17d_fut_fair,0.016275802193961502
t_rf,food-cash,ALL,q03c_fair_rule,0.015790794139841056
t_rf,food-cash,ALL,q13_pressure,0.013360234275329124
t_rf,food-cash,ALL,q10_effort,0.01325952200902259
t_rf,food-cash,ALL,q17a_fut_econ,0.012493836519240614
t_rf,food-cash,ALL,q09_gain,0.0123847942843236
t_rf,food-cash,ALL,q06_socsec,0.011912122743441148
t_rf,food-cash,ALL,q27_minorchild,0.010955926582475049
dr_rf,food-cash,ALL,q42_age,0.07665681336539235
dr_rf,food-cash,ALL,q07_emergfund,0.03757775667942527
dr_rf,food-cash,ALL,q29_foodexp,0.0349466714503486
dr_rf,food-cash,ALL,q18_ses_now,0.031681279204184246
dr_rf,food-cash,ALL,q05_trust_soc,0.0298611872337882
dr_rf,food-cash,ALL,q12_voice,0.028191256966341654
dr_rf,food-cash,ALL,q28_hhsize,0.026712182725811558
dr_rf,food-cash,ALL,q22_vitality,0.026392853806883478
dr_rf,food-cash,ALL,q03c_fair_rule,0.02622253371171237
dr_rf,food-cash,ALL,q08_support,0.026006810071082454
dr_rf,food-cash,ALL,q03a_fair_dist,0.025925431682337692
dr_rf,food-cash,ALL,q02_safety,0.02570292042232476
dr_rf,food-cash,ALL,q11_mobility,0.02503399822810532
dr_rf,food-cash,ALL,q30_medexp,0.02468947130124004
dr_rf,food-cash,ALL,q19_ses_past5,0.024624874979692714
dr_rf,food-cash,ALL,income_h,0.023689542723259016
dr_rf,food-cash,ALL,q31_gotsubsidy,0.023607804044724495
dr_rf,food-cash,ALL,q15_fut_self,0.023185969456397094
dr_rf,food-cash,ALL,q17d_fut_fair,0.02295450042279374
dr_rf,food-cash,ALL,q04_trust_gov,0.022638873315601306
dr_rf,food-cash,ALL,q43_edu,0.022618341964007034
dr_rf,food-cash,ALL,q17c_fut_price,0.02248270916562223
dr_rf,food-cash,ALL,q17e_fut_welfare,0.022341865098142948
dr_rf,food-cash,ALL,q17b_fut_job,0.021910984723197587
dr_rf,food-cash,ALL,q01_lifesat,0.021897738764536122
dr_rf,food-cash,ALL,q10_effort,0.021822973609781606
dr_rf,food-cash,ALL,q25_unittype,0.021813545965614568
dr_rf,food-cash,ALL,q16_fut_society,0.021672447728021026
dr_rf,food-cash,ALL,q21_order,0.021599956381757608
dr_rf,food-cash,ALL,q20_ses_next1,0.02127938462653066
dr_rf,food-cash,ALL,q09_gain,0.021205299903272763
dr_rf,food-cash,ALL,q06_socsec,0.02113151221256672
dr_rf,food-cash,ALL,q49_citytier,0.020586487157875977
dr_rf,food-cash,ALL,q41_gender,0.020545639433267003
dr_rf,food-cash,ALL,q03b_fair_opp,0.019574510748587674
dr_rf,food-cash,ALL,q17a_fut_econ,0.018003676114907025
dr_rf,food-cash,ALL,q13_pressure,0.017584924282897606
dr_rf,food-cash,ALL,q27_minorchild,0.01735756373701696
dr_rf,food-cash,ALL,q23_hukou,0.016912382944061853
dr_rf,food-cash,ALL,q26_housing,0.013457405679186296
dr_rf,food-cash,ALL,q24_workstat,0.007897917967702343
t_rf,medical-cash,O,q29_foodexp,0.1874279500681991
t_rf,medical-cash,O,q42_age,0.14313948355762224
t_rf,medical-cash,O,q30_medexp,0.12779222109546828
t_rf,medical-cash,O,q28_hhsize,0.07691333819592103
t_rf,medical-cash,O,q31_gotsubsidy,0.0634638229148363
t_rf,medical-cash,O,q25_unittype,0.05854275812909718
t_rf,medical-cash,O,q49_citytier,0.05783235433555295
t_rf,medical-cash,O,q23_hukou,0.05543287348803376
t_rf,medical-cash,O,income_h,0.054235686048583275
t_rf,medical-cash,O,q41_gender,0.04910548736723631
t_rf,medical-cash,O,q26_housing,0.04025220573099207
t_rf,medical-cash,O,q43_edu,0.03648938441259387
t_rf,medical-cash,O,q24_workstat,0.026191759279044543
t_rf,medical-cash,O,q27_minorchild,0.02318067537681908
t_rf,medical-cash,S,q07_emergfund,0.09890704880933347
t_rf,medical-cash,S,q18_ses_now,0.09056691100766193
t_rf,medical-cash,S,q13_pressure,0.08154172994940004
t_rf,medical-cash,S,q17c_fut_price,0.07884926548947203
t_rf,medical-cash,S,q19_ses_past5,0.07536249908345471
t_rf,medical-cash,S,q09_gain,0.0740513548432852
t_rf,medical-cash,S,q20_ses_next1,0.06935114458191345
t_rf,medical-cash,S,q10_effort,0.06681851207698215
t_rf,medical-cash,S,q06_socsec,0.06585102763088484
t_rf,medical-cash,S,q11_mobility,0.06423697240379296
t_rf,medical-cash,S,q17a_fut_econ,0.061924683388889845
t_rf,medical-cash,S,q17e_fut_welfare,0.06123772722248577
t_rf,medical-cash,S,q15_fut_self,0.05917489176456399
t_rf,medical-cash,S,q17b_fut_job,0.05212623174787963
t_rf,medical-cash,A,q03a_fair_dist,0.10702998408620992
t_rf,medical-cash,A,q03b_fair_opp,0.09751430985060944
t_rf,medical-cash,A,q21_order,0.09635161931801954
t_rf,medical-cash,A,q05_trust_soc,0.08915321016079614
t_rf,medical-cash,A,q22_vitality,0.08707757582157871
t_rf,medical-cash,A,q02_safety,0.07745138770711886
t_rf,medical-cash,A,q12_voice,0.0756224663436929
t_rf,medical-cash,A,q17d_fut_fair,0.06624148605996032
t_rf,medical-cash,A,q03c_fair_rule,0.06406995476048337
t_rf,medical-cash,A,q08_support,0.06296936310268217
t_rf,medical-cash,A,q01_lifesat,0.06253824880083311
t_rf,medical-cash,A,q04_trust_gov,0.06104904261123428
t_rf,medical-cash,A,q16_fut_society,0.05293135137678131
t_rf,medical-cash,ALL,q29_foodexp,0.12249278244382085
t_rf,medical-cash,ALL,q30_medexp,0.07913585792878684
t_rf,medical-cash,ALL,q42_age,0.056231815847109554
t_rf,medical-cash,ALL,q23_hukou,0.033084205044492054
t_rf,medical-cash,ALL,q31_gotsubsidy,0.032937194226440814
t_rf,medical-cash,ALL,q28_hhsize,0.032482304501604504
t_rf,medical-cash,ALL,q07_emergfund,0.02829744563148784
t_rf,medical-cash,ALL,q21_order,0.02678308613701693
t_rf,medical-cash,ALL,income_h,0.02582685889409888
t_rf,medical-cash,ALL,q03a_fair_dist,0.025790355493760752
t_rf,medical-cash,ALL,q25_unittype,0.025295122053267907
t_rf,medical-cash,ALL,q18_ses_now,0.024885529139239675
t_rf,medical-cash,ALL,q22_vitality,0.024725084667904455
t_rf,medical-cash,ALL,q17c_fut_price,0.02223337500234971
t_rf,medical-cash,ALL,q03b_fair_opp,0.0214660937034119
t_rf,medical-cash,ALL,q49_citytier,0.020984065247186882
t_rf,medical-cash,ALL,q05_trust_soc,0.02072793373677805
t_rf,medical-cash,ALL,q41_gender,0.020676468555198748
t_rf,medical-cash,ALL,q02_safety,0.020598998762723926
t_rf,medical-cash,ALL,q13_pressure,0.019318253541244147
t_rf,medical-cash,ALL,q20_ses_next1,0.01840002366127516
t_rf,medical-cash,ALL,q19_ses_past5,0.018284415255416214
t_rf,medical-cash,ALL,q15_fut_self,0.01824907308748704
t_rf,medical-cash,ALL,q26_housing,0.018133006953773532
t_rf,medical-cash,ALL,q17a_fut_econ,0.01740501235262539
t_rf,medical-cash,ALL,q06_socsec,0.01683855439150277
t_rf,medical-cash,ALL,q17b_fut_job,0.016417066288667934
t_rf,medical-cash,ALL,q08_support,0.015778933510842606
t_rf,medical-cash,ALL,q17d_fut_fair,0.015358031291854823
t_rf,medical-cash,ALL,q01_lifesat,0.015163325908870526
t_rf,medical-cash,ALL,q11_mobility,0.014846270958926355
t_rf,medical-cash,ALL,q03c_fair_rule,0.014783754267879434
t_rf,medical-cash,ALL,q04_trust_gov,0.01474506534198691
t_rf,medical-cash,ALL,q09_gain,0.014421221086354996
t_rf,medical-cash,ALL,q12_voice,0.01440980488578229
t_rf,medical-cash,ALL,q43_edu,0.014042809376803378
t_rf,medical-cash,ALL,q16_fut_society,0.01389125913251012
t_rf,medical-cash,ALL,q10_effort,0.013459101684115104
t_rf,medical-cash,ALL,q24_workstat,0.011818770025265418
t_rf,medical-cash,ALL,q17e_fut_welfare,0.011400354110576081
t_rf,medical-cash,ALL,q27_minorchild,0.00818131586955953
dr_rf,medical-cash,ALL,q42_age,0.06785801779962836
dr_rf,medical-cash,ALL,q29_foodexp,0.04353316296238875
dr_rf,medical-cash,ALL,q30_medexp,0.034874854375444665
