feature_set,model,fold,r2,rmse
O,ridge,0,0.03945286128323311,0.25959639526284234
O,ridge,1,0.055361017478224195,0.24687359245200427
O,ridge,2,0.033020360841132024,0.2414397709540297
O,ridge,3,0.022681772693913693,0.24963106341272584
O,ridge,4,0.03566646913630778,0.26422854074370816
O,ridge,5,0.03227948162143757,0.25297036144862206
O,ridge,6,0.03353695605989626,0.2559666217714477
O,ridge,7,0.047729949483411915,0.2483935368235454
O,ridge,8,0.03662210271532729,0.25678828479138216
O,ridge,9,0.034327646600057604,0.2486258383296067
O,random_forest,0,0.052433323550804656,0.25783638641190704
O,random_forest,1,0.0740036335599783,0.24442540658389628
O,random_forest,2,0.03620527292819897,0.24104183151592296
O,random_forest,3,0.01935836126070989,0.2500551436194773
O,random_forest,4,0.027326491504214845,0.26536866290457056
O,random_forest,5,0.048175719994943966,0.2508840524446403
O,random_forest,6,0.039124924146359374,0.25522556559589354
O,random_forest,7,0.061556220086373514,0.24658369639337166
O,random_forest,8,0.0490413292223274,0.2551277439765911
O,random_forest,9,0.04049769604890596,0.24783028280149594
O,hist_gradient_boosting,0,0.011554246970989501,0.26333933597595693
O,hist_gradient_boosting,1,0.0016505192843843108,0.25379496573186044
O,hist_gradient_boosting,2,-0.006029949457983186,0.24626664879857166
O,hist_gradient_boosting,3,-0.056363457454489785,0.2595298478804575
O,hist_gradient_boosting,4,-0.018964651607660032,0.2716099349562872
O,hist_gradient_boosting,5,0.027729345530012273,0.2535643861118361
O,hist_gradient_boosting,6,0.002818589428441709,0.2600026639019924
O,hist_gradient_boosting,7,0.025148951297753297,0.2513213362223773
O,hist_gradient_boosting,8,0.0021632201254860872,0.26134044201472434
O,hist_gradient_boosting,9,-0.002140505321017727,0.25327695109461684
S,ridge,0,0.0017124242017323432,0.2646471060706126
S,ridge,1,0.005217768957209046,0.2533411365811996
S,ridge,2,0.001765336611865953,0.24531068708924914
S,ridge,3,0.00832560114730374,0.25145783862512394
S,ridge,4,0.002701825370915345,0.2687067674682733
S,ridge,5,0.007936417703411025,0.2561323418189502
S,ridge,6,-0.0007500807907760976,0.2604674916084147
S,ridge,7,0.0022243096898966197,0.25425920679982683
S,ridge,8,0.007994481969175626,0.2605756989454374
S,ridge,9,-0.0015711521690562336,0.25320499286251635
S,random_forest,0,-0.007479096763137072,0.26586265553169913
S,random_forest,1,0.0047021190561641335,0.25340678834068225
S,random_forest,2,-0.01709096956443834,0.24761676463658894
S,random_forest,3,0.010314490198056636,0.25120555180915455
S,random_forest,4,0.006733783183357711,0.2681630426195274
S,random_forest,5,0.001342507008372018,0.2569821445416312
S,random_forest,6,-0.012674732301086289,0.2620147241994079
S,random_forest,7,0.004129617585331258,0.25401632978487276
S,random_forest,8,0.013238068209847409,0.2598861052424277
S,random_forest,9,-0.009090040514228015,0.25415363259509216
S,hist_gradient_boosting,0,-0.060735676855410814,0.27279908188320096
S,hist_gradient_boosting,1,-0.07827560462420102,0.263758579275849
S,hist_gradient_boosting,2,-0.10799043209003023,0.2584450096165441
S,hist_gradient_boosting,3,-0.06877828776098216,0.2610504455441706
S,hist_gradient_boosting,4,-0.056329060537792186,0.276544933462836
S,hist_gradient_boosting,5,-0.0812271436975387,0.2673949103416073
S,hist_gradient_boosting,6,-0.06919196049545051,0.2692269634998623
S,hist_gradient_boosting,7,-0.06966502549884068,0.2632595450970631
S,hist_gradient_boosting,8,-0.042505551144407905,0.26712593511293864
S,hist_gradient_boosting,9,-0.07739692535618414,0.26261481799112213
A,ridge,0,0.00021089487153025388,0.2648460598041053
A,ridge,1,0.0008971220143099146,0.25389070994674734
A,ridge,2,-0.0010571015880385115,0.24565724164213545
A,ridge,3,-0.0016837767453443675,0.25272368619874286
A,ridge,4,0.0029723176350799907,0.26867032499158167
A,ridge,5,0.004393396053185117,0.25658930529100543
A,ridge,6,0.0005025806142124889,0.2603044240521612
A,ridge,7,-0.0005408382729394923,0.2546112788665435
A,ridge,8,-0.002724410711338665,0.2619797125238441
A,ridge,9,-2.9613772265513205e-05,0.25301006136765464
A,random_forest,0,-0.004661047666338458,0.26549056907115026
A,random_forest,1,0.009714113840044503,0.25276794619955556
