variable,importance_mean,importance_sd
q29_foodexp,0.0020557642323692296,0.00047321636075499715
q03a_fair_dist,0.0013283281240988223,0.00029984308157930846
q03c_fair_rule,0.0011007309817390094,0.0005186499731678597
q02_safety,0.0009403137920100543,0.000198161482987415
q06_socsec,0.0007733321515309532,0.00015601929995238031
q20_ses_next1,0.000627285310438551,0.0002464566615081761
q09_gain,0.0006033253579698486,0.00025171718081986927
q30_medexp,0.0005993507438566262,0.0002312486119962601
q43_edu,0.0005258290499000589,0.00022130170322309052
q31_gotsubsidy,0.0005236811033700481,0.0002739143249568793
q41_gender,0.0005132571981425679,0.00019306499125157928
q04_trust_gov,0.0004957499518234293,0.0003455352515759761
q28_hhsize,0.00048010803704649356,0.00028792141889677573
q10_effort,0.0004440171691017611,0.0002346686819878546
q42_age,0.0004109816190131746,0.000591481027323086
q05_trust_soc,0.0003680987541228975,0.00032708237902211314
q26_housing,0.0003000644823051721,0.00018250836271138275
q01_lifesat,0.00024766839819542893,0.00019579516999720397
q27_minorchild,0.00022140605141636878,0.0001487632133881139
q23_hukou,0.00020672942341524309,0.00019366754889081424
q17d_fut_fair,0.00018949428114030248,0.00034129917688945907
q13_pressure,0.00016415776485261961,0.0003028994478605074
q16_fut_society,0.000162736645045905,0.00024646129580901255
q19_ses_past5,0.00014427358228396718,0.0004761227378928507
q18_ses_now,0.00013552674786729141,0.00030221003426334273
q25_unittype,0.00013032759937853106,0.0003753704405021644
q22_vitality,8.51646619568297e-05,0.00030612962229899064
q21_order,8.476795528365166e-05,0.00031049525736396986
q17e_fut_welfare,8.277048501622031e-05,0.0001834590355919414
income_h,6.50573828297571e-05,0.00015145974732029953
q03b_fair_opp,4.1288840862975516e-05,0.0004689512553163408
q07_emergfund,4.04959416335518e-05,0.00028254006988095314
q24_workstat,7.431466322647962e-06,0.00017833184445581414
q17b_fut_job,-3.223816457536694e-05,0.0002982695313992372
q17c_fut_price,-5.9731421063007053e-05,0.00031687167348854844
q49_citytier,-6.256829394623298e-05,0.00020308819389587421
q12_voice,-9.491255840747975e-05,0.0002687384585319993
q15_fut_self,-0.00011836850525073634,0.0002150929279529529
q08_support,-0.00018834863863479573,0.00016564116118592518
q17a_fut_econ,-0.00018958574017381713,0.00024619728225646085
q11_mobility,-0.0004545273369827685,0.00013260131697636897
