model,term,mean_coefficient,mean_abs_coefficient,nonzero_frequency
elastic_net,amount_1000,-0.00021739471469476923,0.00021739471469476923,0.1
elastic_net,amount_1000__x__income_h,0.0005143621643160731,0.0005143621643160731,0.4
elastic_net,amount_1000__x__q01_lifesat,0.0,0.0,0.0
elastic_net,amount_1000__x__q02_safety,0.0009457043118093155,0.0009457043118093155,0.4
elastic_net,amount_1000__x__q03a_fair_dist,0.0,0.0,0.0
elastic_net,amount_1000__x__q03b_fair_opp,0.0,0.0,0.0
elastic_net,amount_1000__x__q03c_fair_rule,0.0,0.0,0.0
elastic_net,amount_1000__x__q04_trust_gov,0.0,0.0,0.0
elastic_net,amount_1000__x__q05_trust_soc,-1.3485506553735085e-05,1.3485506553735085e-05,0.1
elastic_net,amount_1000__x__q06_socsec,-4.588461276921317e-05,4.588461276921317e-05,0.1
elastic_net,amount_1000__x__q07_emergfund,0.0004432596356189212,0.0004432596356189213,0.5
elastic_net,amount_1000__x__q08_support,9.703489158743342e-05,9.703489158743342e-05,0.1
elastic_net,amount_1000__x__q09_gain,0.0,0.0,0.0
elastic_net,amount_1000__x__q10_effort,0.0,0.0,0.0
elastic_net,amount_1000__x__q11_mobility,0.0,0.0,0.0
elastic_net,amount_1000__x__q12_voice,-2.824899179459711e-05,2.824899179459711e-05,0.1
elastic_net,amount_1000__x__q13_pressure,0.0,0.0,0.0
elastic_net,amount_1000__x__q15_fut_self,-7.006553076723954e-05,7.006553076723954e-05,0.1
elastic_net,amount_1000__x__q16_fut_society,0.0,0.0,0.0
elastic_net,amount_1000__x__q17a_fut_econ,0.0,0.0,0.0
elastic_net,amount_1000__x__q17b_fut_job,0.0,0.0,0.0
elastic_net,amount_1000__x__q17c_fut_price,0.0,0.0,0.0
elastic_net,amount_1000__x__q17d_fut_fair,0.0,0.0,0.0
elastic_net,amount_1000__x__q17e_fut_welfare,0.00010552912394369244,0.00010552912394369244,0.1
elastic_net,amount_1000__x__q18_ses_now,0.0,0.0,0.0
elastic_net,amount_1000__x__q19_ses_past5,-5.3467783711814884e-06,5.3467783711814884e-06,0.1
elastic_net,amount_1000__x__q20_ses_next1,0.0,0.0,0.0
elastic_net,amount_1000__x__q21_order,0.0,0.0,0.0
elastic_net,amount_1000__x__q22_vitality,1.506947607808402e-05,1.506947607808402e-05,0.1
elastic_net,amount_1000__x__q23_hukou,0.0001247456766854583,0.0001247456766854583,0.2
elastic_net,amount_1000__x__q24_workstat,0.0,0.0,0.0
elastic_net,amount_1000__x__q25_unittype,0.0,0.0,0.0
elastic_net,amount_1000__x__q26_housing,0.0,0.0,0.0
elastic_net,amount_1000__x__q27_minorchild,0.0,0.0,0.0
elastic_net,amount_1000__x__q28_hhsize,0.0,0.0,0.0
elastic_net,amount_1000__x__q29_foodexp,0.0,0.0,0.0
elastic_net,amount_1000__x__q30_medexp,9.512174194298899e-05,9.512174194298899e-05,0.2
elastic_net,amount_1000__x__q31_gotsubsidy,-0.003215680349969199,0.003215680349969199,1.0
elastic_net,amount_1000__x__q41_gender,-0.00042924594757876597,0.00042924594757876597,0.4
elastic_net,amount_1000__x__q42_age,0.0,0.0,0.0
elastic_net,amount_1000__x__q43_edu,9.279310760172703e-05,9.279310760172703e-05,0.2
elastic_net,amount_1000__x__q49_citytier,0.0,0.0,0.0
elastic_net,amount_5000,-0.00397298133648104,0.003972981336481039,1.0
elastic_net,amount_5000__x__income_h,5.9076269465162845e-05,5.9076269465162845e-05,0.1
elastic_net,amount_5000__x__q01_lifesat,0.0,0.0,0.0
elastic_net,amount_5000__x__q02_safety,0.00020690468873939432,0.00020690468873939432,0.1
elastic_net,amount_5000__x__q03a_fair_dist,0.0,0.0,0.0
elastic_net,amount_5000__x__q03b_fair_opp,0.0,0.0,0.0
elastic_net,amount_5000__x__q03c_fair_rule,0.0,0.0,0.0
elastic_net,amount_5000__x__q04_trust_gov,0.0,0.0,0.0
elastic_net,amount_5000__x__q05_trust_soc,0.0,0.0,0.0
elastic_net,amount_5000__x__q06_socsec,0.0,0.0,0.0
elastic_net,amount_5000__x__q07_emergfund,0.0,0.0,0.0
elastic_net,amount_5000__x__q08_support,-0.00013345372833553407,0.00013345372833553407,0.1
elastic_net,amount_5000__x__q09_gain,0.0,0.0,0.0
elastic_net,amount_5000__x__q10_effort,0.0,0.0,0.0
elastic_net,amount_5000__x__q11_mobility,0.0,0.0,0.0
elastic_net,amount_5000__x__q12_voice,0.0,0.0,0.0
elastic_net,amount_5000__x__q13_pressure,0.0,0.0,0.0
elastic_net,amount_5000__x__q15_fut_self,0.0,0.0,0.0
elastic_net,amount_5000__x__q16_fut_society,0.0,0.0,0.0
elastic_net,amount_5000__x__q17a_fut_econ,0.0,0.0,0.0
elastic_net,amount_5000__x__q17b_fut_job,0.0,0.0,0.0
