model,fold,r2,rmse
ridge,0,0.034324881149060404,0.2602884139764104
ridge,1,0.05198775899687591,0.24731398626159967
ridge,2,0.0411057655872904,0.24042825217733635
ridge,3,0.02179090014027174,0.24974481285488917
ridge,4,0.058958982770205504,0.261017946769619
ridge,5,0.03150131142913459,0.25307205115813947
ridge,6,0.027352118595597608,0.25678433915341325
ridge,7,0.054299666868039664,0.24753521954953783
ridge,8,0.05176115063918174,0.2547626393781389
ridge,9,0.029229404475657583,0.24928128120002838
lasso,0,0.04301089463926566,0.25911515414178843
lasso,1,0.03988649518382781,0.24888744777211025
lasso,2,0.03931005435916746,0.24065327061885636
lasso,3,0.028551901718042227,0.24888024677800896
lasso,4,0.05002124936115604,0.262254553680916
lasso,5,0.03471793133146428,0.25265144469048395
lasso,6,0.03278223361511823,0.25606654595148953
lasso,7,0.05572755733787815,0.2473482751830116
lasso,8,0.04366989483781858,0.25584726642578287
lasso,9,0.037708814175042904,0.24819019224223057
elastic_net,0,0.042922417370855226,0.2591271319537844
elastic_net,1,0.043442820500414925,0.24842607216962592
elastic_net,2,0.04136335070860708,0.2403959572182511
elastic_net,3,0.02870277532945298,0.2488609194872601
elastic_net,4,0.04867813593200643,0.2624398805627622
elastic_net,5,0.03412696589079689,0.25272877204991073
elastic_net,6,0.03253908609373135,0.2560987300343444
elastic_net,7,0.05405008888125584,0.24756788067067179
elastic_net,8,0.04593128749301334,0.25554459187774897
elastic_net,9,0.03817734957495689,0.2481297635222595
