variable,estimand,primary_effect,primary_p,primary_q,sign_stability,specs_p_lt_05,specs_total
income_h,food-cash,0.03506402973169469,0.5098757640260189,0.8507990923855339,0.9285714285714286,0,14
income_h,medical-cash,-0.11812576697504974,0.028858909224019142,0.15404519593727617,1.0,9,14
income_h,medical-food,-0.15318979670674443,0.0030291020848161416,0.017740931629665488,1.0,11,14
income_h,restricted-cash,-0.04153086862167753,0.37686823426287175,0.9317810361554472,0.8571428571428571,0,14
q01_lifesat,food-cash,0.05066288167275429,0.37057067554406586,0.8343873281313628,1.0,0,14
q01_lifesat,medical-cash,0.04332820167991869,0.43481969710765533,0.70658200779994,0.8571428571428571,0,14
q01_lifesat,medical-food,-0.007334679992835602,0.8907550293308542,0.9047896944724323,0.5714285714285714,0,14
q01_lifesat,restricted-cash,0.04699554167633649,0.3400909428406895,0.6315974652755662,1.0,0,14
q02_safety,food-cash,0.06501536453674638,0.23878447908795897,0.8343873281313628,1.0,0,14
q02_safety,medical-cash,-0.0004847260080597109,0.992901332758698,0.992901332758698,0.7857142857142857,0,14
q02_safety,medical-food,-0.06550009054480609,0.20599300784673924,0.8948552852635475,1.0,0,14
q02_safety,restricted-cash,0.03226531926434333,0.5044503470880803,0.7386441629421776,0.8571428571428571,0,14
q03a_fair_dist,food-cash,0.03239661336326898,0.5559049380349563,0.8343873281313628,1.0,0,14
q03a_fair_dist,medical-cash,0.11138074729120172,0.03643356134235784,0.23681814872532597,1.0,9,14
q03a_fair_dist,medical-food,0.07898413392793274,0.12377226835177113,0.8948552852635475,0.9285714285714286,1,14
q03a_fair_dist,restricted-cash,0.07188868032723535,0.13149368011304807,0.5698059471565416,1.0,0,14
q03b_fair_opp,food-cash,0.030415687970021206,0.5798305287054792,0.8343873281313628,0.9285714285714286,0,14
q03b_fair_opp,medical-cash,0.07720854684080784,0.1457926420083227,0.4738260865270488,1.0,0,14
q03b_fair_opp,medical-food,0.04679285887078664,0.3625247774939707,0.8948552852635475,0.8571428571428571,0,14
q03b_fair_opp,restricted-cash,0.05381211740541453,0.2574130747540242,0.6315974652755662,1.0,0,14
q03c_fair_rule,food-cash,0.03275912774078724,0.5488232751065028,0.8343873281313628,1.0,0,14
q03c_fair_rule,medical-cash,0.058263273626255385,0.2754339074115426,0.5967734660583424,1.0,0,14
q03c_fair_rule,medical-food,0.025504145885468142,0.6229273118931855,0.9039581200139347,0.7857142857142857,0,14
q03c_fair_rule,restricted-cash,0.04551120068352131,0.33702633115011393,0.6315974652755662,1.0,0,14
q04_trust_gov,food-cash,0.016395653383246358,0.7702036875058734,0.8343873281313628,0.7857142857142857,0,14
q04_trust_gov,medical-cash,0.022608913667009536,0.6773730084945317,0.8805849110428913,0.9285714285714286,0,14
q04_trust_gov,medical-food,0.006213260283763178,0.9047896944724323,0.9047896944724323,0.5,0,14
q04_trust_gov,restricted-cash,0.019502283525127947,0.6891592239326103,0.8144609010112667,0.8571428571428571,0,14
q05_trust_soc,food-cash,0.05400982575946351,0.33563094871718313,0.8343873281313628,0.9285714285714286,0,14
q05_trust_soc,medical-cash,0.11867770147341276,0.02573740902368146,0.23681814872532597,1.0,10,14
q05_trust_soc,medical-food,0.06466787571394925,0.21354290890358485,0.8948552852635475,0.7857142857142857,3,14
q05_trust_soc,restricted-cash,0.08634376361643814,0.0726340580875957,0.5037213462245311,1.0,0,14
q06_socsec,food-cash,0.05288167563964022,0.34985227675728703,0.6618890817969858,1.0,0,14
q06_socsec,medical-cash,0.07149960217258461,0.19877321618379962,0.3570409385978949,1.0,0,14
q06_socsec,medical-food,0.01861792653294439,0.7278574069133743,0.8166465767948325,0.6428571428571429,0,14
q06_socsec,restricted-cash,0.062190638906112414,0.207283389820199,0.3481246862209062,1.0,0,14
q07_emergfund,food-cash,0.07891629353569936,0.1708554512225,0.6618890817969858,0.9285714285714286,2,14
q07_emergfund,medical-cash,0.048884002996300704,0.3781975976526022,0.47172861037943814,1.0,0,14
q07_emergfund,medical-food,-0.030032290539398654,0.5736140819998652,0.8166465767948325,0.7857142857142857,1,14
q07_emergfund,restricted-cash,0.06390014826600003,0.20007020723428415,0.3481246862209062,1.0,0,14
q08_support,food-cash,0.029606408210585244,0.6027990370800336,0.8343873281313628,0.9285714285714286,0,14
q08_support,medical-cash,-0.02469141461516017,0.6529572538487496,0.8805849110428913,0.7857142857142857,1,14
q08_support,medical-food,-0.05429782282574541,0.3105660274733475,0.8948552852635475,0.9285714285714286,2,14
q08_support,restricted-cash,0.0024574967977125366,0.9600693298444531,0.9993468588735579,0.8571428571428571,0,14
q09_gain,food-cash,0.03653492925830522,0.5252054939642421,0.6618890817969858,0.7857142857142857,0,14
q09_gain,medical-cash,0.05005723772634006,0.3643700434993895,0.47172861037943814,0.8571428571428571,0,14
q09_gain,medical-food,0.013522308468034844,0.8020956625968484,0.8166465767948325,0.5714285714285714,0,14
q09_gain,restricted-cash,0.04329608349232264,0.38157460886618766,0.44517037701055223,0.9285714285714286,0,14
q10_effort,food-cash,0.027822488576063484,0.6305474475374871,0.6618890817969858,0.8571428571428571,0,14
q10_effort,medical-cash,0.042849535322168265,0.43803370963804966,0.47172861037943814,0.8571428571428571,0,14
q10_effort,medical-food,0.015027046746104781,0.7814787479379408,0.8166465767948325,0.6428571428571429,0,14
q10_effort,restricted-cash,0.03533601194911588,0.4767259609030321,0.5133971886648039,0.9285714285714286,0,14
q11_mobility,food-cash,0.03630839526321991,0.5215485590661075,0.6618890817969858,1.0,0,14
