sample,outcome,variable,concept,family,estimand,effect,se,lo,hi,p,N,q
raw,outcome_ord,q42_age,age,objective,level,0.013630578685473092,0.02143001837687702,-0.028371485521237375,0.05563264289218356,0.5247433619442485,5497,0.5247433619442485
raw,outcome_ord,q42_age,age,objective,food-cash,0.0007042344657084834,0.05241974280989546,-0.10203657352053908,0.10344504245195604,0.9892811205241436,5497,0.9892811205241436
raw,outcome_ord,q42_age,age,objective,medical-cash,-0.008475038796444416,0.052492895124611486,-0.11135922268492111,0.09440914509203228,0.8717380754920341,5497,0.8717380754920342
raw,outcome_ord,q42_age,age,objective,restricted-cash,-0.0038854021653679663,0.045387969594204,-0.09284418790140686,0.08507338357067093,0.931781036155447,5497,0.9317810361554472
raw,outcome_ord,q42_age,age,objective,medical-food,-0.0091792732621529,0.052596538042922046,-0.11226659353777092,0.09390804701346513,0.8614549400237644,5497,0.8761492183304114
raw,outcome_ord,q41_gender,gender,objective,level,-0.07720957641365134,0.020786332122404137,-0.11795003874425147,-0.03646911408305121,0.00020365445523314756,5497,0.00025456806904143445
raw,outcome_ord,q41_gender,gender,objective,food-cash,-0.02020024454170418,0.05212169234247667,-0.12235688434623557,0.08195639526282722,0.6983422223052418,5497,0.8729277778815523
raw,outcome_ord,q41_gender,gender,objective,medical-cash,-0.012401180791338912,0.0507180405134234,-0.11180671356409212,0.0870043519814143,0.8068341372567296,5497,0.8717380754920342
raw,outcome_ord,q41_gender,gender,objective,restricted-cash,-0.016300712666521548,0.04492730428732458,-0.10435661099214968,0.0717551856591066,0.7167362224612628,5497,0.9317810361554472
raw,outcome_ord,q41_gender,gender,objective,medical-food,0.007799063750365268,0.05004128505770692,-0.09028005270284266,0.10587818020357319,0.8761492183304114,5497,0.8761492183304114
raw,outcome_ord,q43_edu,education,objective,level,0.12600951000557004,0.021482011767527474,0.08390554062575056,0.1681134793853895,4.4693150350332054e-09,5497,1.1173287587583014e-08
raw,outcome_ord,q43_edu,education,objective,food-cash,0.04706039875310913,0.053025713535750044,-0.056868090031499,0.15098888753771725,0.3748089746880554,5497,0.8507990923855339
raw,outcome_ord,q43_edu,education,objective,medical-cash,-0.10197506404613807,0.0529953107725186,-0.2058439645097821,0.0018938364175059424,0.05432600336524848,5497,0.18108667788416163
raw,outcome_ord,q43_edu,education,objective,restricted-cash,-0.02745733264651447,0.046443108342484954,-0.11848415232787671,0.06356948703484777,0.5543840138244123,5497,0.9317810361554472
raw,outcome_ord,q43_edu,education,objective,medical-food,-0.1490354627992472,0.051113689650183924,-0.2492164536305654,-0.048854471967929,0.003548186325933098,5497,0.017740931629665488
raw,outcome_ord,income_h,monthly income harmonized 1-6,objective,level,0.14537345519988307,0.02168494916009015,0.10287173583952428,0.18787517456024186,2.0294681386198704e-11,5497,1.3566445574050482e-10
raw,outcome_ord,income_h,monthly income harmonized 1-6,objective,food-cash,0.03506402973169469,0.053205420683862956,-0.06921667859097916,0.13934473805436853,0.5098757640260189,5497,0.8507990923855339
raw,outcome_ord,income_h,monthly income harmonized 1-6,objective,medical-cash,-0.11812576697504974,0.05405203088302534,-0.22406580079702615,-0.012185733153073336,0.028858909224019142,5497,0.15404519593727617
