variable,item,concept,domain,type,missing_N,coding_abridged,transformation,main_theory,exploratory_ML
q42_age,Q42,age,objective,continuous,0,"[np.float64(14.0), np.float64(15.0), np.float64(16.0), np.float64(17.0), np.float64(18.0), np.float64(19.0), np.float64(20.0), np.float64(21.0), np.float64(22.0), np.float64(23.0)]",raw coding; z-score for interactions,True,False
q41_gender,Q41,gender,objective,binary,0,"[np.float64(1.0), np.float64(2.0)]",raw coding; z-score for interactions,True,False
q43_edu,Q43,education,objective,ordinal,0,"[np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",raw coding; z-score for interactions,True,False
income_h,Q46,monthly income harmonized 1-6,objective,ordinal,0,"[np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0)]",legacy Q46 11-16 -> 1-6; z-score for interactions,True,False
q23_hukou,Q23,hukou,objective,categorical,0,"[np.float64(1.0), np.float64(2.0), np.float64(3.0)]",raw coding; z-score for interactions,True,False
q24_workstat,Q24,employment status,objective,categorical,0,"[np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",raw coding; z-score for interactions,True,False
q25_unittype,Q25,work-unit type,objective,categorical,0,"[np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0)]",raw coding; z-score for interactions,True,False
q26_housing,Q26,housing tenure,objective,categorical,0,"[np.float64(1.0), np.float64(2.0), np.float64(3.0)]",raw coding; z-score for interactions,True,False
q27_minorchild,Q27,minor child,needs,binary,0,"[np.float64(1.0), np.float64(2.0)]",raw coding; z-score for interactions,True,False
q28_hhsize,Q28,household size,needs,ordinal,0,"[np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0)]",raw coding; z-score for interactions,True,False
q29_foodexp,Q29,monthly food spending,needs,ordinal,0,"[np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0)]",raw coding; z-score for interactions,True,False
q30_medexp,Q30,annual OOP medical spending,needs,ordinal,0,"[np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0)]",raw coding; z-score for interactions,True,False
q31_gotsubsidy,Q31,prior subsidy,objective,categorical,0,"[np.float64(1.0), np.float64(2.0), np.float64(3.0)]",raw coding; z-score for interactions,True,False
q49_citytier,Q49,city tier,objective,ordinal,0,"[np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",raw coding; z-score for interactions,True,False
q06_socsec,Q6,perceived social protection,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q07_emergfund,Q7,emergency liquidity,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q09_gain,Q9,sense of gain,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q10_effort,Q10,returns to effort,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q11_mobility,Q11,upward mobility,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q13_pressure,Q13,pressure affordability,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q15_fut_self,Q15,future self,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q17a_fut_econ,Q17-1,economic outlook,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q17b_fut_job,Q17-2,employment/income outlook,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q17c_fut_price,Q17-3,price/affordability outlook,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q17e_fut_welfare,Q17-5,welfare outlook,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q18_ses_now,Q18,subjective SES,subjective_economic,ordinal,0,"[np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0), np.float64(10.0)]",raw coding; z-score for interactions,True,False
q19_ses_past5,Q19,past mobility,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q20_ses_next1,Q20,expected mobility,subjective_economic,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,True,False
q01_lifesat,Q1,life satisfaction,attitudes,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,False,True
q02_safety,Q2,safety,attitudes,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,False,True
q03a_fair_dist,Q3-1,distribution fairness,attitudes,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,False,True
q03b_fair_opp,Q3-2,opportunity fairness,attitudes,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,False,True
q03c_fair_rule,Q3-3,rule fairness,attitudes,continuous,0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)]",raw coding; z-score for interactions,False,True
