amount,contrast,method,N,calibration,cal_se,cal_lo,cal_hi,cal_p,top_bottom,tb_se,tb_lo,tb_hi
200,food-cash,t,1233,-0.3571262652070135,0.2956305566743947,-0.9365515090183544,0.22229897860432735,0.2270413387593626,-0.048739652838453607,0.051575525990903315,-0.1498276837806241,0.05234837810371688
200,food-cash,dr,1233,-0.3796050023794286,0.2518434389052929,-0.8732090723765162,0.11399906761765899,0.13173236665796192,-0.03769311812724116,0.05264611240000921,-0.1408794984312592,0.06549326217677688
200,medical-cash,t,1234,-0.15829163114927752,0.31669723452023296,-0.7790068048123693,0.4624235425138142,0.6172017835547483,0.004345008109232357,0.050227001690249906,-0.09409991520365746,0.10278993142212217
200,medical-cash,dr,1234,-0.13656470219287362,0.258474340515386,-0.6431651005307722,0.37003569614502496,0.5972570129955559,-0.036045783926218655,0.049429131607055324,-0.1329268818760471,0.06083531402360978
1000,food-cash,t,1215,0.628222581696712,0.33911810787265145,-0.03643669623905388,1.2928818596324778,0.06395139794301656,0.05318461138946834,0.04763613361535362,-0.04018221049662475,0.14655143327556142
1000,food-cash,dr,1215,0.985155789577129,0.27450666405179697,0.44713261451937103,1.523178964634887,0.0003321744480753763,0.15036661438895213,0.05051906589846139,0.05134924522796781,0.24938398354993646
1000,medical-cash,t,1207,1.034917672080454,0.27053219859164956,0.5046843061823834,1.5651510379785247,0.00013051330634944715,0.18061793906196497,0.048493628477190714,0.08557042724667117,0.27566545087725874
1000,medical-cash,dr,1207,0.9254766837758035,0.23377990869155055,0.4672764824313021,1.383676885120305,7.534241551163841e-05,0.18153679653679652,0.04771469603900203,0.08801599230035255,0.2750576007732405
5000,food-cash,t,1186,-0.17973216323996863,0.3303538169079983,-0.8272137465349845,0.46774942005504716,0.586400464897383,-0.05151341305753074,0.047424816351172384,-0.1444660531058286,0.04143922699076713
5000,food-cash,dr,1186,-0.0781989300750852,0.2791705572850293,-0.6253631678977186,0.46896530774754824,0.7793918341842638,-0.03882410752725593,0.04723864603620476,-0.13141185375821723,0.05376363870370539
5000,medical-cash,t,1220,-0.02044575598416032,0.35347598154374804,-0.7132459492098513,0.6723544372415307,0.9538744869224045,0.007126391664287746,0.045247103193934844,-0.08155793059582454,0.09581071392440003
5000,medical-cash,dr,1220,-0.2472538246256204,0.279826527749881,-0.7957037409342851,0.3011960916830443,0.3769139067954973,-0.02376190862118746,0.04305073902625621,-0.10814135711264963,0.06061753987027471
