sample,outcome,amount,contrast,effect,se,lo,hi,p,N
R,outcome_ord,200,food-cash,-0.14874784905779873,0.09459166622270965,-0.33414410809194356,0.03664840997634611,0.11582862760735983,5497
R,outcome_ord,200,medical-cash,-0.4719755178165684,0.09157417045792303,-0.6514575938282293,-0.29249344180490744,2.5495461497683e-07,5497
R,outcome_ord,200,medical-food,-0.3232276687587696,0.09034096962261985,-0.5002927155475316,-0.14616262197000765,0.00034641410840453114,5497
R,outcome_ord,1000,food-cash,-0.1340065058281416,0.08924734262017965,-0.3089280830796003,0.0409150714233171,0.13322159281213666,5497
R,outcome_ord,1000,medical-cash,-0.2723155929038233,0.08797266725204707,-0.4447388523417618,-0.0998923334658848,0.0019650998246786206,5497
R,outcome_ord,1000,medical-food,-0.13830908707568168,0.08461593172746901,-0.30415326577982105,0.02753509162845766,0.10214312925061055,5497
R,outcome_ord,5000,food-cash,-0.07414781777636072,0.08616226901071528,-0.24302276186361427,0.09472712631089282,0.38948032492696216,5497
R,outcome_ord,5000,medical-cash,-0.1816145429482191,0.08369000135118028,-0.34564393146264094,-0.017585154433797295,0.03000029294072014,5497
R,outcome_ord,5000,medical-food,-0.10746672517185835,0.0847278710768619,-0.27353030096926056,0.0585968506255439,0.20466401580267857,5497
R,outcome_ord,pooled,food-cash,-0.11896739088743367,0.052000649659005374,-0.22088679139176925,-0.017047990383098094,0.022148829575435573,5497
R,outcome_ord,pooled,medical-cash,-0.3086352178895369,0.05069411011663358,-0.40799384794644633,-0.20927658783262748,1.1419650492221953e-09,5497
R,outcome_ord,pooled,medical-food,-0.18966782700210327,0.05000017647933324,-0.2876663721222431,-0.09166928188196341,0.00014863253037107678,5497
R,mpc_midpoint,200,food-cash,-0.024611843732404614,0.01634511880878644,-0.05664768792065426,0.007424000455845039,0.1321285180676641,5497
R,mpc_midpoint,200,medical-cash,-0.07567371974204386,0.015488898610892813,-0.10603140317958624,-0.04531603630450147,1.030752735739365e-06,5497
R,mpc_midpoint,200,medical-food,-0.05106187600963924,0.014981004278925552,-0.08042410484857376,-0.021699647170704717,0.0006533510333353447,5497
R,mpc_midpoint,1000,food-cash,-0.02587930333423731,0.01499556295879931,-0.05527006666138685,0.003511459992912226,0.08438387053622286,5497
R,mpc_midpoint,1000,medical-cash,-0.04821195144724473,0.014606484258196032,-0.0768401345340602,-0.01958376836042926,0.000964362088353706,5497
R,mpc_midpoint,1000,medical-food,-0.02233264811300741,0.013846872010142421,-0.049472018551422296,0.004806722325407478,0.10678148526761522,5497
R,mpc_midpoint,5000,food-cash,-0.006128970782323575,0.01430664422503909,-0.03416947820302814,0.021911536638380993,0.6683597009969547,5497
R,mpc_midpoint,5000,medical-cash,-0.021568073145515378,0.013483387983116732,-0.047995027982004335,0.004858881690973576,0.10968659563025711,5497
R,mpc_midpoint,5000,medical-food,-0.0154391023631918,0.013819277654501111,-0.04252438885837313,0.01164618413198953,0.26390246798668093,5497
R,mpc_midpoint,pooled,food-cash,-0.018873372616321833,0.008798420857722875,-0.03611796061828468,-0.0016287846143589885,0.03194594239415962,5497
R,mpc_midpoint,pooled,medical-cash,-0.04848458144493466,0.008400113187509198,-0.06494850075851263,-0.032020662131356674,7.838439594398669e-09,5497
R,mpc_midpoint,pooled,medical-food,-0.029611208828612817,0.008213395485172375,-0.04570916817033455,-0.013513249486891081,0.00031187234896633417,5497
R,mpc_alt,200,food-cash,-0.028954181642136124,0.018230461938453072,-0.0646852304630324,0.006776867178760158,0.11223415271265838,5497
R,mpc_alt,200,medical-cash,-0.0849142992237676,0.017179549192555366,-0.11858559691181028,-0.05124300153572492,7.702633665892486e-07,5497
R,mpc_alt,200,medical-food,-0.055960117581631476,0.016476093853619485,-0.0882526681406274,-0.02366756702263554,0.0006826771440873078,5497
R,mpc_alt,1000,food-cash,-0.028142789373814495,0.016501089817869026,-0.06048433112249839,0.0041987523748693995,0.08809917179561592,5497
R,mpc_alt,1000,medical-cash,-0.05281045751633897,0.015998424406888406,-0.08416679316322681,-0.021454121869451122,0.0009634821148002543,5497
R,mpc_alt,1000,medical-food,-0.024667668142524475,0.015129026145280758,-0.05432001450843961,0.004984678223390656,0.10299878237279884,5497
R,mpc_alt,5000,food-cash,-0.003420390934328315,0.01563085705482393,-0.03405630780927704,0.027215525940620412,0.8267879345628579,5497
