stratum,group,contrast,N,effect,lo,hi,p
age_lt35,False,food-cash,2240,-0.17660028379703235,-0.3428171863933176,-0.010383381200747083,0.03730588369858503
age_lt35,False,medical-cash,2240,-0.3591886745404723,-0.5209264147291861,-0.19745093435175853,1.3446729438715132e-05
age_lt35,True,food-cash,3257,-0.07222141828716389,-0.20095569681088507,0.0565128602365573,0.2715228100003684
age_lt35,True,medical-cash,3257,-0.2764008115948711,-0.40156499705425286,-0.1512366261354894,1.5033287989415208e-05
college_plus,False,food-cash,1159,-0.2524449531369986,-0.47516969231445993,-0.02972021395953725,0.026317112235075185
college_plus,False,medical-cash,1159,-0.25474195363562957,-0.47765971967010196,-0.03182418760115718,0.02510570411264687
college_plus,True,food-cash,4338,-0.08994610235586772,-0.20414942947936812,0.024257224767632674,0.12267069330036706
college_plus,True,medical-cash,4338,-0.32664899792250435,-0.43740889443047754,-0.21588910141453116,7.458818165236472e-09
nonagricultural_hukou,False,food-cash,2679,-0.08801903882529606,-0.23237986358531892,0.05634178593472679,0.23207901788685936
nonagricultural_hukou,False,medical-cash,2679,-0.30716492097370374,-0.4450657302601041,-0.1692641116873034,1.26722101857571e-05
nonagricultural_hukou,True,food-cash,2818,-0.13806619537018328,-0.2815511895275391,0.005418798787172552,0.05930240128134792
nonagricultural_hukou,True,medical-cash,2818,-0.3016286159937489,-0.44413175233993685,-0.15912547964756094,3.3458943906693086e-05
high_citytier,False,food-cash,2319,-0.07557081396308298,-0.2296809750927687,0.07853934716660273,0.33649928706511956
high_citytier,False,medical-cash,2319,-0.14978029958015535,-0.304221294675483,0.004660695515172314,0.05732605122655109
high_citytier,True,food-cash,3178,-0.14365933150037302,-0.2787905634681921,-0.008528099532553984,0.03719139276583315
high_citytier,True,medical-cash,3178,-0.4230959662100625,-0.552491046339292,-0.293700886080833,1.4677603186076495e-10
