sample,outcome,amount,contrast,effect,se,lo,hi,p,N,kind,variable,spec,se_type,effect_or_wald
R,outcome_ord,pooled,food-cash,-0.1189673908874336,0.0520006496590053,-0.2208867913917692,-0.017047990383098,0.0221488295754355,5497,mean_effect,,,,
R,outcome_ord,pooled,medical-cash,-0.3086352178895369,0.0506941101166335,-0.4079938479464463,-0.2092765878326274,1.141965049222195e-09,5497,mean_effect,,,,
C,outcome_ord,pooled,food-cash,-0.1194025638304891,0.0536072084777924,-0.2244707617586926,-0.0143343659022855,0.0259232086013252,5171,mean_effect,,,,
C,outcome_ord,pooled,medical-cash,-0.321988595918995,0.0520848956768153,-0.424073115584079,-0.2199040762539109,6.329629035579952e-10,5171,mean_effect,,,,
Q1,outcome_ord,pooled,food-cash,-0.1132680385067296,0.0776571468054112,-0.2654732493874753,0.0389371723740159,0.144684723113265,2715,mean_effect,,,,
Q1,outcome_ord,pooled,medical-cash,-0.3870623950565508,0.0742013850858774,-0.5324944374278581,-0.2416303526852435,1.8245668201190745e-07,2715,mean_effect,,,,
Q2,outcome_ord,pooled,food-cash,0.0157674092529986,0.123629327599589,-0.2265416202750995,0.2580764387810969,0.8985147778828929,1208,mean_effect,,,,
Q2,outcome_ord,pooled,medical-cash,-0.3330315122097469,0.1179842268249625,-0.564276347530478,-0.1017866768890158,0.004762433807333,1208,mean_effect,,,,
R,,,medical-food,,0.0516700601460048,-0.2544612536719324,-0.0519183397415564,0.0030291020848161,5497,moderator,income_h,trend,HC1,-0.1531897967067444
R,,,medical-food,,0.0525511843826719,0.0329566162992942,0.2389534737692157,0.0096788161597389,5497,moderator,q30_medexp,trend,HC1,0.1359550450342549
C,,,medical-food,,0.0529771949686216,-0.248893265611745,-0.0412264773308348,0.0061784593079517,5171,moderator,income_h,trend,HC1,-0.1450598714712899
C,,,medical-food,,0.0542646486903782,0.044466055571415,0.257179569705135,0.0054460505977623,5171,moderator,q30_medexp,trend,HC1,0.150822812638275
Q1,,,medical-food,,0.0702747919410672,-0.3488217574510802,-0.0733496350000054,0.0026670191933688,2715,moderator,income_h,trend,HC1,-0.2110856962255428
Q1,,,medical-food,,0.0735387173131218,0.0123328953365128,0.3005993701424949,0.0333644425673346,2715,moderator,q30_medexp,trend,HC1,0.1564661327395039
Q2,,,medical-food,,0.1086170297030122,-0.4473801238495946,-0.0216091911983519,0.0308569599300804,1208,moderator,income_h,trend,HC1,-0.2344946575239733
Q2,,,medical-food,,0.1069921670471335,-0.1045580281458957,0.314843559934654,0.3257479172506887,1208,moderator,q30_medexp,trend,HC1,0.1051427658943791
