scope,form,amount,category,N,count,share,cumulative_share
cell,cash,200,1,619,169,0.2730210016155089,0.2730210016155089
cell,cash,200,2,619,112,0.1809369951534733,0.4539579967689822
cell,cash,200,3,619,126,0.2035541195476575,0.6575121163166397
cell,cash,200,4,619,98,0.1583198707592892,0.815831987075929
cell,cash,200,5,619,31,0.0500807754442649,0.8659127625201939
cell,cash,200,6,619,83,0.1340872374798061,1.0
cell,cash,1000,1,595,170,0.2857142857142857,0.2857142857142857
cell,cash,1000,2,595,115,0.1932773109243697,0.4789915966386555
cell,cash,1000,3,595,119,0.2,0.6789915966386555
cell,cash,1000,4,595,97,0.1630252100840336,0.8420168067226891
cell,cash,1000,5,595,41,0.06890756302521,0.9109243697478993
cell,cash,1000,6,595,53,0.0890756302521008,1.0
cell,cash,5000,1,584,159,0.2722602739726027,0.2722602739726027
cell,cash,5000,2,584,120,0.2054794520547945,0.4777397260273973
cell,cash,5000,3,584,143,0.2448630136986301,0.7226027397260274
cell,cash,5000,4,584,91,0.1558219178082192,0.8784246575342466
cell,cash,5000,5,584,40,0.0684931506849315,0.946917808219178
cell,cash,5000,6,584,31,0.0530821917808219,1.0
cell,food,200,1,614,191,0.3110749185667752,0.3110749185667752
cell,food,200,2,614,106,0.1726384364820846,0.4837133550488599
cell,food,200,3,614,122,0.1986970684039088,0.6824104234527687
cell,food,200,4,614,95,0.1547231270358306,0.8371335504885994
cell,food,200,5,614,39,0.0635179153094462,0.9006514657980456
cell,food,200,6,614,61,0.0993485342019544,1.0
cell,food,1000,1,620,186,0.3,0.3
cell,food,1000,2,620,123,0.1983870967741935,0.4983870967741935
cell,food,1000,3,620,141,0.2274193548387096,0.7258064516129032
cell,food,1000,4,620,94,0.1516129032258064,0.8774193548387097
cell,food,1000,5,620,32,0.0516129032258064,0.9290322580645162
cell,food,1000,6,620,44,0.0709677419354838,1.0
cell,food,5000,1,602,181,0.3006644518272425,0.3006644518272425
cell,food,5000,2,602,131,0.2176079734219269,0.5182724252491694
cell,food,5000,3,602,143,0.2375415282392026,0.7558139534883721
cell,food,5000,4,602,70,0.1162790697674418,0.872093023255814
cell,food,5000,5,602,32,0.0531561461794019,0.925249169435216
cell,food,5000,6,602,45,0.074750830564784,1.0
cell,medical,200,1,615,238,0.3869918699186991,0.3869918699186991
cell,medical,200,2,615,113,0.183739837398374,0.5707317073170731
cell,medical,200,3,615,114,0.1853658536585365,0.7560975609756098
cell,medical,200,4,615,79,0.1284552845528455,0.8845528455284553
cell,medical,200,5,615,34,0.0552845528455284,0.9398373983739836
cell,medical,200,6,615,37,0.0601626016260162,1.0
cell,medical,1000,1,612,201,0.3284313725490196,0.3284313725490196
cell,medical,1000,2,612,127,0.207516339869281,0.5359477124183006
cell,medical,1000,3,612,139,0.2271241830065359,0.7630718954248366
cell,medical,1000,4,612,80,0.130718954248366,0.8937908496732027
cell,medical,1000,5,612,33,0.0539215686274509,0.9477124183006536
cell,medical,1000,6,612,32,0.0522875816993464,1.0
cell,medical,5000,1,636,226,0.3553459119496855,0.3553459119496855
cell,medical,5000,2,636,106,0.1666666666666666,0.5220125786163522
cell,medical,5000,3,636,149,0.2342767295597484,0.7562893081761006
cell,medical,5000,4,636,83,0.130503144654088,0.8867924528301887
cell,medical,5000,5,636,46,0.0723270440251572,0.959119496855346
cell,medical,5000,6,636,26,0.040880503144654,1.0
