sample,outcome,amount,contrast,effect,se,lo,hi,p,N
R,outcome_ord,pooled,food-cash,-0.1189673908874336,0.0520006496590053,-0.2208867913917692,-0.017047990383098,0.0221488295754355,5497
R,outcome_ord,pooled,medical-cash,-0.3086352178895369,0.0506941101166335,-0.4079938479464463,-0.2092765878326274,1.141965049222195e-09,5497
R,mpc_midpoint,pooled,food-cash,-0.0188733726163218,0.0087984208577228,-0.0361179606182846,-0.0016287846143589,0.0319459423941596,5497
R,mpc_midpoint,pooled,medical-cash,-0.0484845814449346,0.0084001131875091,-0.0649485007585126,-0.0320206621313566,7.838439594398669e-09,5497
R,mpc_alt,pooled,food-cash,-0.0201724539834263,0.0097123026216759,-0.0392082173288651,-0.0011366906379874,0.0378015455534306,5497
R,mpc_alt,pooled,medical-cash,-0.0536060136550476,0.0091999025100033,-0.0716374912359339,-0.0355745360741613,5.649945653294186e-09,5497
R,any_spend,pooled,food-cash,-0.026914603030541,0.0150675543596422,-0.0564464669105392,0.0026172608494571,0.0740568117133964,5497
R,any_spend,pooled,medical-cash,-0.0799245310383352,0.0153213382723364,-0.1099538022470698,-0.0498952598296006,1.8228613770221317e-07,5497
R,mpc_10plus,pooled,food-cash,-0.0298945192123961,0.0165859701471594,-0.0624024233494852,0.0026133849246929,0.0714828116256207,5497
R,mpc_10plus,pooled,medical-cash,-0.0726675596388964,0.0164930798373201,-0.1049934021141875,-0.0403417171636052,1.0532495443700472e-05,5497
R,mpc_25plus,pooled,food-cash,-0.0349747919575738,0.0151190014687551,-0.0646074903185421,-0.0053420935966056,0.0207061294042354,5497
R,mpc_25plus,pooled,medical-cash,-0.0721174372984076,0.014763477015217,-0.1010533205348179,-0.0431815540619972,1.0350525332704103e-06,5497
R,mpc_50plus,pooled,food-cash,-0.0167908257500862,0.0116999929089392,-0.0397223904709812,0.0061407389708086,0.1512545629447514,5497
R,mpc_50plus,pooled,medical-cash,-0.0429542322329936,0.0112052918724446,-0.0649162007392445,-0.0209922637267427,0.0001263903221248,5497
