feature_set,model,r2,lo,hi,rmse,mae,fold_min,fold_max,folds
A,elastic_net,0.0056647248838846,0.0019995021559327,0.0091126212155027,0.2564707874746014,0.1986245490071533,-0.0068776272829038,0.0131443076059748,10
A,hgb,-0.0146027963676477,-0.0238800798921314,-0.0043471331032412,0.2590452749700669,0.199648492389403,-0.0350106915667365,0.0185624776586289,10
A,rf,0.009798902249777,0.0023417055090177,0.0173296230980772,0.2559341626388074,0.1984965929099081,-0.0084451971362999,0.0274143274219769,10
A,ridge,0.0046685773536002,0.0002935273302046,0.0087639404656724,0.2565969706099973,0.1988099492288012,-0.0092325057653184,0.0126292359181201,10
ALL,elastic_net,0.0427207516687836,0.0355522347113212,0.0495813892828256,0.2516527418566847,0.1944443701451018,0.0227553047897229,0.0599564270833368,10
ALL,hgb,0.0352915934931332,0.0231512145845213,0.0473243529118057,0.2525848027007741,0.1937956543761039,0.0010077729483058,0.066102800125404,10
ALL,rf,0.0482076340836316,0.0404444203298541,0.0555218191079172,0.2509219321546093,0.194105628666602,0.0294545513627179,0.0647007757155304,10
ALL,ridge,0.0395275803588135,0.0300336973290273,0.0484895411934875,0.2520620399463337,0.1943426812010499,0.0147370436330894,0.0591432875788612,10
O,elastic_net,0.0383631838151147,0.0309009024282087,0.0450831441058728,0.2522246641028156,0.1947874345168853,0.0183698795055634,0.0497529950338656,10
O,hgb,0.0372015348421867,0.0263368808359274,0.0478656701944834,0.2523533864878781,0.1935942027049749,0.0106885721792617,0.0635259776166025,10
O,rf,0.0465272672425799,0.0387882402067796,0.05358958665013,0.2511429578132273,0.1937350499104088,0.0223273138163482,0.0628009487459485,10
O,ridge,0.0383652293838557,0.0292031992071379,0.0468338387828879,0.2522169125544306,0.1944366834782837,0.0144556900104367,0.0560192247731862,10
O+A,elastic_net,0.0403465955530253,0.033728025171546,0.0466525357268485,0.2519654815428776,0.1945710433538844,0.0213677387332537,0.0546945288428852,10
O+A,hgb,0.0408884611893771,0.0262713124332995,0.0558230778057698,0.2518418628123937,0.1927993691995037,0.0019221637710665,0.0870185517789849,10
O+A,rf,0.0473968040826042,0.0405925708391966,0.0534328769762667,0.2510325342519709,0.1938811895039494,0.0259924638456842,0.058117471931991,10
O+A,ridge,0.0387156968267408,0.0305692989653158,0.0463054016913644,0.252171120345981,0.1943213819451616,0.0143070807202936,0.0547223363178357,10
O+S,elastic_net,0.041230653284321,0.0338268464658486,0.0483667429643964,0.2518517482448908,0.1946084787879364,0.0211297487305774,0.0564206448537436,10
O+S,hgb,0.0346524880253973,0.0213531888654735,0.0487235178657744,0.2526906389904325,0.1941424485118796,0.0065276597934611,0.0774788397134071,10
O+S,rf,0.0499611886025034,0.0417371110653121,0.0576759669154545,0.2506904581047758,0.1937712839776639,0.0290887868555159,0.0653348153098056,10
O+S,ridge,0.0388826097757541,0.029627990821018,0.04764192343639,0.2521505984566851,0.1943965737092454,0.0166264644415526,0.0579050541324471,10
S,elastic_net,0.0067798447963776,0.0023933074229812,0.010640613565288,0.2563306056176269,0.1985514638654913,-0.0071031953967741,0.0166706087294147,10
S,hgb,-0.0235706247382877,-0.0360395087917634,-0.0100615318140004,0.2602078913024476,0.2002717712014114,-0.0522247566729598,0.0135037971367902,10
S,rf,0.0031286986082875,-0.0051473741004574,0.0111213582932245,0.2567910846523438,0.1991915046852483,-0.0219797243703234,0.0228418782613986,10
S,ridge,0.0059890772613628,0.0008629889728249,0.0105430173779162,0.2564286857587161,0.198671115547068,-0.0103069497972598,0.0176579859042075,10
T,elastic_net,0.004822934212371,0.0017099081799501,0.0074964115922159,0.2565824360609037,0.1986448358856456,-0.0069839031105758,0.0112258801934799,10
T,hgb,0.0044144817699528,0.0011676849357363,0.0076758184150227,0.2566348375731072,0.1982514216072269,-0.0071315817831658,0.0146156300265731,10
T,rf,0.0044199705384563,0.0010639677240978,0.0077071489984666,0.2566337482102373,0.1983433371389606,-0.0075402826685126,0.0145675666957034,10
T,ridge,0.0048942919500277,0.0014612024975908,0.0079062281687987,0.2565719508072078,0.1987486666888163,-0.0076518559044473,0.0121502748433576,10
