scope,form,amount,category,N,count,share,cumulative_share
form,cash,all,1,1798,498,0.2769744160177975,0.2769744160177975
form,cash,all,2,1798,347,0.192992213570634,0.4699666295884316
form,cash,all,3,1798,388,0.2157953281423804,0.685761957730812
form,cash,all,4,1798,286,0.1590656284760845,0.8448275862068966
form,cash,all,5,1798,112,0.0622914349276974,0.907119021134594
form,cash,all,6,1798,167,0.092880978865406,1.0
form,food,all,1,1836,558,0.3039215686274509,0.3039215686274509
form,food,all,2,1836,360,0.196078431372549,0.5
form,food,all,3,1836,406,0.2211328976034858,0.7211328976034859
form,food,all,4,1836,259,0.1410675381263616,0.8622004357298475
form,food,all,5,1836,103,0.0561002178649237,0.9183006535947712
form,food,all,6,1836,150,0.0816993464052287,1.0
form,medical,all,1,1863,665,0.3569511540526033,0.3569511540526033
form,medical,all,2,1863,346,0.1857219538378958,0.5426731078904992
form,medical,all,3,1863,402,0.215780998389694,0.7584541062801933
form,medical,all,4,1863,242,0.1298980139559849,0.8883521202361782
form,medical,all,5,1863,113,0.060654857756307,0.9490069779924852
form,medical,all,6,1863,95,0.0509930220075147,1.0
