transfer_type,amount,N,ordinal_mean,ordinal_sd,midpoint_mean,panel,sample,outcome,contrast,effect,se,lo,hi,p
cash,200,619,2.9337641357027464,1.6848287101262598,0.2526655896607431,cell_means,,,,,,,,
cash,1000,595,2.803361344537815,1.5943889815315346,0.2268067226890756,cell_means,,,,,,,,
cash,5000,584,2.702054794520548,1.4549598936115522,0.2008133561643835,cell_means,,,,,,,,
food,200,614,2.785016286644951,1.636463655265059,0.2280537459283387,cell_means,,,,,,,,
food,1000,620,2.669354838709677,1.513118585736085,0.2009274193548387,cell_means,,,,,,,,
food,5000,602,2.627906976744186,1.5123733498717031,0.1946843853820598,cell_means,,,,,,,,
medical,200,615,2.461788617886179,1.5286898184746385,0.1769918699186991,cell_means,,,,,,,,
medical,1000,612,2.531045751633987,1.45663453709665,0.17859477124183,cell_means,,,,,,,,
medical,5000,636,2.520440251572327,1.4660108585441594,0.1792452830188679,cell_means,,,,,,,,
,pooled,5497,,,,pooled_contrasts,R,outcome_ord,food-cash,-0.1189673908874336,0.0520006496590053,-0.2208867913917692,-0.017047990383098,0.0221488295754355
,pooled,5497,,,,pooled_contrasts,R,outcome_ord,medical-cash,-0.3086352178895369,0.0506941101166335,-0.4079938479464463,-0.2092765878326274,1.141965049222195e-09
,pooled,5497,,,,pooled_contrasts,R,outcome_ord,medical-food,-0.1896678270021032,0.0500001764793332,-0.2876663721222431,-0.0916692818819634,0.000148632530371
