policy,estimator,value,lo,hi,gain_vs_cash,gain_lo,gain_hi,share_cash,share_food,share_medical
all_cash,IPW,0.2230080043660178,0.2080543933054393,0.2384964526105148,0.0,0.0,0.0,1.0,0.0,0.0
all_cash,DR,0.227735470946873,0.2159074982367814,0.2394251715416703,0.0,0.0,0.0,1.0,0.0,0.0
all_food,IPW,0.2083682008368201,0.1943280425686737,0.2221661815535746,-0.0146398035291977,-0.0371275241040567,0.0065660814989994,0.0,1.0,0.0
all_food,DR,0.2088798378904389,0.1967631844679017,0.2211900538214222,-0.018855633056434,-0.0357002823935061,-0.0025133459575875,0.0,1.0,0.0
all_medical,IPW,0.1812716026923776,0.1687598917591413,0.1940162816081499,-0.0417364016736401,-0.0633485310169183,-0.022344119519738,0.0,0.0,1.0
all_medical,DR,0.1781939580927404,0.1676743381899382,0.1888653581969146,-0.0495415128541326,-0.0658522855487245,-0.0329649772336101,0.0,0.0,1.0
depth2_tree,IPW,0.2230080043660178,0.2080543933054393,0.2383450063671093,0.0,0.0,0.0,1.0,0.0,0.0
depth2_tree,DR,0.227735470946873,0.2155683018241424,0.2405087614843432,0.0,0.0,0.0,1.0,0.0,0.0
ml_argmax,IPW,0.2096916499909041,0.1955420001819174,0.2240316308895761,-0.0133163543751137,-0.0272470211024195,0.0001231353465526,0.6036019647080225,0.2957977078406403,0.1006003274513371
ml_argmax,DR,0.2190032629195742,0.2076727953427679,0.2307282968806864,-0.0087322080272988,-0.0194447326416212,0.0019836638407682,0.6036019647080225,0.2957977078406403,0.1006003274513371
