sample,variable,coding,effect_or_wald,se,lo,hi,p,N,ci_halfwidth,q
strict,income_h,trend,0.0129225752118982,0.0577156088912835,-0.1001979395608171,0.1260430899846137,0.8228344364808614,3262,0.1131225934269157,0.9574183665440232
strict,q29_foodexp,trend,-0.010706559308397,0.066791165928899,-0.1416148390144779,0.1202017203976837,0.8726455206149916,3262,0.1309106852206421,0.9574183665440232
strict,q28_hhsize,trend,-0.0566913356409322,0.0580276209793946,-0.1704233828690865,0.057040711587222,0.3285832302276735,3262,0.1137341371196134,0.8762219472737961
strict,q27_minorchild,factor_omnibus,1.6800378340356603,,,,0.1949194253366566,3262,,0.8762219472737961
strict,q07_emergfund,trend,0.0632467540930394,0.0630103285156118,-0.0602512204515968,0.1867447286376758,0.3154980830553703,3262,0.1235002438905991,0.8762219472737961
strict,q18_ses_now,trend,-0.0032329468309862,0.0605494207843366,-0.1219076308530471,0.1154417371910745,0.9574183665440232,3262,0.1186768647372998,0.9574183665440232
strict,q15_fut_self,trend,0.0127002247469069,0.0602468427401668,-0.1053814172060685,0.1307818666998824,0.8330408737021588,3262,0.118083811770727,0.9574183665440232
strict,q17b_fut_job,trend,0.0112958521510641,0.0604432841356011,-0.1071708078620352,0.1297625121641634,0.8517519807773593,3262,0.1184688369057781,0.9574183665440232
very_strict,income_h,trend,0.0065870255642396,0.0623662656094406,-0.1156486088805229,0.1288226600090022,0.9158851205285358,2899,0.1222378805945036,0.9158851205285358
very_strict,q29_foodexp,trend,-0.0127252811522957,0.0724752165631304,-0.1547740953877721,0.1293235330831807,0.8606230201827222,2899,0.1420514244637356,0.9158851205285358
very_strict,q28_hhsize,trend,-0.0327938665939675,0.0623243633518002,-0.1549473741228841,0.089359640934949,0.5987627798510063,2899,0.1221557521695285,0.9158851205285358
very_strict,q27_minorchild,factor_omnibus,1.6185096722042962,,,,0.2032997177812137,2899,,0.9158851205285358
very_strict,q07_emergfund,trend,0.0464112278510467,0.067265967642825,-0.0854276461141269,0.1782501018162203,0.4902155949389566,2899,0.1318412965799369,0.9158851205285358
very_strict,q18_ses_now,trend,-0.0455775071956938,0.0645525047662767,-0.1720980916494464,0.0809430772580588,0.4801550094232024,2899,0.1265229093419024,0.9158851205285358
very_strict,q15_fut_self,trend,-0.0122375154566291,0.0639221042809375,-0.1375225376632803,0.113047506750022,0.8481776018949958,2899,0.1252873243906375,0.9158851205285358
very_strict,q17b_fut_job,trend,-0.0175032961382736,0.0645129722689066,-0.1439463983209619,0.1089398060444147,0.7861492586262888,2899,0.126445425647057,0.9158851205285358
