contrast,method,quintile,N,treated_N,control_N,predicted,effect,se,lo,hi
food-cash,t,1,727,380,347,-0.07818463905544414,-0.016359585924465347,0.021495093380400513,-0.058489968950050354,0.02577079710111966
food-cash,t,2,727,384,343,-0.04166794629795595,0.03326917820699707,0.019459678392260277,-0.004871791441833077,0.07141014785582722
food-cash,t,3,726,370,356,-0.01825151896912452,-0.049773382933495286,0.017649098210530248,-0.08436561542613458,-0.015181150440856002
food-cash,t,4,727,350,377,0.0031785568867158365,-0.03267506631299738,0.018647774202229555,-0.06922470374936732,0.0038745711233725486
food-cash,t,5,727,352,375,0.04035709105339621,-0.0333910984848485,0.020866375467631995,-0.07428919440140722,0.007506997431710204
medical-cash,t,1,733,374,359,-0.11795939072874886,-0.10764992626577094,0.021091941568379822,-0.1489901317397954,-0.06630972079174649
medical-cash,t,2,732,375,357,-0.07423659754439163,-0.07325490196078427,0.018187001336790253,-0.10890142458089316,-0.037608379340675374
medical-cash,t,3,732,386,346,-0.04871514133304854,-0.009580999730450124,0.01716754911189389,-0.04322939598976215,0.024067396528861904
medical-cash,t,4,732,376,356,-0.02269365929391763,-0.034776924456131925,0.017374189722436085,-0.06883033631210665,-0.0007235126001571973
medical-cash,t,5,732,352,380,0.01719463756828746,-0.01720319976076551,0.01966796590914472,-0.05575241294268916,0.02134601342115814
food-cash,dr,1,727,372,355,-0.0881201793418075,0.009654513100106038,0.020956710743467732,-0.03142063995709071,0.05072966615730279
food-cash,dr,2,727,375,352,-0.04495924113578019,-0.014696401515151475,0.018811839644714046,-0.05156760721879101,0.022174804188488058
food-cash,dr,3,726,364,362,-0.020775252117469917,-0.05313126100418922,0.019575225870834222,-0.0914987037110243,-0.01476381829735414
food-cash,dr,4,727,350,377,0.0038077660185448,-0.008414361500568374,0.019459730988277715,-0.046555434237592695,0.029726711236455948
food-cash,dr,5,727,375,352,0.04335185896410722,-0.030056628787878847,0.019895881993666743,-0.06905255749546566,0.008939299919707967
medical-cash,dr,1,733,373,360,-0.12922070946698044,-0.09961721775394691,0.020634333963028093,-0.14006051232148198,-0.059173923186411855
medical-cash,dr,2,732,380,352,-0.07782576464822047,-0.046939294258373176,0.018360963513452885,-0.08292678274474083,-0.010951805772005524
medical-cash,dr,3,732,377,355,-0.04857535747802612,-0.02930660888407366,0.018335722964012872,-0.06524462589353888,0.0066314081253915705
medical-cash,dr,4,732,358,374,-0.020988966674499628,-0.00820624085083499,0.018404306248768324,-0.044278681098420904,0.027866199396750925
medical-cash,dr,5,732,375,357,0.023115696640918632,-0.061148459383753545,0.01835244442914175,-0.09711925046487138,-0.025177668302635715
food-cash,r,1,727,360,367,-0.08652293796057875,0.02107837571904328,0.020558225783333363,-0.01921574681629011,0.06137249825437667
food-cash,r,2,727,381,346,-0.04250915924779651,-0.05628062749381757,0.019152537491329977,-0.09381960097682432,-0.018741654010810814
food-cash,r,3,726,366,360,-0.017345526673166828,-0.010630692167577449,0.018561118054983144,-0.047010483555344415,0.025749099220189517
food-cash,r,4,727,366,361,0.007057070612382344,-0.026061108335982353,0.020696999311565555,-0.06662722698665084,0.014505010314686137
food-cash,r,5,727,363,364,0.04648016146848616,-0.024443359670632436,0.019764448246200307,-0.06318167823318505,0.014294958891920166
medical-cash,r,1,733,354,379,-0.13005255580176298,-0.07642603193059344,0.0205601841160755,-0.11672399279810142,-0.036128071063085465
medical-cash,r,2,732,376,356,-0.07594574522954144,-0.05605053191489359,0.01890380185650421,-0.09310198355364184,-0.018999080276145344
medical-cash,r,3,732,401,331,-0.04688343563369724,-0.04515429703686405,0.018161806367730234,-0.08075143751761531,-0.009557156556112792
medical-cash,r,4,732,375,357,-0.02002167829805073,-0.014529971988795493,0.01811682506080482,-0.050038949107972935,0.02097900513038195
medical-cash,r,5,732,357,375,0.023137725988373818,-0.05100336134453781,0.018046378247715534,-0.08637426271006027,-0.015632459979015363
