seed,method,contrast,calibration,top_bottom,tb_lo
20260921,t,food-cash,-0.23881095628922328,-0.017031512560383155,-0.07574797893466813
20260921,t,medical-cash,0.6040528523503954,0.09044672650500543,0.03392191402782902
20260921,dr,food-cash,-0.2591665852961723,-0.039711141887984885,-0.09634903251289546
20260921,dr,medical-cash,0.3285423137619617,0.03846875837019337,-0.015656632034660403
20260921,r,food-cash,-0.2377570353319981,-0.045521735389675716,-0.10141693765200115
20260921,r,medical-cash,0.2812027561491413,0.02542267058605563,-0.028196601261748513
20260922,t,food-cash,-0.20279122267880814,-0.014990259686617546,-0.0721262473356433
20260922,t,medical-cash,0.694214735076084,0.06967534533324307,0.014878597758306418
20260922,dr,food-cash,-0.32767033375316035,-0.025423960063254203,-0.08348856143044087
20260922,dr,medical-cash,0.5663412010183329,0.08940143175504467,0.0348239977169575
20260922,r,food-cash,-0.16849671207550437,-0.020026237286175197,-0.0775396396306846
20260922,r,medical-cash,0.492250362962695,0.07872286844546664,0.024711242297503322
20260923,t,food-cash,-0.25129335636014505,-0.02971114952857068,-0.08700316275664796
20260923,t,medical-cash,0.8326897626954928,0.1046531770051145,0.049618483059898376
20260923,dr,food-cash,-0.31181708201114144,-0.04725363116242562,-0.10472972166965994
20260923,dr,medical-cash,0.6184615961676853,0.08281752309630352,0.027830280536669895
20260923,r,food-cash,-0.1496015703293697,-0.012528386880918063,-0.06932049788587662
20260923,r,medical-cash,0.6125062182737147,0.09044423153861955,0.03543189435938654
20260924,t,food-cash,0.15231202808493985,0.034499395385549136,-0.022902135368492338
20260924,t,medical-cash,0.721465389755216,0.0735922696030217,0.01862386848142511
20260924,dr,food-cash,-0.18362701413988453,-0.01877020534693255,-0.07493275045127953
20260924,dr,medical-cash,0.550588832841682,0.06919051408965285,0.014791623736946681
20260924,r,food-cash,-0.23963974563847673,-0.03971691207445602,-0.09629234271694673
20260924,r,medical-cash,0.554937562801761,0.07218217230227927,0.018008489107671492
20260925,t,food-cash,0.07794084866845592,-0.011700012719586067,-0.06868183330917277
20260925,t,medical-cash,0.8436294327619984,0.10339028750101031,0.049611727956802326
20260925,dr,food-cash,0.03423692636948047,-0.0005682810802010163,-0.05680301075614916
20260925,dr,medical-cash,0.4191878901836718,0.08789293694529263,0.033289841576066806
20260925,r,food-cash,0.039790555907022,0.019127055634634543,-0.03844615130248516
20260925,r,medical-cash,0.4408969482281825,0.08256379930254643,0.029156014369310167
20260926,t,food-cash,-0.06468950336587438,-0.03131024159708029,-0.08791294977434919
20260926,t,medical-cash,0.7090496462138409,0.07024716724367405,0.015416633364370422
20260926,dr,food-cash,0.009450271337434436,-0.005963702814712424,-0.06107290200315164
20260926,dr,medical-cash,0.4839275097556294,0.06625217760307314,0.011259456472925568
20260926,r,food-cash,-0.0915445069389814,-0.0328451681322765,-0.08849847293070928
20260926,r,medical-cash,0.3043164455893154,0.044824249506702524,-0.009432374589051891
20260927,t,food-cash,-0.21803286360308027,-0.015288103786440493,-0.07253566083815409
20260927,t,medical-cash,0.7503365291346948,0.10143167828947161,0.04583702445760795
20260927,dr,food-cash,-0.2977756932704045,-0.027860845034083592,-0.08460769161323509
20260927,dr,medical-cash,0.6029935704890169,0.10150712639972059,0.04815947098429852
20260927,r,food-cash,-0.2979831230094539,-0.021411444492095172,-0.07839574376109824
20260927,r,medical-cash,0.6008195906738054,0.10723462543691836,0.05339535029544008
20260928,t,food-cash,-0.3629715572706557,-0.033732361324464194,-0.09051527189370095
20260928,t,medical-cash,0.6271514937030512,0.09265907558175496,0.03743427715260396
20260928,dr,food-cash,-0.4480812452039467,-0.04449456635285512,-0.10093444741570709
20260928,dr,medical-cash,0.48017301522343464,0.08280790580605532,0.030126644129553376
20260928,r,food-cash,-0.36579779385408656,-0.03349485002191868,-0.09075910400004582
20260928,r,medical-cash,0.40396620318861975,0.07685524732144833,0.02268186190267698
20260929,t,food-cash,-0.15952530427188033,-0.031579863517662565,-0.08656438104771276
20260929,t,medical-cash,0.9290104973442527,0.11115407261134194,0.054772231664331726
20260929,dr,food-cash,-0.2892554206937663,-0.03585848123972232,-0.09324773716519094
20260929,dr,medical-cash,0.7058689137860951,0.09541951408020008,0.040604703190811026
20260929,r,food-cash,-0.3394368887756146,-0.05051694651774169,-0.10697654544742081
20260929,r,medical-cash,0.5673772539631231,0.08945060986102471,0.03540706876550477
20260930,t,food-cash,-0.14912421087354866,-0.0013863242548605714,-0.05859930157768759
20260930,t,medical-cash,0.7640306638736539,0.07911606626635526,0.023755422114430144
20260930,dr,food-cash,-0.34870893807863595,-0.02655066809142534,-0.08360635407720662
20260930,dr,medical-cash,0.5824258162818589,0.08587607996460894,0.032193904128128274
20260930,r,food-cash,-0.348865496104698,-0.024397234226671644,-0.08193533510417261
20260930,r,medical-cash,0.5406795593788689,0.06764709523653867,0.013326648381556859
