domain,factor,item,loading,variance_share
subjective_economic,1,q06_socsec,0.2617354532096896,0.7432720393269335
subjective_economic,1,q07_emergfund,0.2380645929469096,0.7432720393269335
subjective_economic,1,q09_gain,0.2716956027964593,0.7432720393269335
subjective_economic,1,q10_effort,0.2669047763711406,0.7432720393269335
subjective_economic,1,q11_mobility,0.2723182280323071,0.7432720393269335
subjective_economic,1,q13_pressure,0.2678470226382178,0.7432720393269335
subjective_economic,1,q15_fut_self,0.2677038243088069,0.7432720393269335
subjective_economic,1,q17a_fut_econ,0.2763885527726198,0.7432720393269335
subjective_economic,1,q17b_fut_job,0.2762380431280212,0.7432720393269335
subjective_economic,1,q17c_fut_price,0.2737894233964598,0.7432720393269335
subjective_economic,1,q17e_fut_welfare,0.2722876293189303,0.7432720393269335
subjective_economic,1,q18_ses_now,0.2652295148883613,0.7432720393269335
subjective_economic,1,q19_ses_past5,0.2643658433250073,0.7432720393269335
subjective_economic,1,q20_ses_next1,0.2648835117205617,0.7432720393269335
social_confidence,1,q02_safety,0.2358066500930613,0.6969918783791932
social_confidence,1,q03a_fair_dist,0.3129607566473752,0.6969918783791932
social_confidence,1,q03b_fair_opp,0.3181761337439318,0.6969918783791932
social_confidence,1,q03c_fair_rule,0.3193003425772505,0.6969918783791932
social_confidence,1,q04_trust_gov,0.3119176813088723,0.6969918783791932
social_confidence,1,q05_trust_soc,0.3091210529932873,0.6969918783791932
social_confidence,1,q08_support,0.2773700869724372,0.6969918783791932
social_confidence,1,q12_voice,0.3096038932409873,0.6969918783791932
social_confidence,1,q17d_fut_fair,0.3128057370642794,0.6969918783791932
social_confidence,1,q21_order,0.2947240951483064,0.6969918783791932
social_confidence,1,q22_vitality,0.3048197912558078,0.6969918783791932
wellbeing_optimism,1,q01_lifesat,0.4182359677650633,0.7730791041672936
wellbeing_optimism,1,q15_fut_self,0.4570726724735787,0.7730791041672936
wellbeing_optimism,1,q16_fut_society,0.4517772444377809,0.7730791041672936
wellbeing_optimism,1,q17a_fut_econ,0.4675339061659836,0.7730791041672936
wellbeing_optimism,1,q20_ses_next1,0.4398552208839455,0.7730791041672936
