feature_set,model,fold,N_test,r2,rmse,mae
T,ridge,0,1100,0.00571615397195091,0.2508771984631073,0.19477678402057294
T,ridge,1,1100,0.012150274843357622,0.2545868395847926,0.19751173231289113
T,ridge,2,1099,0.009558057297618827,0.25703694468972194,0.19834161360395908
T,ridge,3,1099,0.0003049082825608007,0.25650475850062965,0.19777137267760173
T,ridge,4,1099,0.004827581782185342,0.26342393544631443,0.204889539325101
T,ridge,5,1100,0.0016534017572652493,0.26146565544826317,0.19880602799995994
T,ridge,6,1100,0.0082816733061859,0.2581034875039105,0.2027774269841297
T,ridge,7,1099,0.00742078352597908,0.2625208985830759,0.20218759502053985
T,ridge,8,1099,-0.007651855904447391,0.2393936565210046,0.1874956970788165
T,ridge,9,1099,0.0066819406376215085,0.261806133331259,0.20292887786459138
T,elastic_net,0,1100,0.006319387796682285,0.25080108308934423,0.1946819404839423
T,elastic_net,1,1100,0.01122588019347992,0.25470592838787376,0.19751255327705142
T,elastic_net,2,1099,0.008767858230561032,0.2571394594609948,0.19829260739246604
T,elastic_net,3,1099,0.0008763396959839964,0.25643143823044845,0.19756268615272451
T,elastic_net,4,1099,0.004838720048780831,0.2634224612825531,0.20478798191673012
T,elastic_net,5,1100,0.0028215110916720576,0.2613126475327575,0.19858644793395874
T,elastic_net,6,1100,0.008140706895077732,0.2581218307312691,0.20265477291128484
T,elastic_net,7,1099,0.006320817330811468,0.26266631980090366,0.20214567702397515
T,elastic_net,8,1099,-0.00698390311057584,0.2393142986709626,0.18732996440070693
T,elastic_net,9,1099,0.005902023951237179,0.26190889342193024,0.20289372736361613
T,rf,0,1100,0.0033789796091954205,0.25117188272086316,0.19435441332012338
T,rf,1,1100,0.014567566695703471,0.2542751587593294,0.19716930645257652
T,rf,2,1099,0.006112019606069996,0.25748370983819224,0.19868529826658393
T,rf,3,1099,0.0018453686033400585,0.256307054349512,0.1973493844702454
T,rf,4,1099,0.0016378128993985719,0.2638457664895424,0.20450533787367098
