feature_set,model,r2,lo,hi,rmse,mae,fold_min,fold_max,folds
A,elastic_net,0.005664724883884631,0.0019995021559327,0.009112621215502716,0.2564707874746014,0.19862454900715337,-0.006877627282903864,0.013144307605974848,10
A,hgb,-0.01460279636764773,-0.02388007989213145,-0.004347133103241255,0.2590452749700669,0.199648492389403,-0.03501069156673653,0.01856247765862895,10
A,rf,0.009798902249777008,0.0023417055090177202,0.017329623098077233,0.25593416263880747,0.19849659290990818,-0.008445197136299987,0.027414327421976914,10
A,ridge,0.004668577353600245,0.00029352733020466344,0.008763940465672491,0.25659697060999737,0.19880994922880127,-0.009232505765318422,0.012629235918120152,10
ALL,elastic_net,0.042720751668783606,0.03555223471132129,0.04958138928282563,0.25165274185668474,0.19444437014510185,0.022755304789722985,0.059956427083336816,10
ALL,hgb,0.03529159349313325,0.023151214584521396,0.04732435291180576,0.2525848027007741,0.19379565437610397,0.0010077729483058961,0.06610280012540404,10
ALL,rf,0.048207634083631615,0.04044442032985412,0.05552181910791722,0.25092193215460934,0.19410562866660205,0.029454551362717907,0.06470077571553046,10
ALL,ridge,0.039527580358813576,0.030033697329027345,0.04848954119348757,0.25206203994633375,0.19434268120104994,0.014737043633089475,0.059143287578861226,10
O,elastic_net,0.038363183815114776,0.030900902428208754,0.045083144105872816,0.2522246641028156,0.19478743451688532,0.018369879505563458,0.049752995033865655,10
O,hgb,0.03720153484218673,0.02633688083592741,0.047865670194483415,0.2523533864878781,0.1935942027049749,0.01068857217926178,0.0635259776166025,10
O,rf,0.0465272672425799,0.038788240206779616,0.05358958665013002,0.2511429578132273,0.1937350499104088,0.022327313816348227,0.06280094874594855,10
O,ridge,0.038365229383855746,0.029203199207137924,0.04683383878288799,0.2522169125544306,0.1944366834782837,0.014455690010436784,0.056019224773186216,10
O+A,elastic_net,0.0403465955530253,0.03372802517154607,0.0466525357268485,0.2519654815428776,0.1945710433538844,0.021367738733253705,0.05469452884288528,10
O+A,hgb,0.040888461189377126,0.026271312433299585,0.05582307780576987,0.25184186281239374,0.1927993691995037,0.0019221637710665762,0.08701855177898499,10
O+A,rf,0.04739680408260429,0.04059257083919668,0.053432876976266724,0.2510325342519709,0.1938811895039494,0.02599246384568421,0.058117471931991016,10
O+A,ridge,0.03871569682674085,0.030569298965315878,0.046305401691364476,0.252171120345981,0.1943213819451616,0.01430708072029363,0.05472233631783574,10
O+S,elastic_net,0.04123065328432109,0.03382684646584868,0.04836674296439648,0.25185174824489087,0.19460847878793647,0.02112974873057749,0.05642064485374365,10
O+S,hgb,0.034652488025397346,0.021353188865473535,0.048723517865774404,0.25269063899043254,0.19414244851187965,0.006527659793461149,0.07747883971340719,10
O+S,rf,0.049961188602503495,0.041737111065312194,0.057675966915454506,0.2506904581047758,0.19377128397766397,0.02908878685551597,0.06533481530980567,10
O+S,ridge,0.0388826097757541,0.02962799082101807,0.04764192343639003,0.2521505984566851,0.19439657370924543,0.01662646444155269,0.057905054132447176,10
S,elastic_net,0.006779844796377665,0.002393307422981285,0.01064061356528804,0.2563306056176269,0.19855146386549133,-0.007103195396774176,0.016670608729414726,10
S,hgb,-0.02357062473828774,-0.036039508791763486,-0.010061531814000413,0.2602078913024476,0.20027177120141149,-0.05222475667295989,0.013503797136790285,10
S,rf,0.0031286986082875055,-0.005147374100457451,0.011121358293224515,0.25679108465234385,0.19919150468524838,-0.021979724370323472,0.022841878261398607,10
S,ridge,0.005989077261362841,0.0008629889728249135,0.0105430173779162,0.25642868575871614,0.19867111554706804,-0.010306949797259879,0.01765798590420753,10
T,elastic_net,0.004822934212371066,0.0017099081799501815,0.007496411592215901,0.25658243606090375,0.1986448358856456,-0.00698390311057584,0.01122588019347992,10
T,hgb,0.004414481769952849,0.0011676849357363328,0.007675818415022708,0.2566348375731072,0.19825142160722692,-0.0071315817831658634,0.014615630026573179,10
T,rf,0.004419970538456353,0.0010639677240978028,0.007707148998466653,0.2566337482102373,0.19834333713896066,-0.007540282668512699,0.014567566695703471,10
T,ridge,0.004894291950027785,0.0014612024975908745,0.007906228168798742,0.25657195080720785,0.19874866668881633,-0.007651855904447391,0.012150274843357622,10
