model,base,expanded,delta_r2,lo,hi,rules_out_001,rules_out_002
elastic_net,O,O+S,0.0028674694692063076,0.0005648548794425426,0.004658025351543908,True,True
elastic_net,O,O+A,0.001983411737910523,-0.00045368842032476035,0.0042314125877194715,True,True
elastic_net,O,ALL,0.0043575678536688315,0.0019037761968283549,0.006624146277247384,True,True
hgb,O,O+S,-0.002549046816789391,-0.01033610978340105,0.0061500836456012935,True,True
hgb,O,O+A,0.003686926347190389,-0.004979164654377657,0.01257475031457869,False,True
hgb,O,ALL,-0.001909941349053479,-0.00829225254730583,0.004708209722347962,True,True
rf,O,O+S,0.0034339213599235974,9.75218450346413e-05,0.006712972750595909,True,True
rf,O,O+A,0.0008695368400243985,-0.0009361495170154941,0.0025882550044983715,True,True
rf,O,ALL,0.001680366841051717,-0.001435606756522893,0.0049860894821883465,True,True
ridge,O,O+S,0.0005173803918983478,-0.001631681810500121,0.0023128135139905185,True,True
ridge,O,O+A,0.00035046744288510514,-0.0023959821969170574,0.0030908195301463373,True,True
ridge,O,ALL,0.0011623509749578264,-0.0012688225506205211,0.003419914691683963,True,True
