sample,variable,contrast,spec,se_type,amount,effect,se,lo,hi,p,N
R,income_h,medical-cash,saturated,HC1,200,-0.08504454065301842,0.10022347484790667,-0.28147894176037147,0.11138986045433463,0.3961322330552497,5497
R,income_h,medical-cash,saturated,HC1,1000,-0.24109223436119903,0.0892278991958209,-0.41597570320117844,-0.06620876552121963,0.00689273617496146,5497
R,income_h,medical-cash,saturated,HC1,5000,-0.025118752726095955,0.08998031857782532,-0.20147693645607392,0.151239431003882,0.7801233441000746,5497
R,income_h,medical-cash,saturated,HC1,pooled,-0.11708517591343781,0.05385455787670196,-0.22263816975510153,-0.011532182071774089,0.029697651583123267,5497
R,income_h,medical-food,saturated,HC1,200,-0.25066906930848365,0.09597988435135729,-0.43878618587746343,-0.06255195273950384,0.009009765177411947,5497
R,income_h,medical-food,saturated,HC1,1000,-0.14258670628440084,0.08697109355502727,-0.3130469173483179,0.027873504779516223,0.1011149170280915,5497
R,income_h,medical-food,saturated,HC1,5000,-0.061829933671415926,0.08480176117870268,-0.2280383314072401,0.10437846406440826,0.46593350117065324,5497
R,income_h,medical-food,saturated,HC1,pooled,-0.1516952364214335,0.051604745704749676,-0.25283867943409094,-0.050551793408776094,0.003286788293697591,5497
R,income_h,medical-cash,saturated,HC3,200,-0.08504454065301842,0.1009112552062216,-0.2828269664919428,0.11273788518590594,0.3993595166769722,5497
R,income_h,medical-cash,saturated,HC3,1000,-0.24109223436119903,0.0897118455145676,-0.4169242205563727,-0.06526024816602535,0.0072009168947310236,5497
R,income_h,medical-cash,saturated,HC3,5000,-0.025118752726095955,0.09058562349326121,-0.20266331228999335,0.15242580683780144,0.7815551897774599,5497
R,income_h,medical-cash,saturated,HC3,pooled,-0.11708517591343781,0.05419824908671211,-0.22331179214852442,-0.010858559678351198,0.030748456066291233,5497
R,income_h,medical-food,saturated,HC3,200,-0.25066906930848365,0.09661899464141029,-0.44003881902811626,-0.061299319588851015,0.009475403544210823,5497
R,income_h,medical-food,saturated,HC3,1000,-0.14258670628440084,0.08745145512432313,-0.31398840872369493,0.028814996154893247,0.10300284728330913,5497
R,income_h,medical-food,saturated,HC3,5000,-0.061829933671415926,0.08531699603414036,-0.22904817316747766,0.10538830582464581,0.46863101282079067,5497
R,income_h,medical-food,saturated,HC3,pooled,-0.1516952364214335,0.05192085530579517,-0.25345824286730745,-0.0499322299755596,0.003481681556939511,5497
R,income_h,medical-cash,saturated,province_cluster,200,-0.08504454065301842,0.09396943824958792,-0.26922125526967133,0.0991321739636345,0.3654529897415183,5497
R,income_h,medical-cash,saturated,province_cluster,1000,-0.24109223436119903,0.08965106218822116,-0.4168050874258732,-0.0653793812965249,0.0071617275334206225,5497
R,income_h,medical-cash,saturated,province_cluster,5000,-0.025118752726095955,0.08765982009488367,-0.19692884300332844,0.14669133755113653,0.7744583776210634,5497
R,income_h,medical-cash,saturated,province_cluster,pooled,-0.11708517591343781,0.06308753134222131,-0.24073446521773345,0.006564113390857815,0.06346549340042755,5497
R,income_h,medical-food,saturated,province_cluster,200,-0.25066906930848365,0.10371287127296426,-0.4539425617367324,-0.04739557688023491,0.015651065258959745,5497
R,income_h,medical-food,saturated,province_cluster,1000,-0.14258670628440084,0.08288869094666057,-0.3050455552655268,0.019872142696725104,0.08539262911154952,5497
R,income_h,medical-food,saturated,province_cluster,5000,-0.061829933671415926,0.08580670140353913,-0.23000797805453513,0.10634811071170328,0.4711726909565429,5497
R,income_h,medical-food,saturated,province_cluster,pooled,-0.1516952364214335,0.05667817636791279,-0.2627824208119518,-0.040608052030915234,0.007441085388975659,5497
R,income_h,medical-cash,controls,HC1,200,-0.07963930202486785,0.09836339570317,-0.27242801500014296,0.11314941095040726,0.4181449938173978,5497
R,income_h,medical-cash,controls,HC1,1000,-0.22069069068803526,0.08708437772381761,-0.39137293464279993,-0.050008446733270595,0.011269899050751493,5497
R,income_h,medical-cash,controls,HC1,5000,-0.01121590590905841,0.08852117782648265,-0.18471422631803003,0.1622824144999132,0.8991754077034952,5497
R,income_h,medical-cash,controls,HC1,pooled,-0.10384863287398718,0.05267051099521236,-0.20708093747192433,-0.0006163282760500433,0.048647796983897894,5497
R,income_h,medical-food,controls,HC1,200,-0.2606572541629878,0.09543846524095762,-0.4477132087750425,-0.07360129955093306,0.006311275581658816,5497
R,income_h,medical-food,controls,HC1,1000,-0.13885344820520626,0.08638967514083698,-0.30817410011736196,0.03046720370694944,0.10799029167753726,5497
R,income_h,medical-food,controls,HC1,5000,-0.038387488741652404,0.08220437025415063,-0.19950509381158338,0.12273011632827857,0.6405168686089326,5497
R,income_h,medical-food,controls,HC1,pooled,-0.14596606370328216,0.05083736368933577,-0.24560546560334456,-0.04632666180321976,0.004088702755770117,5497
R,income_h,medical-cash,controls,HC3,200,-0.07963930202486785,0.09953181724326553,-0.274718079137491,0.11543947508775532,0.42363018993653845,5497
R,income_h,medical-cash,controls,HC3,1000,-0.22069069068803526,0.08787729748530372,-0.39292702881794284,-0.04845435255812772,0.012027023302185176,5497
R,income_h,medical-cash,controls,HC3,5000,-0.01121590590905841,0.08953668061921044,-0.18670457521797634,0.16427276339985952,0.900312932167589,5497
R,income_h,medical-cash,controls,HC3,pooled,-0.10384863287398718,0.05324203889879837,-0.20820111157911259,0.0005038458311382166,0.05111647286625723,5497
R,income_h,medical-food,controls,HC3,200,-0.2606572541629878,0.09652194046553046,-0.44983678119334675,-0.07147772713262884,0.006923586763512898,5497
R,income_h,medical-food,controls,HC3,1000,-0.13885344820520626,0.08718575341399046,-0.30973438486161764,0.032027488451205094,0.11124630441425201,5497
R,income_h,medical-food,controls,HC3,5000,-0.038387488741652404,0.08308655964229078,-0.2012341532398815,0.1244591757565767,0.6440683896693038,5497
R,income_h,medical-food,controls,HC3,pooled,-0.14596606370328216,0.051367727771158264,-0.2466449601024103,-0.045287167304154025,0.004488906420754144,5497
R,income_h,medical-cash,controls,province_cluster,200,-0.07963930202486785,0.09624274263758065,-0.26827161136788336,0.10899300731814765,0.4079629497479138,5497
R,income_h,medical-cash,controls,province_cluster,1000,-0.22069069068803526,0.0887788753848777,-0.39469408903036507,-0.04668729234570543,0.012924356018243282,5497
R,income_h,medical-cash,controls,province_cluster,5000,-0.01121590590905841,0.09328958766190912,-0.19406013785899248,0.17162832604087566,0.9043035112526555,5497
R,income_h,medical-cash,controls,province_cluster,pooled,-0.10384863287398718,0.06570677182510437,-0.23263153919158291,0.024934273443608546,0.1139956108861075,5497
R,income_h,medical-food,controls,province_cluster,200,-0.2606572541629878,0.1014468859217975,-0.4594894969134543,-0.06182501141252125,0.010187587530051686,5497
R,income_h,medical-food,controls,province_cluster,1000,-0.13885344820520626,0.08704520459033621,-0.3094589142291858,0.03175201781877329,0.11067024663076014,5497
R,income_h,medical-food,controls,province_cluster,5000,-0.038387488741652404,0.0811803168378694,-0.19749798599742696,0.12072300851412215,0.636308106176599,5497
R,income_h,medical-food,controls,province_cluster,pooled,-0.14596606370328216,0.059310587431196576,-0.26221267897034145,-0.029719448436222873,0.013853273491583704,5497
R,income_h,medical-cash,province_FE,HC1,200,-0.0740381034364873,0.10057865855114656,-0.2711686518100861,0.12309244493711148,0.4616568174104051,5497
R,income_h,medical-cash,province_FE,HC1,1000,-0.24286302408604882,0.08895127139049352,-0.4172043123904642,-0.06852173578163342,0.006327807865757563,5497
R,income_h,medical-cash,province_FE,HC1,5000,-0.010160849956928009,0.09063668145694867,-0.18780548129077676,0.16748378137692074,0.9107399361989403,5497
