sample,variable,contrast,spec,se_type,effect_or_wald,se,lo,hi,p,N
R,income_h,medical-cash,trend,HC1,-0.11812576697504974,0.05405203088302534,-0.22406580079702615,-0.012185733153073336,0.028858909224019142,5497
R,income_h,medical-cash,trend,HC3,-0.11812576697504974,0.05425923491120439,-0.22447191322970872,-0.01177962072039078,0.029475875133122928,5497
R,income_h,medical-cash,factor_omnibus,HC1,15.158711409588626,,,,0.12638177328237796,5497
R,income_h,medical-food,trend,HC1,-0.15318979670674443,0.051670060146004886,-0.2544612536719324,-0.05191833974155645,0.0030291020848161416,5497
R,income_h,medical-food,trend,HC3,-0.15318979670674443,0.05186348395172614,-0.25484035736489874,-0.05153923604859012,0.0031397683395895265,5497
R,income_h,medical-food,factor_omnibus,HC1,15.158711409588626,,,,0.12638177328237796,5497
R,q43_edu,medical-cash,trend,HC1,-0.10197506404613807,0.0529953107725186,-0.2058439645097821,0.0018938364175059424,0.05432600336524848,5497
R,q43_edu,medical-cash,trend,HC3,-0.10197506404613807,0.05315819646828606,-0.20616321460708303,0.0022130865148069084,0.055068939970387656,5497
R,q43_edu,medical-cash,factor_omnibus,HC1,18.5855200565501,,,,0.017240550333805293,5497
R,q43_edu,medical-food,trend,HC1,-0.1490354627992472,0.051113689650183924,-0.2492164536305654,-0.048854471967929,0.003548186325933098,5497
R,q43_edu,medical-food,trend,HC3,-0.1490354627992472,0.051261734962282916,-0.24950661711035943,-0.04856430848813498,0.003645128941882148,5497
R,q43_edu,medical-food,factor_omnibus,HC1,18.5855200565501,,,,0.017240550333805293,5497
R,q30_medexp,medical-cash,trend,HC1,0.11691446349804474,0.05328670472966178,0.012474441373087494,0.22135448562300197,0.02823077788725116,5497
R,q30_medexp,medical-cash,trend,HC3,0.11691446349804474,0.0534619019503868,0.012131061130274928,0.22169786586581455,0.028751695949514287,5497
R,q30_medexp,medical-cash,factor_omnibus,HC1,16.293333794862537,,,,0.09153765036931581,5497
